State,2021-12-15,2021-12-16,2021-12-17,2021-12-18,2021-12-19,2021-12-20,2021-12-21,2021-12-22,2021-12-23,2021-12-24,2021-12-25,2021-12-26,2021-12-27,2021-12-28,2021-12-29,2021-12-30,2021-12-31,2022-01-01,2022-01-02,2022-01-03,2022-01-04,2022-01-05,2022-01-06,2022-01-07,2022-01-08,2022-01-09,2022-01-10,2022-01-11,2022-01-12,2022-01-13,2022-01-14,2022-01-15,2022-01-16,2022-01-17,2022-01-18,2022-01-19,2022-01-20,2022-01-21,2022-01-22,2022-01-23,2022-01-24,2022-01-25,2022-01-26,2022-01-27,2022-01-28,2022-01-29,2022-01-30,2022-01-31,2022-02-01,2022-02-02,2022-02-03,2022-02-04,2022-02-05,2022-02-06,2022-02-07,2022-02-08,2022-02-09,2022-02-10,2022-02-11,2022-02-12,2022-02-13,2022-02-14,2022-02-15,2022-02-16,2022-02-17,2022-02-18,2022-02-19,2022-02-20,2022-02-21,2022-02-22,2022-02-23,2022-02-24,2022-02-25,2022-02-26,2022-02-27,2022-02-28,2022-03-01,2022-03-02,2022-03-03,2022-03-04,2022-03-05,2022-03-06,2022-03-07,2022-03-08,2022-03-09,2022-03-10,2022-03-11,2022-03-12,2022-03-13,2022-03-14,2022-03-15,2022-03-16,2022-03-17,2022-03-18,2022-03-19,2022-03-20,2022-03-21,2022-03-22,2022-03-23,2022-03-24,2022-03-25,2022-03-26,2022-03-27,2022-03-28,2022-03-29,2022-03-30,2022-03-31
AndamanAndNicobarIslands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,4,6,7,10,12,16,20,26,33,41,52,65,80,97,117,139,162,185,205,221,231,234,229,217,200,180,159,138,118,101,85,72,60,50,42,35,29,24,20,17,14,11,10,8,7,5,4,4,3,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AndhraPradesh,3,4,6,7,9,11,14,18,22,28,35,43,54,67,84,105,131,163,204,254,316,394,491,612,761,947,1178,1465,1820,2259,2801,3468,4288,5291,6512,7990,9768,11887,14384,17288,20607,24320,28366,32627,36924,41018,44625,47448,49225,49782,49069,47177,44315,40765,36822,32754,28771,25018,21581,18499,15780,13410,11362,9605,8106,6833,5754,4842,4074,3427,2883,2426,2042,1720,1451,1224,1035,876,742,630,536,457,391,335,288,248,214,186,161,141,123,108,95,84,75,67,59,53,48,43,39,35,32,30,27,25,23
ArunachalPradesh,0,0,0,0,0,0,0,1,1,1,2,2,3,4,5,6,8,10,13,16,20,25,31,38,47,59,73,90,110,136,166,203,247,299,360,430,509,597,692,791,889,980,1059,1119,1155,1162,1141,1094,1026,943,852,758,667,580,501,431,368,313,266,225,190,160,135,114,96,81,68,57,48,40,34,29,24,20,17,15,12,11,9,8,6,5,5,4,3,3,2,2,2,2,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Assam,0,1,1,2,2,3,5,6,8,11,15,19,26,34,45,59,78,103,135,178,234,308,404,530,694,906,1181,1534,1984,2552,3257,4119,5145,6331,7642,9010,10328,11452,12232,12549,12356,11698,10697,9508,8269,7082,6001,5050,4229,3532,2943,2450,2037,1693,1407,1168,971,807,670,557,464,386,322,268,224,187,157,132,111,94,79,67,57,49,42,36,31,27,23,20,18,16,14,12,11,10,9,8,7,7,6,5,5,5,4,4,4,3,3,3,3,3,2,2,2,2,2
Bihar,2,3,4,6,9,12,17,25,35,49,68,95,133,187,261,364,509,710,989,1376,1911,2646,3652,5014,6836,9230,12298,16095,20567,25465,30284,34271,36601,36721,34675,31113,26915,22776,19054,15854,13159,10910,9040,7490,6204,5140,4258,3528,2924,2424,2010,1667,1384,1150,956,796,663,553,463,388,326,274,232,196,167,142,122,105,91,79,69,61,53,47,42,38,34,31,28,25,23,21,19,18,17,16,15,14,13,12,12,11,11,10,10,10,9,9,9,9,9,9,9,9,9,9,9
Chandigarh,8,9,11,13,15,18,21,25,29,34,40,46,54,63,74,87,101,118,137,160,186,216,251,292,338,390,450,519,596,682,778,885,1002,1128,1264,1406,1554,1704,1853,1995,2126,2242,2337,2406,2447,2457,2436,2385,2307,2206,2087,1953,1811,1666,1520,1377,1241,1112,992,882,781,690,608,534,469,411,360,315,275,241,210,184,161,141,123,108,94,83,72,64,56,49,43,38,34,30,26,23,21,19,17,15,13,12,11,10,9,8,7,6,6,5,5,4,4,4,3
Chattisgarh,6,7,9,11,13,16,20,25,31,38,47,57,70,87,106,131,160,197,242,297,364,447,549,673,825,1011,1239,1518,1858,2272,2777,3391,4135,5034,6117,7417,8968,10807,12971,15493,18397,21694,25370,29382,33642,38015,42315,46313,49750,52372,53966,54395,53629,51748,48929,45411,41453,37300,33157,29176,25459,22066,19021,16324,13962,11908,10134,8610,7306,6194,5248,4445,3764,3188,2701,2289,1941,1648,1400,1191,1014,866,740,633,543,467,403,348,301,262,228,199,174,153,135,119,106,94,84,75,67,61,55,50,45,41,38
DadraAndNagarHaveliAndDamanAndDiu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,3,4,5,7,9,12,16,20,27,34,44,57,73,93,118,149,186,229,279,333,389,443,490,525,541,539,517,480,433,382,331,284,241,203,170,142,119,99,82,69,57,47,39,33,27,23,19,16,13,11,9,7,6,5,4,3,3,2,2,2,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delhi,75,95,119,151,190,240,303,382,482,607,765,964,1214,1529,1923,2418,3037,3810,4774,5970,7450,9270,11494,14190,17425,21255,25714,30800,36449,42514,48748,54795,60214,64522,67282,68189,67154,64329,60064,54825,49088,43262,37653,32451,27760,23612,19998,16883,14218,11952,10034,8416,7054,5910,4951,4147,3475,2913,2444,2051,1724,1450,1222,1031,871,738,626,533,455,389,334,287,248,215,187,163,143,125,111,98,87,77,69,62,56,51,46,42,38,35,32,30,27,25,24,22,21,19,18,17,16,16,15,14,14,13,13
Goa,93,108,127,149,174,204,239,279,326,380,443,516,601,698,809,936,1081,1245,1430,1636,1864,2115,2387,2678,2985,3303,3624,3940,4241,4517,4755,4946,5079,5148,5150,5084,4955,4769,4536,4267,3972,3664,3351,3043,2744,2460,2195,1950,1726,1522,1339,1176,1030,902,788,688,600,524,457,398,347,303,264,231,202,176,154,135,119,104,92,81,71,63,55,49,44,39,35,31,28,25,22,20,18,16,15,13,12,11,10,9,8,8,7,7,6,6,5,5,5,4,4,4,4,3,3
