"State","Date","Total Active"
"Andhra Pradesh","2020-03-10","0"
"Andhra Pradesh","2020-03-11","0"
"Andhra Pradesh","2020-03-12","1"
"Andhra Pradesh","2020-03-13","1"
"Andhra Pradesh","2020-03-14","1"
"Andhra Pradesh","2020-03-15","1"
"Andhra Pradesh","2020-03-16","1"
"Andhra Pradesh","2020-03-17","1"
"Andhra Pradesh","2020-03-18","1"
"Andhra Pradesh","2020-03-19","2"
"Andhra Pradesh","2020-03-20","3"
"Andhra Pradesh","2020-03-21","3"
"Andhra Pradesh","2020-03-22","5"
"Andhra Pradesh","2020-03-23","7"
"Andhra Pradesh","2020-03-24","8"
"Andhra Pradesh","2020-03-25","8"
"Andhra Pradesh","2020-03-26","10"
"Andhra Pradesh","2020-03-27","13"
"Andhra Pradesh","2020-03-28","13"
"Andhra Pradesh","2020-03-29","18"
"Andhra Pradesh","2020-03-30","22"
"Andhra Pradesh","2020-03-31","39"
"Andhra Pradesh","2020-04-01","83"
"Andhra Pradesh","2020-04-02","84"
"Andhra Pradesh","2020-04-03","130"
"Andhra Pradesh","2020-04-04","159"
"Andhra Pradesh","2020-04-05","188"
"Andhra Pradesh","2020-04-06","222"
"Andhra Pradesh","2020-04-07","262"
"Andhra Pradesh","2020-04-08","296"
"Andhra Pradesh","2020-04-09","338"
"Andhra Pradesh","2020-04-10","350"
"Andhra Pradesh","2020-04-11","364"
"Andhra Pradesh","2020-04-12","364"
"Andhra Pradesh","2020-04-13","414"
"Andhra Pradesh","2020-04-14","450"
"Andhra Pradesh","2020-04-15","478"
"Andhra Pradesh","2020-04-16","500"
"Andhra Pradesh","2020-04-17","522"
"Andhra Pradesh","2020-04-18","546"
"Andhra Pradesh","2020-04-19","546"
"Andhra Pradesh","2020-04-20","610"
"Andhra Pradesh","2020-04-21","639"
"Andhra Pradesh","2020-04-22","669"
"Andhra Pradesh","2020-04-23","727"
"Andhra Pradesh","2020-04-24","781"
"Andhra Pradesh","2020-04-25","859"
"Andhra Pradesh","2020-04-26","835"
"Andhra Pradesh","2020-04-27","911"
"Andhra Pradesh","2020-04-28","970"
"Andhra Pradesh","2020-04-29","1014"
"Andhra Pradesh","2020-04-30","1051"
"Andhra Pradesh","2020-05-01","1027"
"Andhra Pradesh","2020-05-02","1051"
"Andhra Pradesh","2020-05-03","1062"
"Andhra Pradesh","2020-05-04","1090"
"Andhra Pradesh","2020-05-05","1092"
"Andhra Pradesh","2020-05-06","1092"
"Andhra Pradesh","2020-05-07","1012"
"Andhra Pradesh","2020-05-08","1029"
"Andhra Pradesh","2020-05-09","1004"
"Andhra Pradesh","2020-05-10","999"
"Andhra Pradesh","2020-05-11","1010"
"Andhra Pradesh","2020-05-12","998"
"Andhra Pradesh","2020-05-13","988"
"Andhra Pradesh","2020-05-14","948"
"Andhra Pradesh","2020-05-15","965"
"Andhra Pradesh","2020-05-16","1007"
