,1,2,3,4,5,6,7,8
Dates,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01
Andhra Pradesh,4,4,3,4,4,4,0,3
Andaman and Nicobar Islands,0,0,0,0,0,0,0,0
Arunachal Pradesh,0,0,0,0,0,0,0,0
Assam,0,0,0,0,0,0,0,0
Bihar,8,8,8,7,5,3,0,3
Chandigarh,2,0,0,0,0,0,0,0
Chhattisgarh,5,3,3,3,4,4,0,2
Dadra and Nagar Haveli,0,0,0,0,0,0,0,0
Delhi,21,18,21,11,13,13,0,10
Goa,6,7,7,7,6,6,0,6
Gujarat,25,25,22,13,12,12,0,8
Haryana,36,35,35,34,34,35,0,33
Himachal Pradesh,8,5,4,3,3,2,0,0
Jammu and Kashmir,15,15,14,14,11,14,0,13
Jharkhand,0,0,0,0,0,0,0,0
Karnataka,165,164,175,165,181,174,0,146
Kerala,1194,1187,1186,1181,1184,1193,0,1199
Lakshadweep,0,0,0,0,0,0,0,0
Ladakh,3,3,0,0,0,0,0,0
Madhya Pradesh,3,0,0,0,0,0,0,0
Maharashtra,110,102,94,81,80,77,0,67
Manipur,0,0,0,0,0,0,0,0
Meghalaya,0,0,0,0,0,0,0,0
Mizoram,0,0,0,0,0,0,0,0
Nagaland,0,0,0,0,0,0,0,0
Odisha,80,81,83,87,82,78,0,84
Puducherry,33,43,34,24,23,31,0,34
Punjab,54,58,53,54,47,47,0,18
Rajasthan,5,4,5,6,4,9,0,16
Sikkim,0,0,1,1,1,1,0,1
Tamil Nadu,41,45,47,49,49,49,0,40
Telengana,24,25,24,19,20,20,0,25
Tripura,0,0,0,0,0,0,0,0
Uttarakhand,18,17,16,17,15,15,0,13
Uttar Pradesh,12,9,10,10,10,10,0,12
West Bengal,50,48,51,52,54,51,0,50
Totals,1922,1906,1896,1842,1842,1848,0,1783
