date,state,mean_r,p5th,p95th
2023-01-13,Andaman And Nicobar Islands,1.482,0.076,4.439
2023-01-14,Andaman And Nicobar Islands,1.893,0.097,5.671
2023-01-15,Andaman And Nicobar Islands,2.358,0.121,7.065
2023-01-16,Andaman And Nicobar Islands,2.847,0.146,8.53
2023-01-17,Andaman And Nicobar Islands,3.322,0.17,9.952
2023-01-18,Andaman And Nicobar Islands,3.747,0.192,11.224
2023-01-19,Andaman And Nicobar Islands,4.099,0.21,12.28
2023-01-20,Andaman And Nicobar Islands,4.373,0.224,13.1
2023-01-21,Andaman And Nicobar Islands,4.575,0.235,13.705
2023-01-22,Andaman And Nicobar Islands,4.717,0.242,14.132
2023-01-23,Andaman And Nicobar Islands,4.815,0.247,14.425
2023-01-24,Andaman And Nicobar Islands,4.881,0.25,14.621
2023-01-25,Andaman And Nicobar Islands,4.923,0.253,14.749
2023-01-26,Andaman And Nicobar Islands,4.951,0.254,14.833
2023-01-13,Andhra Pradesh,0.363,0.065,0.861
2023-01-14,Andhra Pradesh,0.407,0.072,0.965
2023-01-15,Andhra Pradesh,0.47,0.083,1.114
2023-01-16,Andhra Pradesh,0.552,0.098,1.31
2023-01-17,Andhra Pradesh,0.982,0.268,2.062
2023-01-18,Andhra Pradesh,1.549,0.529,3.003
2023-01-19,Andhra Pradesh,2.244,0.884,4.109
2023-01-20,Andhra Pradesh,2.47,0.973,4.523
2023-01-21,Andhra Pradesh,2.004,0.684,3.884
2023-01-22,Andhra Pradesh,2.344,0.923,4.29
2023-01-23,Andhra Pradesh,2.112,0.832,3.867
2023-01-24,Andhra Pradesh,1.522,0.52,2.95
2023-01-25,Andhra Pradesh,1.729,0.681,3.165
2023-01-26,Andhra Pradesh,2.559,1.273,4.205
2023-01-13,Arunachal Pradesh,2.002,0.103,5.999
2023-01-14,Arunachal Pradesh,2.367,0.121,7.09
2023-01-15,Arunachal Pradesh,2.766,0.142,8.285
2023-01-16,Arunachal Pradesh,3.174,0.163,9.509
2023-01-17,Arunachal Pradesh,3.564,0.183,10.678
2023-01-18,Arunachal Pradesh,3.913,0.201,11.721
2023-01-19,Arunachal Pradesh,4.204,0.216,12.593
2023-01-20,Arunachal Pradesh,4.434,0.227,13.283
2023-01-21,Arunachal Pradesh,4.608,0.236,13.803
2023-01-22,Arunachal Pradesh,4.733,0.243,14.18
2023-01-23,Arunachal Pradesh,4.822,0.247,14.444
2023-01-24,Arunachal Pradesh,4.882,0.25,14.626
2023-01-25,Arunachal Pradesh,4.923,0.253,14.748
2023-01-26,Arunachal Pradesh,4.95,0.254,14.83
2023-01-13,Assam,4.991,0.256,14.953
2023-01-14,Assam,4.995,0.256,14.963
2023-01-15,Assam,4.997,0.256,14.969
2023-01-16,Assam,4.998,0.256,14.972
2023-01-17,Assam,4.999,0.256,14.975
2023-01-18,Assam,4.999,0.256,14.976
2023-01-19,Assam,4.999,0.256,14.977
2023-01-20,Assam,5,0.256,14.978
2023-01-21,Assam,5,0.256,14.978
2023-01-22,Assam,5,0.256,14.978
2023-01-23,Assam,5,0.256,14.978
2023-01-24,Assam,5,0.256,14.979
2023-01-25,Assam,5,0.256,14.979
2023-01-26,Assam,5,0.256,14.979
2023-01-13,Bihar,0.098,0.005,0.294
2023-01-14,Bihar,0.135,0.007,0.405
2023-01-15,Bihar,0.189,0.01,0.566
2023-01-16,Bihar,0.267,0.014,0.799
2023-01-17,Bihar,0.379,0.019,1.135
2023-01-18,Bihar,2.69,1.06,4.924
2023-01-19,Bihar,6.056,3.014,9.953
2023-01-20,Bihar,7.747,3.855,12.733
2023-01-21,Bihar,7.332,3.648,12.049
2023-01-22,Bihar,5.901,3.079,9.465
2023-01-23,Bihar,4.028,2.102,6.461
2023-01-24,Bihar,3.238,1.757,5.085
2023-01-25,Bihar,2.006,0.998,3.297
2023-01-26,Bihar,1.85,0.965,2.967
2023-01-13,Chandigarh,1.148,0.452,2.102
2023-01-14,Chandigarh,1.192,0.47,2.181
2023-01-15,Chandigarh,1.231,0.485,2.253
2023-01-16,Chandigarh,0.755,0.206,1.584
2023-01-17,Chandigarh,0.762,0.208,1.6
2023-01-18,Chandigarh,0.77,0.21,1.616
2023-01-19,Chandigarh,0.79,0.215,1.658
2023-01-20,Chandigarh,0.276,0.014,0.826
2023-01-21,Chandigarh,0.293,0.015,0.878
2023-01-22,Chandigarh,0.318,0.016,0.953
2023-01-23,Chandigarh,0.357,0.018,1.068
2023-01-24,Chandigarh,0.415,0.021,1.243
2023-01-25,Chandigarh,0.499,0.026,1.495
2023-01-26,Chandigarh,0.617,0.032,1.849
2023-01-13,Chhattisgarh,2.748,1.626,4.11
2023-01-14,Chhattisgarh,2.571,1.521,3.845
2023-01-15,Chhattisgarh,1.412,0.702,2.32
2023-01-16,Chhattisgarh,1.232,0.613,2.025
2023-01-17,Chhattisgarh,0.954,0.448,1.614
2023-01-18,Chhattisgarh,0.879,0.413,1.487
2023-01-19,Chhattisgarh,0.725,0.316,1.269
2023-01-20,Chhattisgarh,0.481,0.164,0.933
2023-01-21,Chhattisgarh,0.493,0.168,0.955
2023-01-22,Chhattisgarh,0.517,0.177,1.003
2023-01-23,Chhattisgarh,0.695,0.274,1.273
2023-01-24,Chhattisgarh,0.762,0.3,1.395
2023-01-25,Chhattisgarh,1.011,0.44,1.771
2023-01-26,Chhattisgarh,1.48,0.737,2.433
2023-01-13,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-14,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-15,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-16,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-17,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-18,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-19,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-20,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-21,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-22,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-23,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-24,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-25,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-26,Dadra And Nagar Haveli,5,0.256,14.979
2023-01-13,Delhi,0.976,0.768,1.205
2023-01-14,Delhi,0.98,0.77,1.211
2023-01-15,Delhi,1.011,0.796,1.248
2023-01-16,Delhi,0.66,0.488,0.854
2023-01-17,Delhi,0.663,0.49,0.857
2023-01-18,Delhi,0.745,0.56,0.951
2023-01-19,Delhi,0.645,0.472,0.84
2023-01-20,Delhi,0.709,0.524,0.917
2023-01-21,Delhi,0.828,0.622,1.057
2023-01-22,Delhi,0.715,0.52,0.935
2023-01-23,Delhi,0.822,0.608,1.063
2023-01-24,Delhi,0.688,0.489,0.914
2023-01-25,Delhi,0.793,0.574,1.04
2023-01-26,Delhi,0.983,0.733,1.263
2023-01-13,Goa,0.946,0.56,1.415
2023-01-14,Goa,0.8,0.449,1.233
2023-01-15,Goa,0.729,0.396,1.145
2023-01-16,Goa,0.737,0.4,1.157
2023-01-17,Goa,0.754,0.409,1.184
2023-01-18,Goa,0.547,0.257,0.925
2023-01-19,Goa,0.491,0.214,0.859
2023-01-20,Goa,0.604,0.283,1.022
2023-01-21,Goa,0.461,0.182,0.844
2023-01-22,Goa,0.499,0.197,0.913
2023-01-23,Goa,0.545,0.215,0.997
2023-01-24,Goa,0.48,0.164,0.93
2023-01-25,Goa,1.062,0.528,1.745
2023-01-26,Goa,2.061,1.246,3.042
2023-01-13,Gujarat,0.924,0.632,1.262
2023-01-14,Gujarat,1.04,0.717,1.411
2023-01-15,Gujarat,1.376,0.991,1.814
2023-01-16,Gujarat,1.139,0.786,1.547
2023-01-17,Gujarat,1.242,0.871,1.669
2023-01-18,Gujarat,1.269,0.896,1.696
2023-01-19,Gujarat,1.099,0.758,1.492
2023-01-20,Gujarat,1.068,0.736,1.45
2023-01-21,Gujarat,0.911,0.61,1.26
2023-01-22,Gujarat,0.553,0.327,0.828
2023-01-23,Gujarat,0.592,0.358,0.874
2023-01-24,Gujarat,0.427,0.232,0.671
2023-01-25,Gujarat,0.664,0.409,0.969
2023-01-26,Gujarat,1.034,0.7,1.421
2023-01-13,Haryana,0.63,0.373,0.943
2023-01-14,Haryana,0.64,0.369,0.971
2023-01-15,Haryana,0.755,0.446,1.129
2023-01-16,Haryana,0.751,0.433,1.139
2023-01-17,Haryana,0.935,0.565,1.38
2023-01-18,Haryana,0.918,0.543,1.372
2023-01-19,Haryana,0.812,0.455,1.252
2023-01-20,Haryana,0.763,0.414,1.198
2023-01-21,Haryana,0.783,0.425,1.23
2023-01-22,Haryana,0.724,0.378,1.161
2023-01-23,Haryana,0.831,0.451,1.306
2023-01-24,Haryana,0.779,0.406,1.249
2023-01-25,Haryana,2.531,1.799,3.365
2023-01-26,Haryana,6.033,4.849,7.325
2023-01-13,Himachal Pradesh,0.756,0.489,1.072
2023-01-14,Himachal Pradesh,0.757,0.482,1.082
2023-01-15,Himachal Pradesh,0.613,0.363,0.917
2023-01-16,Himachal Pradesh,0.548,0.307,0.845
2023-01-17,Himachal Pradesh,0.577,0.323,0.889
2023-01-18,Himachal Pradesh,0.665,0.384,1.01
2023-01-19,Himachal Pradesh,0.473,0.236,0.778
2023-01-20,Himachal Pradesh,0.318,0.125,0.581
2023-01-21,Himachal Pradesh,0.274,0.094,0.531
2023-01-22,Himachal Pradesh,0.299,0.102,0.579
2023-01-23,Himachal Pradesh,0.332,0.113,0.643
2023-01-24,Himachal Pradesh,0.282,0.077,0.593
2023-01-25,Himachal Pradesh,0.326,0.089,0.684
2023-01-26,Himachal Pradesh,0.634,0.25,1.161
2023-01-13,Jammu And Kashmir,0.467,0.219,0.79
2023-01-14,Jammu And Kashmir,0.544,0.255,0.921
2023-01-15,Jammu And Kashmir,0.636,0.298,1.076
2023-01-16,Jammu And Kashmir,0.736,0.345,1.244
2023-01-17,Jammu And Kashmir,1.072,0.559,1.719
2023-01-18,Jammu And Kashmir,1.314,0.713,2.063
2023-01-19,Jammu And Kashmir,1.264,0.659,2.027
2023-01-20,Jammu And Kashmir,1.012,0.475,1.712
2023-01-21,Jammu And Kashmir,1.008,0.473,1.705
2023-01-22,Jammu And Kashmir,0.99,0.465,1.675
2023-01-23,Jammu And Kashmir,0.979,0.459,1.656
2023-01-24,Jammu And Kashmir,0.84,0.366,1.471
2023-01-25,Jammu And Kashmir,1.84,1.088,2.752
2023-01-26,Jammu And Kashmir,3.751,2.629,5.038
2023-01-13,Jharkhand,0,0,0
2023-01-14,Jharkhand,0,0,0
2023-01-15,Jharkhand,0,0,0
2023-01-16,Jharkhand,0,0,0
2023-01-17,Jharkhand,0,0,0
2023-01-18,Jharkhand,0,0,0
2023-01-19,Jharkhand,0,0,0
2023-01-20,Jharkhand,0,0,0
2023-01-21,Jharkhand,0,0,0.001
2023-01-22,Jharkhand,0,0,0.001
2023-01-23,Jharkhand,0.001,0,0.002
2023-01-24,Jharkhand,0.001,0,0.003
2023-01-25,Jharkhand,0.001,0,0.004
2023-01-26,Jharkhand,0.002,0,0.006
2023-01-13,Karnataka,0.86,0.769,0.955
2023-01-14,Karnataka,0.795,0.707,0.887
2023-01-15,Karnataka,0.788,0.7,0.88
2023-01-16,Karnataka,0.641,0.561,0.726
2023-01-17,Karnataka,0.72,0.634,0.81
2023-01-18,Karnataka,0.746,0.657,0.84
2023-01-19,Karnataka,0.827,0.732,0.928
2023-01-20,Karnataka,0.86,0.76,0.964
2023-01-21,Karnataka,0.854,0.753,0.961
2023-01-22,Karnataka,0.89,0.785,1.001
2023-01-23,Karnataka,1.09,0.971,1.213
2023-01-24,Karnataka,0.92,0.811,1.036
2023-01-25,Karnataka,1.258,1.129,1.394
2023-01-26,Karnataka,1.971,1.808,2.14
2023-01-13,Kerala,1.038,0.957,1.122
2023-01-14,Kerala,1.009,0.929,1.091
2023-01-15,Kerala,0.958,0.88,1.038
2023-01-16,Kerala,0.633,0.57,0.698
2023-01-17,Kerala,0.558,0.5,0.62
2023-01-18,Kerala,0.538,0.48,0.598
2023-01-19,Kerala,0.545,0.486,0.606
2023-01-20,Kerala,0.522,0.464,0.584
2023-01-21,Kerala,0.554,0.492,0.62
2023-01-22,Kerala,0.612,0.544,0.684
2023-01-23,Kerala,0.749,0.671,0.832
2023-01-24,Kerala,0.728,0.647,0.812
2023-01-25,Kerala,3.018,2.846,3.194
2023-01-26,Kerala,7.902,7.614,8.194
2023-01-13,Ladakh,0.535,0.095,1.27
2023-01-14,Ladakh,1.258,0.43,2.439
2023-01-15,Ladakh,1.471,0.503,2.852
2023-01-16,Ladakh,1.68,0.574,3.256
2023-01-17,Ladakh,1.359,0.371,2.853
2023-01-18,Ladakh,1.375,0.375,2.886
2023-01-19,Ladakh,1.338,0.365,2.809
2023-01-20,Ladakh,1.297,0.353,2.722
2023-01-21,Ladakh,0.424,0.022,1.269
2023-01-22,Ladakh,0.421,0.022,1.261
2023-01-23,Ladakh,0.43,0.022,1.287
2023-01-24,Ladakh,0.458,0.024,1.373
2023-01-25,Ladakh,0.513,0.026,1.537
2023-01-26,Ladakh,0.6,0.031,1.796
2023-01-13,Lakshadweep,0.007,0,0.02
2023-01-14,Lakshadweep,0.01,0,0.029
2023-01-15,Lakshadweep,0.014,0.001,0.041
2023-01-16,Lakshadweep,0.02,0.001,0.06
2023-01-17,Lakshadweep,0.029,0.002,0.088
2023-01-18,Lakshadweep,0.044,0.002,0.131
2023-01-19,Lakshadweep,0.065,0.003,0.195
2023-01-20,Lakshadweep,0.098,0.005,0.294
2023-01-21,Lakshadweep,0.148,0.008,0.444
2023-01-22,Lakshadweep,0.224,0.011,0.671
2023-01-23,Lakshadweep,0.338,0.017,1.014
2023-01-24,Lakshadweep,0.507,0.026,1.519
2023-01-25,Lakshadweep,0.75,0.038,2.247
2023-01-26,Lakshadweep,1.085,0.056,3.251
2023-01-13,Madhya Pradesh,0,0,0
2023-01-14,Madhya Pradesh,0,0,0
2023-01-15,Madhya Pradesh,0,0,0
2023-01-16,Madhya Pradesh,0,0,0
2023-01-17,Madhya Pradesh,0,0,0
2023-01-18,Madhya Pradesh,0,0,0
2023-01-19,Madhya Pradesh,0,0,0
2023-01-20,Madhya Pradesh,0,0,0
2023-01-21,Madhya Pradesh,0,0,0
2023-01-22,Madhya Pradesh,0,0,0
2023-01-23,Madhya Pradesh,0,0,0.001
2023-01-24,Madhya Pradesh,0,0,0.001
2023-01-25,Madhya Pradesh,0.001,0,0.002
2023-01-26,Madhya Pradesh,0.001,0,0.003
2023-01-13,Maharashtra,1.087,0.952,1.23
2023-01-14,Maharashtra,1.081,0.946,1.223
2023-01-15,Maharashtra,0.953,0.827,1.087
2023-01-16,Maharashtra,0.716,0.608,0.831
2023-01-17,Maharashtra,0.811,0.696,0.932
2023-01-18,Maharashtra,0.786,0.673,0.906
2023-01-19,Maharashtra,0.636,0.534,0.745
2023-01-20,Maharashtra,0.646,0.542,0.758
2023-01-21,Maharashtra,0.635,0.53,0.748
2023-01-22,Maharashtra,0.585,0.482,0.695
