Date,Condition,Count
10/03/20,Infected,47
10/03/20,Recovered,0
10/03/20,Deceased,0
11/03/20,Infected,60
11/03/20,Recovered,0
11/03/20,Deceased,0
12/03/20,Infected,71
12/03/20,Recovered,3
12/03/20,Deceased,0
13/03/20,Infected,77
13/03/20,Recovered,3
13/03/20,Deceased,1
14/03/20,Infected,72
14/03/20,Recovered,10
14/03/20,Deceased,2
15/03/20,Infected,95
15/03/20,Recovered,13
15/03/20,Deceased,2
16/03/20,Infected,99
16/03/20,Recovered,13
16/03/20,Deceased,2
17/03/20,Infected,120
17/03/20,Recovered,14
17/03/20,Deceased,3
18/03/20,Infected,134
18/03/20,Recovered,14
18/03/20,Deceased,3
19/03/20,Infected,149
19/03/20,Recovered,20
19/03/20,Deceased,4
20/03/20,Infected,196
20/03/20,Recovered,23
20/03/20,Deceased,4
21/03/20,Infected,256
21/03/20,Recovered,23
21/03/20,Deceased,4
22/03/20,Infected,329
22/03/20,Recovered,24
22/03/20,Deceased,7
23/03/20,Infected,390
23/03/20,Recovered,35
23/03/20,Deceased,8
24/03/20,Infected,470
24/03/20,Recovered,40
24/03/20,Deceased,9
25/03/20,Infected,553
25/03/20,Recovered,43
25/03/20,Deceased,10
26/03/20,Infected,634
26/03/20,Recovered,45
26/03/20,Deceased,15
27/03/20,Infected,775
27/03/20,Recovered,79
27/03/20,Deceased,19
28/03/20,Infected,810
28/03/20,Recovered,80
28/03/20,Deceased,19
29/03/20,Infected,901
29/03/20,Recovered,96
29/03/20,Deceased,27
30/03/20,Infected,1071
30/03/20,Recovered,102
30/03/20,Deceased,32
31/03/20,Infected,1200
31/03/20,Recovered,124
31/03/20,Deceased,35
01/04/20,Infected,1649
01/04/20,Recovered,144
01/04/20,Deceased,41
02/04/20,Infected,1860
02/04/20,Recovered,156
02/04/20,Deceased,53
03/04/20,Infected,2245
03/04/20,Recovered,163
03/04/20,Deceased,62
04/04/20,Infected,2784
04/04/20,Recovered,213
04/04/20,Deceased,75
05/04/20,Infected,3219
05/04/20,Recovered,275
05/04/20,Deceased,83
06/04/20,Infected,3851
06/04/20,Recovered,319
06/04/20,Deceased,111
07/04/20,Infected,4312
07/04/20,Recovered,353
07/04/20,Deceased,124
08/04/20,Infected,4714
08/04/20,Recovered,411
08/04/20,Deceased,149
09/04/20,Infected,5218
09/04/20,Recovered,478
09/04/20,Deceased,169
10/04/20,Infected,6039
10/04/20,Recovered,516
10/04/20,Deceased,206
11/04/20,Infected,6634
11/04/20,Recovered,653
11/04/20,Deceased,242
12/04/20,Infected,7409
12/04/20,Recovered,765
12/04/20,Deceased,273
13/04/20,Infected,8048
13/04/20,Recovered,980
13/04/20,Deceased,324
14/04/20,Infected,9272
14/04/20,Recovered,1190
14/04/20,Deceased,353
15/04/20,Infected,10197
15/04/20,Recovered,1344
15/04/20,Deceased,392
16/04/20,Infected,10824
16/04/20,Recovered,1515
16/04/20,Deceased,420
17/04/20,Infected,11616
17/04/20,Recovered,1767
17/04/20,Deceased,452
18/04/20,Infected,12289
18/04/20,Recovered,2015
18/04/20,Deceased,488
19/04/20,Infected,13295
19/04/20,Recovered,2302
19/04/20,Deceased,519
20/04/20,Infected,14255
20/04/20,Recovered,2842
20/04/20,Deceased,559
21/04/20,Infected,15122
21/04/20,Recovered,3260
21/04/20,Deceased,603
22/04/20,Infected,15859
22/04/20,Recovered,3960
22/04/20,Deceased,652
23/04/20,Infected,16689
23/04/20,Recovered,4325
23/04/20,Deceased,686
24/04/20,Infected,17915
24/04/20,Recovered,4814
24/04/20,Deceased,723
25/04/20,Infected,18904
25/04/20,Recovered,5210
25/04/20,Deceased,779
26/04/20,Infected,19865
26/04/20,Recovered,5914
26/04/20,Deceased,826
27/04/20,Infected,20912
27/04/20,Recovered,6362
27/04/20,Deceased,886
28/04/20,Infected,21870
28/04/20,Recovered,7027
28/04/20,Deceased,937
29/04/20,Infected,22904
29/04/20,Recovered,7797
29/04/20,Deceased,1008
30/04/20,Infected,23882
30/04/20,Recovered,8373
30/04/20,Deceased,1075
01/05/20,Infected,24755
01/05/20,Recovered,9065
01/05/20,Deceased,1152
02/05/20,Infected,26430
02/05/20,Recovered,10018
02/05/20,Deceased,1223
03/05/20,Infected,27931
03/05/20,Recovered,10887
03/05/20,Deceased,1306
04/05/20,Infected,29685
04/05/20,Recovered,11762
04/05/20,Deceased,1389
05/05/20,Infected,31967
05/05/20,Recovered,13161
05/05/20,Deceased,1583
06/05/20,Infected,33514
06/05/20,Recovered,14183
06/05/20,Deceased,1694
07/05/20,Infected,35902
07/05/20,Recovered,15267
07/05/20,Deceased,1783
08/05/20,Infected,37916
08/05/20,Recovered,16540
08/05/20,Deceased,1886
09/05/20,Infected,39834
09/05/20,Recovered,17847
09/05/20,Deceased,1981
10/05/20,Infected,41472
10/05/20,Recovered,19358
10/05/20,Deceased,2109
11/05/20,Infected,44029
11/05/20,Recovered,20917
11/05/20,Deceased,2206
12/05/20,Infected,46008
12/05/20,Recovered,22455
12/05/20,Deceased,2293
13/05/20,Infected,47480
13/05/20,Recovered,24386
13/05/20,Deceased,2415
14/05/20,Infected,49219
14/05/20,Recovered,26235
14/05/20,Deceased,2549
15/05/20,Infected,51401
15/05/20,Recovered,27920
15/05/20,Deceased,2649
16/05/20,Infected,52805
16/05/20,Recovered,30153
16/05/20,Deceased,2752
17/05/20,Infected,53656
17/05/20,Recovered,34109
17/05/20,Deceased,2872
18/05/20,Infected,55906
18/05/20,Recovered,36824
18/05/20,Deceased,3029
19/05/20,Infected,57988
19/05/20,Recovered,39174
19/05/20,Deceased,3163
20/05/20,Infected,60053
20/05/20,Recovered,42298
20/05/20,Deceased,3303
21/05/20,Infected,62221
21/05/20,Recovered,45300
21/05/20,Deceased,3435
22/05/20,Infected,64710
22/05/20,Recovered,48534
22/05/20,Deceased,3583
23/05/20,Infected,67698
23/05/20,Recovered,51784
23/05/20,Deceased,3720
24/05/20,Infected,71222
24/05/20,Recovered,54441
24/05/20,Deceased,3867
25/05/20,Infected,74461
25/05/20,Recovered,57721
25/05/20,Deceased,4021
26/05/20,Infected,77752
26/05/20,Recovered,60491
26/05/20,Deceased,4167
27/05/20,Infected,78991
27/05/20,Recovered,64426
27/05/20,Deceased,4337
28/05/20,Infected,81778
28/05/20,Recovered,67692
28/05/20,Deceased,4531
29/05/20,Infected,85314
29/05/20,Recovered,71106
29/05/20,Deceased,4706
30/05/20,Infected,81379
30/05/20,Recovered,82370
30/05/20,Deceased,4971
31/05/20,Infected,84504
31/05/20,Recovered,86984
31/05/20,Deceased,5164
01/06/20,Infected,87692
01/06/20,Recovered,91819
01/06/20,Deceased,5394
02/06/20,Infected,91167
02/06/20,Recovered,95527
02/06/20,Deceased,5598
03/06/20,Infected,94374
03/06/20,Recovered,100303
03/06/20,Deceased,5815
04/06/20,Infected,99254
04/06/20,Recovered,104107
04/06/20,Deceased,6075
05/06/20,Infected,103350
05/06/20,Recovered,109462
05/06/20,Deceased,6348
06/06/20,Infected,107750
06/06/20,Recovered,114073
06/06/20,Deceased,6642
07/06/20,Infected,111801
07/06/20,Recovered,119293
07/06/20,Deceased,6929
08/06/20,Infected,117144
08/06/20,Recovered,124430
08/06/20,Deceased,7200
09/06/20,Infected,121102
09/06/20,Recovered,129314
09/06/20,Deceased,7471
10/06/20,Infected,124405
10/06/20,Recovered,135206
10/06/20,Deceased,7745
11/06/20,Infected,128517
11/06/20,Recovered,141029
11/06/20,Deceased,8102
12/06/20,Infected,133527
12/06/20,Recovered,147195
12/06/20,Deceased,8498
13/06/20,Infected,137795
13/06/20,Recovered,154330
13/06/20,Deceased,8884
14/06/20,Infected,141912
14/06/20,Recovered,162379
14/06/20,Deceased,9195
15/06/20,Infected,146134
15/06/20,Recovered,169798
15/06/20,Deceased,9520
16/06/20,Infected,145494
16/06/20,Recovered,180013
16/06/20,Deceased,9900
17/06/20,Infected,146954
17/06/20,Recovered,186935
17/06/20,Deceased,11903
18/06/20,Infected,151681
18/06/20,Recovered,194325
18/06/20,Deceased,12237
19/06/20,Infected,154321
19/06/20,Recovered,204711
19/06/20,Deceased,12573
20/06/20,Infected,159004
20/06/20,Recovered,213831
20/06/20,Deceased,12948
21/06/20,Infected,160324
21/06/20,Recovered,227756
21/06/20,Deceased,13254
22/06/20,Infected,166555
22/06/20,Recovered,237196
22/06/20,Deceased,13699
23/06/20,Infected,169999
23/06/20,Recovered,248190
23/06/20,Deceased,14011
24/06/20,Infected,174881
24/06/20,Recovered,258685
24/06/20,Deceased,14476
25/06/20,Infected,178021
25/06/20,Recovered,271697
25/06/20,Deceased,14894
26/06/20,Infected,181340
26/06/20,Recovered,285637
26/06/20,Deceased,15301
27/06/20,Infected,189364
27/06/20,Recovered,295881
27/06/20,Deceased,15685
28/06/20,Infected,195212
28/06/20,Recovered,309713
28/06/20,Deceased,16095
29/06/20,Infected,202835
29/06/20,Recovered,321723
29/06/20,Deceased,16475
30/06/20,Infected,208121
30/06/20,Recovered,334822
30/06/20,Deceased,16893
01/07/20,Infected,213199
01/07/20,Recovered,347979
01/07/20,Deceased,17400
02/07/20,Infected,220115
02/07/20,Recovered,359860
02/07/20,Deceased,17834
03/07/20,Infected,221408
03/07/20,Recovered,379892
03/07/20,Deceased,18213
04/07/20,Infected,230434
04/07/20,Recovered,394227
04/07/20,Deceased,18655
05/07/20,Infected,240185
05/07/20,Recovered,409083
05/07/20,Deceased,19268
06/07/20,Infected,248374
06/07/20,Recovered,424433
06/07/20,Deceased,19693
07/07/20,Infected,254523
07/07/20,Recovered,439948
07/07/20,Deceased,20160
08/07/20,Infected,259926
08/07/20,Recovered,456831
08/07/20,Deceased,20642
09/07/20,Infected,265404
09/07/20,Recovered,476378
09/07/20,Deceased,21129
10/07/20,Infected,272521
10/07/20,Recovered,495516
10/07/20,Deceased,21604
11/07/20,Infected,279991
11/07/20,Recovered,515386
11/07/20,Deceased,22123
12/07/20,Infected,289234
12/07/20,Recovered,534621
12/07/20,Deceased,22674
13/07/20,Infected,299251
13/07/20,Recovered,553471
13/07/20,Deceased,23174
14/07/20,Infected,309386
14/07/20,Recovered,571460
14/07/20,Deceased,23727
15/07/20,Infected,318316
15/07/20,Recovered,592032
15/07/20,Deceased,24309
16/07/20,Infected,329861
16/07/20,Recovered,612815
16/07/20,Deceased,24915
17/07/20,Infected,341942
17/07/20,Recovered,635757
17/07/20,Deceased,25602
18/07/20,Infected,358529
18/07/20,Recovered,653751
18/07/20,Deceased,26273
19/07/20,Infected,373379
19/07/20,Recovered,677423
19/07/20,Deceased,26816
20/07/20,Infected,390459
20/07/20,Recovered,700087
20/07/20,Deceased,27497
21/07/20,Infected,402529
21/07/20,Recovered,724578
21/07/20,Deceased,28084
22/07/20,Infected,411133
22/07/20,Recovered,753050
22/07/20,Deceased,28732
23/07/20,Infected,426167
23/07/20,Recovered,782607
23/07/20,Deceased,29861
24/07/20,Infected,440135
24/07/20,Recovered,817209
24/07/20,Deceased,30601
25/07/20,Infected,456071
25/07/20,Recovered,849432
25/07/20,Deceased,31358
26/07/20,Infected,467882
26/07/20,Recovered,885577
26/07/20,Deceased,32063
27/07/20,Infected,485114
27/07/20,Recovered,917568
27/07/20,Deceased,32771
28/07/20,Infected,496988
28/07/20,Recovered,952743
28/07/20,Deceased,33425
29/07/20,Infected,509447
29/07/20,Recovered,988029
29/07/20,Deceased,34193
30/07/20,Infected,528242
30/07/20,Recovered,1020582
30/07/20,Deceased,34968
31/07/20,Infected,545318
31/07/20,Recovered,1057805
31/07/20,Deceased,35747
01/08/20,Infected,565103
01/08/20,Recovered,1094374
01/08/20,Deceased,36511
02/08/20,Infected,567730
02/08/20,Recovered,1145629
02/08/20,Deceased,37364
03/08/20,Infected,579357
03/08/20,Recovered,1186203
03/08/20,Deceased,38135
04/08/20,Infected,586298
04/08/20,Recovered,1230509
04/08/20,Deceased,38938
05/08/20,Infected,586244
05/08/20,Recovered,1282215
05/08/20,Deceased,39795
06/08/20,Infected,595501
06/08/20,Recovered,1328336
06/08/20,Deceased,40699
07/08/20,Infected,607384
07/08/20,Recovered,1378105
07/08/20,Deceased,41585
08/08/20,Infected,619088
08/08/20,Recovered,1427005
08/08/20,Deceased,42518
09/08/20,Infected,628747
09/08/20,Recovered,1480884
09/08/20,Deceased,43379
10/08/20,Infected,634945
10/08/20,Recovered,1535743
10/08/20,Deceased,44386
11/08/20,Infected,639929
11/08/20,Recovered,1583489
11/08/20,Deceased,45257
12/08/20,Infected,643948
12/08/20,Recovered,1639599
12/08/20,Deceased,46091
13/08/20,Infected,653622
13/08/20,Recovered,1695982
13/08/20,Deceased,47033
14/08/20,Infected,661595
14/08/20,Recovered,1751555
14/08/20,Deceased,48040
15/08/20,Infected,668220
15/08/20,Recovered,1808936
15/08/20,Deceased,49036
16/08/20,Infected,677444
16/08/20,Recovered,1862258
16/08/20,Deceased,49980
17/08/20,Infected,676900
17/08/20,Recovered,1919842
17/08/20,Deceased,50921
18/08/20,Infected,673166
18/08/20,Recovered,1977779
18/08/20,Deceased,51797
19/08/20,Infected,676514
19/08/20,Recovered,2037870
19/08/20,Deceased,52889
20/08/20,Infected,686395
20/08/20,Recovered,2096664
20/08/20,Deceased,53866
21/08/20,Infected,692028
21/08/20,Recovered,2158946
21/08/20,Deceased,54849
22/08/20,Infected,697330
22/08/20,Recovered,2222577
22/08/20,Deceased,55794
23/08/20,Infected,707668
23/08/20,Recovered,2280566
23/08/20,Deceased,56706
24/08/20,Infected,710771
24/08/20,Recovered,2338035
24/08/20,Deceased,57542
25/08/20,Infected,704348
25/08/20,Recovered,2404585
25/08/20,Deceased,58390
26/08/20,Infected,707267
26/08/20,Recovered,2467758
26/08/20,Deceased,59449
27/08/20,Infected,725991
27/08/20,Recovered,2523771
27/08/20,Deceased,60472
28/08/20,Infected,742023
28/08/20,Recovered,2583948
28/08/20,Deceased,61529
29/08/20,Infected,752424
29/08/20,Recovered,2648998
29/08/20,Deceased,62550
30/08/20,Infected,765302
30/08/20,Recovered,2713933
30/08/20,Deceased,63498
31/08/20,Infected,781975
31/08/20,Recovered,2774801
31/08/20,Deceased,64469
01/09/20,Infected,785996
01/09/20,Recovered,2839882
01/09/20,Deceased,65288
02/09/20,Infected,801282
02/09/20,Recovered,2901908
02/09/20,Deceased,66333
03/09/20,Infected,815538
03/09/20,Recovered,2970492
03/09/20,Deceased,67376
04/09/20,Infected,831124
04/09/20,Recovered,3037151
04/09/20,Deceased,68472
05/09/20,Infected,846395
05/09/20,Recovered,3107223
05/09/20,Deceased,69561
06/09/20,Infected,862320
06/09/20,Recovered,3180865
06/09/20,Deceased,70626
07/09/20,Infected,882542
07/09/20,Recovered,3250429
07/09/20,Deceased,71642
08/09/20,Infected,883697
08/09/20,Recovered,3323950
08/09/20,Deceased,72775
09/09/20,Infected,897394
09/09/20,Recovered,3398844
09/09/20,Deceased,73890
10/09/20,Infected,919018
10/09/20,Recovered,3471783
10/09/20,Deceased,75062
11/09/20,Infected,943480
11/09/20,Recovered,3542663
11/09/20,Deceased,76271
12/09/20,Infected,958316
12/09/20,Recovered,3624196
12/09/20,Deceased,77472
13/09/20,Infected,973175
13/09/20,Recovered,3702595
13/09/20,Deceased,78586
14/09/20,Infected,986598
14/09/20,Recovered,3780107
14/09/20,Deceased,79722
15/09/20,Infected,990061
15/09/20,Recovered,3859399
15/09/20,Deceased,80776
16/09/20,Infected,995933
16/09/20,Recovered,3942360
16/09/20,Deceased,82066
17/09/20,Infected,1009976
17/09/20,Recovered,4025079
17/09/20,Deceased,83198
18/09/20,Infected,1017754
18/09/20,Recovered,4112551
18/09/20,Deceased,84372
19/09/20,Infected,1013964
19/09/20,Recovered,4208431
19/09/20,Deceased,85619
20/09/20,Infected,1010824
20/09/20,Recovered,4303043
20/09/20,Deceased,86752
21/09/20,Infected,1003299
21/09/20,Recovered,4396399
21/09/20,Deceased,87882
22/09/20,Infected,975861
22/09/20,Recovered,4497867
22/09/20,Deceased,88935
23/09/20,Infected,968377
23/09/20,Recovered,4587613
23/09/20,Deceased,90020
24/09/20,Infected,966382
24/09/20,Recovered,4674987
24/09/20,Deceased,91149
25/09/20,Infected,970116
25/09/20,Recovered,4756164
25/09/20,Deceased,92290
26/09/20,Infected,960969
26/09/20,Recovered,4849584
26/09/20,Deceased,93379
27/09/20,Infected,956402
27/09/20,Recovered,4941627
27/09/20,Deceased,94503
28/09/20,Infected,962640
28/09/20,Recovered,5016520
28/09/20,Deceased,95542
29/09/20,Infected,947576
29/09/20,Recovered,5101397
29/09/20,Deceased,96318
30/09/20,Infected,940441
30/09/20,Recovered,5187825
30/09/20,Deceased,97497
01/10/20,Infected,940705
01/10/20,Recovered,5273201
01/10/20,Deceased,98678
02/10/20,Infected,942217
02/10/20,Recovered,5352078
02/10/20,Deceased,99773
03/10/20,Infected,944996
03/10/20,Recovered,5427706
03/10/20,Deceased,100842
04/10/20,Infected,937625
04/10/20,Recovered,5509966
04/10/20,Deceased,101782
05/10/20,Infected,934427
05/10/20,Recovered,5586703
05/10/20,Deceased,102685
06/10/20,Infected,919023
06/10/20,Recovered,5662490
06/10/20,Deceased,103569
07/10/20,Infected,907883
07/10/20,Recovered,5744693
07/10/20,Deceased,104555
08/10/20,Infected,902425
08/10/20,Recovered,5827704
08/10/20,Deceased,105526
09/10/20,Infected,893592
09/10/20,Recovered,5906069
09/10/20,Deceased,106490
10/10/20,Infected,883185
10/10/20,Recovered,5988822
10/10/20,Deceased,107416
11/10/20,Infected,867496
11/10/20,Recovered,6077976
11/10/20,Deceased,108334
12/10/20,Infected,861853
12/10/20,Recovered,6149535
12/10/20,Deceased,109150
13/10/20,Infected,838729
13/10/20,Recovered,6227295
13/10/20,Deceased,109856
14/10/20,Infected,826876
14/10/20,Recovered,6301927
14/10/20,Deceased,110586
15/10/20,Infected,812390
15/10/20,Recovered,6383441
15/10/20,Deceased,111266
16/10/20,Infected,804528
16/10/20,Recovered,6453779
16/10/20,Deceased,112161
17/10/20,Infected,795087
17/10/20,Recovered,6524595
17/10/20,Deceased,112998
18/10/20,Infected,783311
18/10/20,Recovered,6597209
18/10/20,Deceased,114031
19/10/20,Infected,772055
19/10/20,Recovered,6663608
19/10/20,Deceased,114610
20/10/20,Infected,748538
20/10/20,Recovered,6733328
20/10/20,Deceased,115197
21/10/20,Infected,740090
21/10/20,Recovered,6795103
21/10/20,Deceased,115914
22/10/20,Infected,715812
22/10/20,Recovered,6874518
22/10/20,Deceased,116616
23/10/20,Infected,695509
23/10/20,Recovered,6948497
23/10/20,Deceased,117306
24/10/20,Infected,680680
24/10/20,Recovered,7016046
24/10/20,Deceased,117956
25/10/20,Infected,668154
25/10/20,Recovered,7078123
25/10/20,Deceased,118534
26/10/20,Infected,653717
26/10/20,Recovered,7137228
26/10/20,Deceased,119014
27/10/20,Infected,625857
27/10/20,Recovered,7201070
27/10/20,Deceased,119502
28/10/20,Infected,610803
28/10/20,Recovered,7259509
28/10/20,Deceased,120010
29/10/20,Infected,603687
29/10/20,Recovered,7315989
29/10/20,Deceased,120527
30/10/20,Infected,594386
30/10/20,Recovered,7373375
30/10/20,Deceased,121090
