"age_categ","w1_total_cnt","w1_ratio","mw_total_cnt","mw_ratio","w2_total_cnt","w2_ratio"
"0-10","18","1","3","-","21","1.1"
"10-20","40","1.5","5","0.667","57","0.839"
"20-30","223","1.72","20","1","657","1.566"
"30-40","688","2.51","46","1.706","2155","2.346"
"40-50","1634","2.173","113","2.424","4323","1.685"
"50-60","3127","1.995","241","1.904","6456","1.325"
"60-70","3886","2.196","354","2.078","7476","1.338"
"70-80","2632","2.286","293","2.488","5157","1.606"
"80-90","979","2.274","131","2.639","2088","1.68"
"90-100","132","2.667","26","1.364","368","1.344"
"100-110","2","-","1","0","8","1.667"
"110-120","0","-","0","-","1","-"
