Date,District,Infected,Recovered,Deceased
22-03-2020,Bagalakote,0,0,0
23-03-2020,Bagalakote,0,0,0
24-03-2020,Bagalakote,0,0,0
25-03-2020,Bagalakote,0,0,0
26-03-2020,Bagalakote,0,0,0
27-03-2020,Bagalakote,0,0,0
28-03-2020,Bagalakote,0,0,0
29-03-2020,Bagalakote,0,0,0
30-03-2020,Bagalakote,0,0,0
31-03-2020,Bagalakote,0,0,0
01-04-2020,Bagalakote,0,0,0
02-04-2020,Bagalakote,0,0,0
03-04-2020,Bagalakote,1,0,0
04-04-2020,Bagalakote,1,0,1
05-04-2020,Bagalakote,1,0,1
06-04-2020,Bagalakote,3,0,1
07-04-2020,Bagalakote,5,0,1
08-04-2020,Bagalakote,5,0,1
09-04-2020,Bagalakote,8,0,1
10-04-2020,Bagalakote,8,0,1
11-04-2020,Bagalakote,8,0,1
12-04-2020,Bagalakote,8,0,1
13-04-2020,Bagalakote,9,0,1
14-04-2020,Bagalakote,12,0,1
15-04-2020,Bagalakote,14,0,1
16-04-2020,Bagalakote,14,0,1
17-04-2020,Bagalakote,14,0,1
18-04-2020,Bagalakote,21,0,1
19-04-2020,Bagalakote,21,0,1
20-04-2020,Bagalakote,21,0,1
21-04-2020,Bagalakote,21,2,1
22-04-2020,Bagalakote,21,2,1
23-04-2020,Bagalakote,21,2,1
24-04-2020,Bagalakote,24,2,1
25-04-2020,Bagalakote,24,2,1
26-04-2020,Bagalakote,24,6,1
27-04-2020,Bagalakote,26,6,1
28-04-2020,Bagalakote,29,6,1
29-04-2020,Bagalakote,29,6,1
30-04-2020,Bagalakote,29,6,1
01-05-2020,Bagalakote,29,6,1
02-05-2020,Bagalakote,30,6,1
03-05-2020,Bagalakote,33,10,1
04-05-2020,Bagalakote,33,10,1
05-05-2020,Bagalakote,35,13,1
06-05-2020,Bagalakote,48,17,1
07-05-2020,Bagalakote,51,18,1
08-05-2020,Bagalakote,51,18,1
09-05-2020,Bagalakote,51,18,1
10-05-2020,Bagalakote,51,21,1
11-05-2020,Bagalakote,53,21,1
12-05-2020,Bagalakote,68,27,1
13-05-2020,Bagalakote,68,27,1
14-05-2020,Bagalakote,69,27,1
15-05-2020,Bagalakote,70,27,1
16-05-2020,Bagalakote,71,27,1
17-05-2020,Bagalakote,71,27,1
18-05-2020,Bagalakote,71,31,1
19-05-2020,Bagalakote,76,31,1
20-05-2020,Bagalakote,76,31,1
21-05-2020,Bagalakote,76,37,1
22-05-2020,Bagalakote,77,39,1
23-05-2020,Bagalakote,77,39,1
24-05-2020,Bagalakote,77,42,1
25-05-2020,Bagalakote,77,45,1
26-05-2020,Bagalakote,77,62,1
27-05-2020,Bagalakote,77,62,1
28-05-2020,Bagalakote,77,63,1
29-05-2020,Bagalakote,77,63,1
30-05-2020,Bagalakote,77,66,1
31-05-2020,Bagalakote,77,66,1
01-06-2020,Bagalakote,79,66,1
02-06-2020,Bagalakote,88,66,1
03-06-2020,Bagalakote,90,71,1
04-06-2020,Bagalakote,90,71,1
05-06-2020,Bagalakote,91,71,1
06-06-2020,Bagalakote,91,74,1
07-06-2020,Bagalakote,91,76,1
08-06-2020,Bagalakote,93,76,1
09-06-2020,Bagalakote,94,82,1
10-06-2020,Bagalakote,96,83,1
11-06-2020,Bagalakote,99,83,1
12-06-2020,Bagalakote,99,88,1
13-06-2020,Bagalakote,100,88,1
14-06-2020,Bagalakote,104,89,1
15-06-2020,Bagalakote,107,89,1
16-06-2020,Bagalakote,107,91,1
17-06-2020,Bagalakote,111,91,1
18-06-2020,Bagalakote,112,91,1
19-06-2020,Bagalakote,115,93,1
20-06-2020,Bagalakote,117,94,1
21-06-2020,Bagalakote,131,100,1
22-06-2020,Bagalakote,137,100,1
23-06-2020,Bagalakote,137,100,1
24-06-2020,Bagalakote,137,100,1
25-06-2020,Bagalakote,155,100,1
26-06-2020,Bagalakote,161,113,2
27-06-2020,Bagalakote,163,113,2
28-06-2020,Bagalakote,180,113,4
29-06-2020,Bagalakote,184,117,5
30-06-2020,Bagalakote,188,117,5
01-07-2020,Bagalakote,208,123,5
02-07-2020,Bagalakote,218,123,5
03-07-2020,Bagalakote,226,123,5
04-07-2020,Bagalakote,226,123,5
05-07-2020,Bagalakote,230,137,5
06-07-2020,Bagalakote,263,137,6
07-07-2020,Bagalakote,289,141,7
08-07-2020,Bagalakote,313,150,7
09-07-2020,Bagalakote,349,150,7
10-07-2020,Bagalakote,355,150,7
11-07-2020,Bagalakote,392,150,9
12-07-2020,Bagalakote,399,178,11
13-07-2020,Bagalakote,436,209,13
14-07-2020,Bagalakote,514,209,17
15-07-2020,Bagalakote,548,209,20
16-07-2020,Bagalakote,587,216,25
17-07-2020,Bagalakote,616,216,26
18-07-2020,Bagalakote,629,243,29
19-07-2020,Bagalakote,689,264,31
20-07-2020,Bagalakote,743,264,34
21-07-2020,Bagalakote,808,318,34
22-07-2020,Bagalakote,878,318,36
23-07-2020,Bagalakote,984,318,36
24-07-2020,Bagalakote,1168,318,36
25-07-2020,Bagalakote,1225,477,36
26-07-2020,Bagalakote,1266,630,38
27-07-2020,Bagalakote,1293,643,40
28-07-2020,Bagalakote,1408,730,42
29-07-2020,Bagalakote,1465,751,44
30-07-2020,Bagalakote,1591,806,46
31-07-2020,Bagalakote,1679,806,47
01-08-2020,Bagalakote,1813,907,47
02-08-2020,Bagalakote,1944,967,49
03-08-2020,Bagalakote,2153,1031,49
04-08-2020,Bagalakote,2297,1059,50
05-08-2020,Bagalakote,2446,1101,50
06-08-2020,Bagalakote,2614,1134,51
07-08-2020,Bagalakote,2762,1218,51
08-08-2020,Bagalakote,2911,1594,51
09-08-2020,Bagalakote,3060,1642,51
10-08-2020,Bagalakote,3207,1975,52
11-08-2020,Bagalakote,3342,2133,53
12-08-2020,Bagalakote,3512,2345,53
13-08-2020,Bagalakote,3655,2507,54
14-08-2020,Bagalakote,3826,2803,54
15-08-2020,Bagalakote,3994,2941,54
16-08-2020,Bagalakote,4150,2985,54
17-08-2020,Bagalakote,4314,3086,55
18-08-2020,Bagalakote,4485,3350,56
19-08-2020,Bagalakote,4648,3651,56
20-08-2020,Bagalakote,4807,3948,56
21-08-2020,Bagalakote,4922,4029,56
22-08-2020,Bagalakote,5060,4151,57
23-08-2020,Bagalakote,5199,4291,58
24-08-2020,Bagalakote,5252,4421,61
25-08-2020,Bagalakote,5335,4498,61
26-08-2020,Bagalakote,5489,4593,66
27-08-2020,Bagalakote,5610,4712,69
28-08-2020,Bagalakote,5758,4853,72
29-08-2020,Bagalakote,5910,4991,73
30-08-2020,Bagalakote,6042,5175,73
31-08-2020,Bagalakote,6214,5384,74
01-09-2020,Bagalakote,6350,5465,76
02-09-2020,Bagalakote,6516,5552,76
03-09-2020,Bagalakote,6639,5631,77
04-09-2020,Bagalakote,6737,5730,78
05-09-2020,Bagalakote,6881,5794,80
06-09-2020,Bagalakote,7061,5937,80
07-09-2020,Bagalakote,7187,6062,81
08-09-2020,Bagalakote,7399,6227,81
09-09-2020,Bagalakote,7618,6396,83
10-09-2020,Bagalakote,7695,6504,84
11-09-2020,Bagalakote,7883,6633,85
12-09-2020,Bagalakote,8058,6750,85
13-09-2020,Bagalakote,8223,6802,85
14-09-2020,Bagalakote,8389,6948,88
15-09-2020,Bagalakote,8389,6948,88
16-09-2020,Bagalakote,8547,6948,89
17-09-2020,Bagalakote,8781,7619,93
18-09-2020,Bagalakote,8987,7731,96
19-09-2020,Bagalakote,9139,7785,97
20-09-2020,Bagalakote,9229,7891,98
21-09-2020,Bagalakote,9352,8045,100
22-09-2020,Bagalakote,9429,8360,102
23-09-2020,Bagalakote,9479,8408,102
24-09-2020,Bagalakote,9539,8451,102
25-09-2020,Bagalakote,9674,8499,103
26-09-2020,Bagalakote,9821,8541,104
27-09-2020,Bagalakote,9867,8658,105
28-09-2020,Bagalakote,10058,8729,105
29-09-2020,Bagalakote,10186,8817,105
30-09-2020,Bagalakote,10237,9285,106
01-10-2020,Bagalakote,10573,9354,107
02-10-2020,Bagalakote,10641,9425,109
03-10-2020,Bagalakote,10729,9632,109
04-10-2020,Bagalakote,10826,9777,110
05-10-2020,Bagalakote,10985,9925,110
06-10-2020,Bagalakote,11069,10017,110
07-10-2020,Bagalakote,11190,10167,113
08-10-2020,Bagalakote,11288,10501,116
09-10-2020,Bagalakote,11364,10609,116
10-10-2020,Bagalakote,11488,10754,117
11-10-2020,Bagalakote,11617,10833,117
12-10-2020,Bagalakote,11778,10902,119
13-10-2020,Bagalakote,11866,10994,120
14-10-2020,Bagalakote,12024,11089,122
15-10-2020,Bagalakote,12157,11137,123
16-10-2020,Bagalakote,12233,11248,124
17-10-2020,Bagalakote,12385,11391,125
18-10-2020,Bagalakote,12523,11470,126
19-10-2020,Bagalakote,12617,11535,127
20-10-2020,Bagalakote,12644,11572,128
21-10-2020,Bagalakote,12758,11757,128
22-10-2020,Bagalakote,12817,12015,129
23-10-2020,Bagalakote,12834,12190,130
24-10-2020,Bagalakote,12891,12340,131
25-10-2020,Bagalakote,12932,12452,131
26-10-2020,Bagalakote,12983,12524,131
27-10-2020,Bagalakote,13017,12601,131
28-10-2020,Bagalakote,13043,12647,131
29-10-2020,Bagalakote,13062,12696,131
30-10-2020,Bagalakote,13082,12746,131
31-10-2020,Bagalakote,13106,12800,131
01-11-2020,Bagalakote,13126,12848,131
02-11-2020,Bagalakote,13130,12865,131
03-11-2020,Bagalakote,13152,12900,131
04-11-2020,Bagalakote,13199,12914,131
05-11-2020,Bagalakote,13214,12933,131
06-11-2020,Bagalakote,13239,12957,131
07-11-2020,Bagalakote,13263,12978,131
08-11-2020,Bagalakote,13270,13005,131
09-11-2020,Bagalakote,13292,13035,131
10-11-2020,Bagalakote,13303,13069,131
11-11-2020,Bagalakote,13317,13074,131
12-11-2020,Bagalakote,13331,13084,131
13-11-2020,Bagalakote,13340,13098,131
14-11-2020,Bagalakote,13348,13111,131
15-11-2020,Bagalakote,13356,13127,132
16-11-2020,Bagalakote,13362,13144,132
17-11-2020,Bagalakote,13386,13150,132
18-11-2020,Bagalakote,13400,13157,132
19-11-2020,Bagalakote,13408,13162,132
20-11-2020,Bagalakote,13431,13171,132
21-11-2020,Bagalakote,13441,13177,132
22-11-2020,Bagalakote,13445,13189,132
23-11-2020,Bagalakote,13462,13196,133
24-11-2020,Bagalakote,13464,13205,134
25-11-2020,Bagalakote,13469,13211,134
26-11-2020,Bagalakote,13476,13232,134
27-11-2020,Bagalakote,13481,13243,134
28-11-2020,Bagalakote,13498,13246,135
29-11-2020,Bagalakote,13502,13254,135
30-11-2020,Bagalakote,13505,13256,136
01-12-2020,Bagalakote,13516,13265,136
02-12-2020,Bagalakote,13528,13292,136
03-12-2020,Bagalakote,13535,13302,136
