state,district,code
Andaman and Nicobar Islands,Nicobars,1
Andaman and Nicobar Islands,North and Middle Andaman,2
Andaman and Nicobar Islands,South Andaman,3
Andaman and Nicobar Islands,Unknown,4
Andhra Pradesh,Anantapur,5
Andhra Pradesh,Chittoor,6
Andhra Pradesh,East Godavari,7
Andhra Pradesh,Guntur,8
Andhra Pradesh,Krishna,9
Andhra Pradesh,Kurnool,10
Andhra Pradesh,Prakasam,11
Andhra Pradesh,S.P.S. Nellore,12
Andhra Pradesh,Srikakulam,13
Andhra Pradesh,Unknown,14
Andhra Pradesh,Visakhapatnam,15
Andhra Pradesh,Vizianagaram,16
Andhra Pradesh,West Godavari,17
Andhra Pradesh,Y.S.R. Kadapa,18
Andhra Pradesh,YSR Kadapa,19
Arunachal Pradesh,Anjaw,20
Arunachal Pradesh,Capital Complex,21
Arunachal Pradesh,Changlang,22
Arunachal Pradesh,East Kameng,23
Arunachal Pradesh,East Siang,24
Arunachal Pradesh,Kamle,25
Arunachal Pradesh,Kra Daadi,26
Arunachal Pradesh,Kurung Kumey,27
Arunachal Pradesh,Lepa Rada,28
Arunachal Pradesh,Lohit,29
Arunachal Pradesh,Longding,30
Arunachal Pradesh,Lower Dibang Valley,31
Arunachal Pradesh,Lower Siang,32
Arunachal Pradesh,Lower Subansiri,33
Arunachal Pradesh,Namsai,34
Arunachal Pradesh,Pakke Kessang,35
Arunachal Pradesh,Papum Pare,36
Arunachal Pradesh,Shi Yomi,37
Arunachal Pradesh,Siang,38
Arunachal Pradesh,Tawang,39
Arunachal Pradesh,Tirap,40
Arunachal Pradesh,Unknown,41
Arunachal Pradesh,Upper Dibang Valley,42
Arunachal Pradesh,Upper Siang,43
Arunachal Pradesh,Upper Subansiri,44
Arunachal Pradesh,West Kameng,45
Arunachal Pradesh,West Siang,46
Assam,Airport Quarantine,47
Assam,Baksa,48
Assam,Barpeta,49
Assam,Biswanath,50
Assam,Bongaigaon,51
Assam,Cachar,52
Assam,Charaideo,53
Assam,Chirang,54
Assam,Darrang,55
Assam,Dhemaji,56
Assam,Dhubri,57
Assam,Dibrugarh,58
Assam,Dima Hasao,59
Assam,Goalpara,60
Assam,Golaghat,61
Assam,Hailakandi,62
Assam,Hojai,63
Assam,Jorhat,64
Assam,Kamrup,65
Assam,Kamrup Metropolitan,66
Assam,Karbi Anglong,67
Assam,Karimganj,68
Assam,Kokrajhar,69
Assam,Lakhimpur,70
Assam,Majuli,71
Assam,Morigaon,72
Assam,Nagaon,73
Assam,Nalbari,74
Assam,Sivasagar,75
Assam,Sonitpur,76
Assam,South Salmara Mankachar,77
Assam,Tinsukia,78
Assam,Udalguri,79
Assam,Unknown,80
Assam,West Karbi Anglong,81
Bihar,Araria,82
Bihar,Arwal,83
Bihar,Aurangabad,84
Bihar,Banka,85
Bihar,Begusarai,86
Bihar,Bhagalpur,87
Bihar,Bhojpur,88
Bihar,Buxar,89
Bihar,Darbhanga,90
Bihar,East Champaran,91
Bihar,Gaya,92
Bihar,Gopalganj,93
Bihar,Jamui,94
Bihar,Jehanabad,95
Bihar,Kaimur,96
Bihar,Katihar,97
Bihar,Khagaria,98
Bihar,Kishanganj,99
Bihar,Lakhisarai,100
Bihar,Madhepura,101
Bihar,Madhubani,102
Bihar,Munger,103
Bihar,Muzaffarpur,104
Bihar,Nalanda,105
Bihar,Nawada,106
Bihar,Patna,107
Bihar,Purnia,108
Bihar,Rohtas,109
Bihar,Saharsa,110
Bihar,Sahasra,111
Bihar,Samastipur,112
Bihar,Saran,113
Bihar,Sheikhpura,114
Bihar,Sheohar,115
Bihar,Sitamarhi,116
Bihar,Siwan,117
Bihar,Supaul,118
Bihar,Unknown,119
Bihar,Vaishali,120
Bihar,West Champaran,121
Chandigarh,Chandigarh,122
Chandigarh,Unknown,123
Chhattisgarh,Balod,124
Chhattisgarh,Baloda Bazar,125
Chhattisgarh,Balrampur,126
Chhattisgarh,Bametara,127
Chhattisgarh,Bastar,128
Chhattisgarh,Bijapur,129
Chhattisgarh,Bilaspur,130
Chhattisgarh,Dakshin Bastar Dantewada,131
Chhattisgarh,Dantewada,132
Chhattisgarh,Dhamtari,133
Chhattisgarh,Durg,134
Chhattisgarh,Gariaband,135
Chhattisgarh,Gaurela Pendra Marwahi,136
Chhattisgarh,Janjgir Champa,137
Chhattisgarh,Jashpur,138
Chhattisgarh,Kabeerdham,139
Chhattisgarh,Kondagaon,140
Chhattisgarh,Korba,141
Chhattisgarh,Koriya,142
Chhattisgarh,Mahasamund,143
Chhattisgarh,Mungeli,144
Chhattisgarh,Narayanpur,145
Chhattisgarh,Raigarh,146
Chhattisgarh,Raipur,147
Chhattisgarh,Rajnandgaon,148
