DISTRICTCODE,Date,ICU
1,05-06-2020,0
2,05-06-2020,0
3,05-06-2020,0
4,05-06-2020,0
5,05-06-2020,5
6,05-06-2020,0
7,05-06-2020,0
8,05-06-2020,0
9,05-06-2020,0
10,05-06-2020,0
11,05-06-2020,0
12,05-06-2020,1
13,05-06-2020,2
14,05-06-2020,0
15,05-06-2020,0
16,05-06-2020,0
17,05-06-2020,3
18,05-06-2020,0
19,05-06-2020,0
20,05-06-2020,0
21,05-06-2020,0
22,05-06-2020,0
23,05-06-2020,0
24,05-06-2020,0
25,05-06-2020,0
26,05-06-2020,1
27,05-06-2020,0
28,05-06-2020,0
29,05-06-2020,1
30,05-06-2020,0
1,06-06-2020,0
2,06-06-2020,0
3,06-06-2020,0
4,06-06-2020,0
5,06-06-2020,5
6,06-06-2020,0
7,06-06-2020,0
8,06-06-2020,0
9,06-06-2020,0
10,06-06-2020,0
11,06-06-2020,0
12,06-06-2020,0
13,06-06-2020,2
14,06-06-2020,0
15,06-06-2020,0
16,06-06-2020,0
17,06-06-2020,3
18,06-06-2020,0
19,06-06-2020,0
20,06-06-2020,0
21,06-06-2020,0
22,06-06-2020,0
23,06-06-2020,0
24,06-06-2020,0
25,06-06-2020,0
26,06-06-2020,1
27,06-06-2020,0
28,06-06-2020,0
29,06-06-2020,0
30,06-06-2020,0
1,07-06-2020,0
2,07-06-2020,0
3,07-06-2020,0
4,07-06-2020,0
5,07-06-2020,10
6,07-06-2020,0
7,07-06-2020,0
8,07-06-2020,0
9,07-06-2020,0
10,07-06-2020,0
11,07-06-2020,0
12,07-06-2020,0
13,07-06-2020,2
14,07-06-2020,0
15,07-06-2020,0
16,07-06-2020,0
17,07-06-2020,3
18,07-06-2020,0
19,07-06-2020,0
20,07-06-2020,0
21,07-06-2020,0
22,07-06-2020,0
23,07-06-2020,0
24,07-06-2020,0
25,07-06-2020,0
26,07-06-2020,1
27,07-06-2020,0
28,07-06-2020,0
29,07-06-2020,0
30,07-06-2020,0
1,08-06-2020,0
2,08-06-2020,0
3,08-06-2020,0
4,08-06-2020,0
5,08-06-2020,7
6,08-06-2020,0
7,08-06-2020,0
8,08-06-2020,0
9,08-06-2020,0
10,08-06-2020,0
11,08-06-2020,0
12,08-06-2020,0
13,08-06-2020,1
14,08-06-2020,0
15,08-06-2020,0
16,08-06-2020,0
17,08-06-2020,4
18,08-06-2020,0
19,08-06-2020,0
20,08-06-2020,0
21,08-06-2020,1
22,08-06-2020,0
23,08-06-2020,0
24,08-06-2020,0
25,08-06-2020,0
26,08-06-2020,1
27,08-06-2020,0
28,08-06-2020,0
29,08-06-2020,0
30,08-06-2020,0
1,09-06-2020,0
2,09-06-2020,0
3,09-06-2020,0
4,09-06-2020,0
5,09-06-2020,6
6,09-06-2020,0
7,09-06-2020,0
8,09-06-2020,0
9,09-06-2020,0
10,09-06-2020,0
11,09-06-2020,0
12,09-06-2020,0
13,09-06-2020,1
14,09-06-2020,0
15,09-06-2020,0
16,09-06-2020,0
17,09-06-2020,4
18,09-06-2020,0
19,09-06-2020,0
20,09-06-2020,0
21,09-06-2020,1
22,09-06-2020,0
23,09-06-2020,0
24,09-06-2020,0
25,09-06-2020,0
26,09-06-2020,0
27,09-06-2020,0
28,09-06-2020,0
29,09-06-2020,0
30,09-06-2020,0
1,10-06-2020,0
2,10-06-2020,0
3,10-06-2020,0
4,10-06-2020,0
5,10-06-2020,4
6,10-06-2020,2
7,10-06-2020,1
8,10-06-2020,0
9,10-06-2020,0
10,10-06-2020,0
11,10-06-2020,1
12,10-06-2020,0
13,10-06-2020,1
14,10-06-2020,0
15,10-06-2020,0
16,10-06-2020,0
17,10-06-2020,4
18,10-06-2020,0
19,10-06-2020,0
20,10-06-2020,0
21,10-06-2020,1
