"District","Date","Total Active"
"Bagalkot","2020-03-22","0"
"Bagalkot","2020-03-23","0"
"Bagalkot","2020-03-24","0"
"Bagalkot","2020-03-25","0"
"Bagalkot","2020-03-26","0"
"Bagalkot","2020-03-27","0"
"Bagalkot","2020-03-28","0"
"Bagalkot","2020-03-29","0"
"Bagalkot","2020-03-30","0"
"Bagalkot","2020-03-31","0"
"Bagalkot","2020-04-01","0"
"Bagalkot","2020-04-02","0"
"Bagalkot","2020-04-03","1"
"Bagalkot","2020-04-04","0"
"Bagalkot","2020-04-05","0"
"Bagalkot","2020-04-06","2"
"Bagalkot","2020-04-07","4"
"Bagalkot","2020-04-08","4"
"Bagalkot","2020-04-09","7"
"Bagalkot","2020-04-10","7"
"Bagalkot","2020-04-11","7"
"Bagalkot","2020-04-12","7"
"Bagalkot","2020-04-13","8"
"Bagalkot","2020-04-14","11"
"Bagalkot","2020-04-15","13"
"Bagalkot","2020-04-16","13"
"Bagalkot","2020-04-17","13"
"Bagalkot","2020-04-18","20"
"Bagalkot","2020-04-19","20"
"Bagalkot","2020-04-20","20"
"Bagalkot","2020-04-21","18"
"Bagalkot","2020-04-22","18"
"Bagalkot","2020-04-23","18"
"Bagalkot","2020-04-24","21"
"Bagalkot","2020-04-25","21"
"Bagalkot","2020-04-26","17"
"Bagalkot","2020-04-27","19"
"Bagalkot","2020-04-28","22"
"Bagalkot","2020-04-29","22"
"Bagalkot","2020-04-30","22"
"Bagalkot","2020-05-01","22"
"Bagalkot","2020-05-02","23"
"Bagalkot","2020-05-03","22"
"Bagalkot","2020-05-04","22"
"Bagalkot","2020-05-05","21"
"Bagalkot","2020-05-06","30"
"Bagalkot","2020-05-07","32"
"Bagalkot","2020-05-08","32"
"Bagalkot","2020-05-09","32"
"Bagalkot","2020-05-10","29"
"Bagalkot","2020-05-11","31"
"Bagalkot","2020-05-12","40"
"Bagalkot","2020-05-13","40"
"Bagalkot","2020-05-14","41"
"Bagalkot","2020-05-15","42"
"Bagalkot","2020-05-16","43"
"Bagalkot","2020-05-17","43"
"Bagalkot","2020-05-18","39"
"Bagalkot","2020-05-19","44"
"Bagalkot","2020-05-20","44"
"Bagalkot","2020-05-21","38"
"Bagalkot","2020-05-22","37"
