,1,2,3,4,5,6,7,8
Dates,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04
Bagalkote,1,1,1,1,0,0,0,0
Ballari,4,5,5,5,5,5,6,7
Belagavi,4,4,4,4,4,4,0,0
Bengaluru Rural,2,2,2,2,0,0,0,0
Bengaluru Urban,79,95,108,126,137,130,157,158
Bidar,8,8,8,12,14,14,23,23
Chamarajanagara,9,9,9,5,5,2,2,3
Chikkaballapura,0,0,0,0,0,0,0,0
Chikkamagaluru,3,3,3,3,1,1,2,1
Chitradurga,0,0,0,0,0,0,0,0
Dakshina Kannada,3,3,3,3,3,3,13,13
Davanagere,3,3,3,3,3,3,3,3
Dharwad,5,5,5,5,8,6,6,7
Gadag,4,4,4,4,4,3,3,3
Hassan,8,8,8,11,10,11,9,9
Haveri,0,0,0,0,0,0,0,0
Kalaburagi,17,25,25,25,25,32,32,32
Kodagu,2,2,2,2,2,2,2,2
Kolar,8,8,8,8,8,7,7,7
Koppal,0,0,0,0,0,0,0,0
Mandya,10,8,8,11,12,12,8,8
Mysuru,5,5,5,5,3,11,24,24
Raichur,0,0,0,0,0,0,0,0
Ramanagara,0,0,0,0,0,0,0,0
Shivamogga,4,4,4,4,5,7,7,7
Tumakuru,14,14,14,14,7,7,15,16
Udupi,3,3,3,3,5,5,4,4
Uttara Kannada,7,7,7,7,1,1,1,1
Vijayapura,1,1,1,3,3,3,3,3
Yadgir,0,0,0,0,0,0,0,0
