,1,2,3,4,5,6,7,8
Dates,2023-01-22,2023-01-23,2023-01-24,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29
Bagalakote,0,0,0,0,0,0,0,0
Ballari,0,0,0,0,0,0,0,0
Belagavi,0,0,0,0,0,0,0,0
Bengaluru Rural,0,0,0,0,0,0,0,0
Bengaluru Urban,1e-05,1e-05,1e-05,1e-05,0,0,0,0
Bidar,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Chamarajanagara,0,0,1e-05,1e-05,0,0,0,0
Chikkaballapura,0,0,0,0,0,0,0,0
Chikkamagaluru,1e-05,0,0,0,0,0,0,0
Chitradurga,0,0,0,0,0,0,0,0
Dakshina Kannada,0,0,0,0,0,0,0,0
Davanagere,0,0,0,0,0,0,0,0
Dharwad,0,0,0,0,0,0,0,0
Gadag,0,0,0,0,0,0,0,0
Hassan,0,0,0,0,0,0,0,0
Haveri,0,0,0,0,0,0,0,0
Kalaburagi,0,0,0,0,0,0,0,0
Kodagu,0,0,0,0,0,0,0,0
Kolar,1e-05,0,0,0,1e-05,1e-05,1e-05,1e-05
Koppal,0,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Mandya,1e-05,0,0,0,0,0,0,0
Mysuru,0,0,0,0,0,0,0,0
Raichur,0,0,0,0,0,0,0,0
Ramanagara,0,0,0,0,0,0,0,0
Shivamogga,1e-05,0,0,0,0,0,0,0
Tumakuru,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05,1e-05
Udupi,0,0,0,0,0,0,0,0
Uttara Kannada,0,0,0,0,0,0,0,0
Vijayapura,0,0,0,0,0,0,0,0
Yadgiri,0,0,0,0,0,0,0,0
Others,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0
