,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
,17-01-2024,18-01-2024,19-01-2024,20-01-2024,21-01-2024,22-01-2024,23-01-2024,24-01-2024,25-01-2024,26-01-2024,27-01-2024,28-01-2024,29-01-2024,30-01-2024,31-01-2024,01-02-2024,02-02-2024,03-02-2024,04-02-2024,05-02-2024,06-02-2024,07-02-2024,08-02-2024,09-02-2024,10-02-2024,11-02-2024,12-02-2024,13-02-2024,14-02-2024,15-02-2024,16-02-2024,17-02-2024,18-02-2024,19-02-2024,20-02-2024,21-02-2024,22-02-2024,23-02-2024,24-02-2024,25-02-2024,26-02-2024,27-02-2024,28-02-2024,01-03-2024,02-03-2024,03-03-2024,04-03-2024,05-03-2024,06-03-2024,07-03-2024,08-03-2024,09-03-2024,10-03-2024,11-03-2024,12-03-2024,13-03-2024,14-03-2024,15-03-2024,16-03-2024,17-03-2024,18-03-2024,19-03-2024,20-03-2024,21-03-2024,22-03-2024,23-03-2024,24-03-2024,25-03-2024,26-03-2024,27-03-2024,28-03-2024,29-03-2024,30-03-2024,31-03-2024,01-04-2024,02-04-2024,03-04-2024,04-04-2024,05-04-2024,06-04-2024,07-04-2024,08-04-2024,09-04-2024,10-04-2024,11-04-2024
Bagalakote ,334,446,1184,1873,2124,3244,3244,3244,3859,3859,4202,4428,4940,5305,5305,5305,5305,5305,5530,6157,6841,6841,7436,7715,7949,8418,8738,8881,8881,8881,8929,9041,9598,9700,10093,10469,10915,11485,12286,12952,13886,13886,13886,13886,14285,14517,14749,14899,15169,15169,15545,15882,16323,16353,16983,17021,17021,18925,23912,28776,35726,45055,53066,60617,64486,72545,80111,86503,95100,97480,100432,102178,104400,108167,112133,121301,130856,137771,141969,149382,152089,163991,171099,176430,181499
Ballari ,684,2017,2178,4226,4340,5814,5814,6201,7897,7949,8384,8486,8928,8928,8928,8928,8928,8928,9166,9830,11259,11259,12155,13333,14315,15638,16158,16838,16838,16838,17272,17448,17577,17835,17980,17980,18068,19298,20046,20551,20706,20706,20706,20706,21374,21811,23261,24157,25334,25334,26072,27515,28479,29190,30682,35132,35132,43750,52459,68622,77528,86637,95115,97736,102178,108555,112071,114056,118680,124162,126808,131657,138186,141545,146914,160406,177889,185773,192387,201304,206291,228176,234010,251281,261177
Belagavi ,1335,1365,1803,7710,9806,13593,13593,13593,15419,15419,17093,18145,19060,19492,19492,19492,19632,19902,20475,22005,23908,23908,25246,27105,28906,33014,33818,33846,33846,33846,34089,34155,35599,37218,37881,37881,37976,38776,40360,41121,41969,41969,41969,41969,43155,43914,44475,46204,47126,47369,49655,50622,53243,53243,55757,57287,57287,61654,66515,73015,79858,87591,94148,99708,108243,121768,132423,143482,157338,164282,168485,172899,183076,196667,196699,205165,213540,216252,217177,220043,238574,264022,282501,314977,328144
Bengaluru Rural ,315,384,1300,1849,2134,3132,3132,3132,3633,3676,4119,4202,4616,4685,4685,4685,4685,4685,4796,5371,5414,5414,5610,5755,5899,6526,6931,6931,6931,6931,7948,8475,8725,9224,9646,9646,9988,10241,10516,10766,10879,10879,10879,10879,11427,11950,12500,13226,14223,14223,15374,16224,17496,17531,19036,19578,19655,21753,23087,25920,28040,30158,32546,33188,35333,37430,39309,41278,43495,45342,46491,48905,51109,52996,55473,57378,59053,60580,61422,63064,65135,70158,72013,75861,79693
Bengaluru Urban ,3351,8647,12935,16378,20320,28091,31760,32605,38697,38697,47211,52675,56684,57545,57545,57545,57545,57545,59625,63057,65129,65562,70939,74215,76267,105531,108421,110132,110132,110132,111967,113404,115121,117985,119956,120049,121406,124239,127060,130544,132740,132740,132740,132740,137962,143861,151138,164686,173854,173854,183826,207708,227250,248130,276664,299261,314929,339312,364317,390306,411794,419762,447845,471074,482075,509987,520820,549447,568272,586099,605215,634723,636705,658809,680075,690349,700516,731896,747574,747998,762019,795916,819634,843450,873458
Bidar ,350,814,1012,1730,1907,2606,2606,2606,4039,4039,5024,5102,5159,5202,5202,5202,5202,5202,5723,5792,5861,5861,6649,6894,7136,7829,8146,8284,8284,8284,8890,8890,9590,9641,9696,9696,10011,10391,10923,11153,11286,11286,11286,11286,11806,12114,12468,12781,13253,13253,14021,14439,15029,15029,16087,17477,17477,18862,25197,28238,35062,36615,43586,48900,50161,55607,57678,59670,60420,61513,64783,66769,68426,70113,72020,79721,84486,89986,91823,93523,97273,106801,108217,115376,119206
Chamarajanagara ,143,341,499,848,882,1250,1250,1250,1656,1656,2199,2227,2569,2569,2569,2569,2569,2569,2805,3321,3975,3975,4258,4511,4683,5070,5139,5139,5139,5139,5184,5245,5297,5342,5490,5490,5746,5997,6234,6407,6483,6483,6483,6483,6677,6783,6874,7213,7371,7371,7629,7699,8088,8108,8179,8677,8695,9079,10293,11997,15652,21010,26466,31307,34852,39984,45186,49254,54250,55860,58893,60647,64796,66221,68498,71033,73837,75387,76980,79508,83246,86472,89099,93194,96573
Chikkaballapura ,486,2653,2653,3364,3663,4847,4847,4847,5607,5607,5854,5854,6057,6057,6057,6057,6057,6057,6139,6564,6659,6659,7475,8128,8367,9150,9382,9433,9433,9433,9559,9637,9647,9825,10001,10001,10063,10216,10351,10428,10485,10485,10485,10485,10664,10724,11079,11174,11493,11493,12374,12645,13729,13740,15060,15060,15273,18033,22616,30461,36847,39864,47327,49642,53053,54953,58319,60248,62556,65002,65512,67637,69275,70998,73964,77676,81619,82990,85254,90650,94732,97888,105127,111602,118922
Chikkamagaluru ,286,384,936,1453,1847,2697,2697,2697,3306,3306,3797,4006,4119,4119,4119,4119,4119,4119,4488,5698,6400,6400,7403,8171,8758,9150,9503,9514,9514,9514,9532,9642,10060,10573,11051,11051,11589,11891,12202,12269,12388,12388,12388,12388,12733,12480,13211,13475,13686,13686,15156,15601,17844,17844,21113,21113,21113,24665,26530,32728,33432,37768,40685,41519,45495,47656,51046,52519,54624,55769,55851,58572,60609,62944,66446,70691,75478,77595,82817,90315,95609,102690,109593,117133,120363
