date,district,mean_r,p5th,p95th
23-10-2022,Bagalakote,2.883,1.435,4.739
24-10-2022,Bagalakote,2.258,0.983,3.956
25-10-2022,Bagalakote,3.354,1.75,5.379
26-10-2022,Bagalakote,3.432,1.862,5.39
27-10-2022,Bagalakote,3.308,1.855,5.101
28-10-2022,Bagalakote,2.807,1.574,4.328
01-11-2022,Bagalakote,2.14,1.161,3.361
02-11-2022,Bagalakote,1.267,0.595,2.143
03-11-2022,Bagalakote,1.099,0.516,1.859
04-11-2022,Bagalakote,0.566,0.193,1.098
05-11-2022,Bagalakote,0.401,0.109,0.842
06-11-2022,Bagalakote,0.265,0.047,0.628
07-11-2022,Bagalakote,0.274,0.049,0.65
08-11-2022,Bagalakote,0.297,0.053,0.704
23-10-2022,Ballari,1.371,1.035,1.746
24-10-2022,Ballari,1.483,1.139,1.864
25-10-2022,Ballari,1.391,1.061,1.757
26-10-2022,Ballari,1.364,1.041,1.724
27-10-2022,Ballari,1.291,0.982,1.635
28-10-2022,Ballari,1.358,1.046,1.703
01-11-2022,Ballari,1.273,0.978,1.6
02-11-2022,Ballari,0.598,0.405,0.822
03-11-2022,Ballari,0.419,0.263,0.605
04-11-2022,Ballari,0.359,0.217,0.53
05-11-2022,Ballari,0.311,0.18,0.472
06-11-2022,Ballari,0.3,0.168,0.463
07-11-2022,Ballari,0.208,0.098,0.352
08-11-2022,Ballari,0.166,0.066,0.304
23-10-2022,Belagavi,1.246,0.768,1.818
24-10-2022,Belagavi,1.243,0.752,1.835
25-10-2022,Belagavi,1.227,0.726,1.836
26-10-2022,Belagavi,1.266,0.749,1.894
27-10-2022,Belagavi,1.459,0.899,2.129
28-10-2022,Belagavi,1.524,0.956,2.2
01-11-2022,Belagavi,1.291,0.781,1.906
02-11-2022,Belagavi,0.354,0.121,0.687
03-11-2022,Belagavi,0.509,0.222,0.892
04-11-2022,Belagavi,0.582,0.273,0.984
05-11-2022,Belagavi,0.762,0.398,1.222
06-11-2022,Belagavi,0.627,0.294,1.06
07-11-2022,Belagavi,0.579,0.252,1.014
08-11-2022,Belagavi,0.834,0.415,1.371
23-10-2022,Bengaluru Rural,1.562,0.815,2.505
24-10-2022,Bengaluru Rural,1.617,0.843,2.593
25-10-2022,Bengaluru Rural,1.829,0.992,2.872
26-10-2022,Bengaluru Rural,1.803,0.978,2.832
27-10-2022,Bengaluru Rural,1.894,1.062,2.921
28-10-2022,Bengaluru Rural,1.77,0.993,2.729
01-11-2022,Bengaluru Rural,1.489,0.808,2.338
02-11-2022,Bengaluru Rural,1.101,0.548,1.809
03-11-2022,Bengaluru Rural,1.026,0.51,1.686
04-11-2022,Bengaluru Rural,0.853,0.4,1.443
05-11-2022,Bengaluru Rural,0.831,0.39,1.406
06-11-2022,Bengaluru Rural,0.83,0.39,1.404
07-11-2022,Bengaluru Rural,0.846,0.397,1.432
08-11-2022,Bengaluru Rural,0.875,0.411,1.48
23-10-2022,Bengaluru Urban,1.141,1.077,1.207
24-10-2022,Bengaluru Urban,1.203,1.137,1.271
25-10-2022,Bengaluru Urban,1.213,1.146,1.281
26-10-2022,Bengaluru Urban,1.211,1.145,1.278
27-10-2022,Bengaluru Urban,1.193,1.128,1.26
28-10-2022,Bengaluru Urban,1.006,0.947,1.067
01-11-2022,Bengaluru Urban,0.887,0.832,0.943
02-11-2022,Bengaluru Urban,0.54,0.498,0.583
03-11-2022,Bengaluru Urban,0.717,0.668,0.766
04-11-2022,Bengaluru Urban,0.722,0.674,0.772
05-11-2022,Bengaluru Urban,0.713,0.664,0.764
06-11-2022,Bengaluru Urban,0.721,0.671,0.773
07-11-2022,Bengaluru Urban,0.731,0.68,0.785
08-11-2022,Bengaluru Urban,0.743,0.689,0.798
23-10-2022,Bidar,0.855,0.233,1.795
24-10-2022,Bidar,0.919,0.25,1.928
25-10-2022,Bidar,0.99,0.27,2.078
26-10-2022,Bidar,0.709,0.126,1.682
27-10-2022,Bidar,0.755,0.134,1.79
28-10-2022,Bidar,0.801,0.142,1.899
01-11-2022,Bidar,0.856,0.152,2.029
02-11-2022,Bidar,0.924,0.164,2.193
03-11-2022,Bidar,1.51,0.412,3.169
04-11-2022,Bidar,2.195,0.75,4.255
05-11-2022,Bidar,2.355,0.805,4.566
06-11-2022,Bidar,3.012,1.187,5.513
07-11-2022,Bidar,2.887,1.138,5.285
08-11-2022,Bidar,2.095,0.716,4.061
23-10-2022,Chamarajanagara,2.805,1.522,4.406
24-10-2022,Chamarajanagara,2.278,1.188,3.653
25-10-2022,Chamarajanagara,2.527,1.417,3.897
26-10-2022,Chamarajanagara,1.859,0.97,2.981
27-10-2022,Chamarajanagara,1.842,1,2.893
28-10-2022,Chamarajanagara,1.649,0.895,2.59
01-11-2022,Chamarajanagara,1.799,1.038,2.729
02-11-2022,Chamarajanagara,1.109,0.552,1.823
03-11-2022,Chamarajanagara,1.037,0.516,1.705
04-11-2022,Chamarajanagara,0.983,0.489,1.616
05-11-2022,Chamarajanagara,1.072,0.559,1.719
06-11-2022,Chamarajanagara,0.944,0.47,1.552
07-11-2022,Chamarajanagara,0.95,0.473,1.561
08-11-2022,Chamarajanagara,0.722,0.314,1.265
23-10-2022,Chikkaballapura,1.277,0.693,2.006
24-10-2022,Chikkaballapura,1.511,0.847,2.329
25-10-2022,Chikkaballapura,1.588,0.891,2.449
26-10-2022,Chikkaballapura,1.75,1.01,2.656
27-10-2022,Chikkaballapura,1.701,0.981,2.581
28-10-2022,Chikkaballapura,1.609,0.929,2.442
01-11-2022,Chikkaballapura,1.002,0.499,1.647
02-11-2022,Chikkaballapura,0.702,0.306,1.23
03-11-2022,Chikkaballapura,0.665,0.29,1.166
04-11-2022,Chikkaballapura,0.651,0.284,1.141
05-11-2022,Chikkaballapura,0.44,0.15,0.854
06-11-2022,Chikkaballapura,0.46,0.157,0.893
07-11-2022,Chikkaballapura,0.493,0.168,0.955
08-11-2022,Chikkaballapura,0.269,0.048,0.639
23-10-2022,Chikkamagaluru,2.334,0.92,4.273
24-10-2022,Chikkamagaluru,2.239,0.882,4.098
25-10-2022,Chikkamagaluru,2.123,0.836,3.886
26-10-2022,Chikkamagaluru,1.182,0.322,2.481
