,1,2,3,4,5,6,7,8
Dates,2023-01-25,2023-01-26,2023-01-27,2023-01-28,2023-01-29,2023-01-30,2023-01-31,2023-02-01
Bagalakote,NA,NA,NA,NA,NA,NA,NA,NA
Ballari,0,0,0,0,0,0,0,0
Belagavi,3,3,3,2,2,2,2,2
Bengaluru Rural,2,2,2,2,2,2,2,2
Bengaluru Urban,5,6,4,4,4,1,1,2
Bidar,134,141,132,147,137,114,127,110
Chamarajanagara,5,5,6,6,5,5,4,4
Chikkaballapura,11,11,11,11,11,11,11,11
Chikkamagaluru,3,3,1,1,1,1,1,1
Chitradurga,1,1,1,1,1,0,0,0
Dakshina Kannada,0,0,0,0,0,0,0,0
Davanagere,11,11,11,11,11,10,10,10
Dharwad,0,1,2,2,2,2,1,1
Gadag,8,8,8,8,8,8,8,8
Hassan,0,0,0,0,0,0,0,0
Haveri,5,4,3,2,2,2,3,4
Kalaburagi,0,0,0,0,0,0,0,0
Kodagu,0,0,0,0,0,0,0,0
Kolar,4,3,2,1,3,3,3,4
Koppal,1,4,5,5,6,6,3,3
Mandya,1,1,1,1,1,0,0,0
Mysuru,0,0,0,0,1,1,1,1
Raichur,4,2,3,3,3,3,2,2
Ramanagara,1,1,1,1,1,0,0,1
Shivamogga,0,0,0,0,0,0,0,0
Tumakuru,5,8,9,12,12,9,8,8
Udupi,0,0,0,1,1,1,1,1
Uttara Kannada,1,1,1,1,1,0,0,0
Vijayapura,0,0,0,0,0,0,0,0
Yadgiri,1,1,1,1,1,0,0,0
Others,0,0,0,0,0,0,0,0
Total,0,0,0,0,0,0,0,0
