"District","Dose1-%","Dose2-%","PrecDose-%","Dose1-count","Dose2-count","PrecDose-count","Population-2020","Population-2011-census","Factor-used","Cowin-Population","Cow-Dose1","Cow-Dose2","Cow-PrecDose","Date"
"Kodagu",110.008,106.419,4.53,436391,422151,17970,396688.845027853,392248,1.01132152369892,4e+05,109.098,105.538,4.492,"28-02-22"
"Bagalakote",110.747,97.508,1.597,1499273,1320050,21622,1353782.86079443,1194478,1.13336776465907,1362000,110.079,96.92,1.588,"28-02-22"
"Ballari",112.17,101.04,1.718,2203593,1984938,33751,1964512.72751025,1555994,1.26254518173608,2068000,106.557,95.983,1.632,"28-02-22"
"Belagavi",108.611,105.527,2.171,3826959,3718281,76506,3523547.52208535,3145147,1.12031250751884,3566000,107.318,104.27,2.145,"28-02-22"
"Bengaluru Rural",108.266,107.926,2.523,870975,868245,20299,804478.313360372,699465,1.15013376417744,819000,106.346,106.013,2.479,"28-02-22"
"Bengaluru Urban",107.314,96.731,3.141,10621011,9573648,310887,9897155.84350475,6988509,1.41620420657751,10202000,104.107,93.841,3.047,"28-02-22"
"Bidar",109.189,101.723,2.606,1299942,1211052,31030,1190541.57068397,1065301,1.1175635531028,1207000,107.7,100.336,2.571,"28-02-22"
"Chamarajanagara",106.205,105.723,1.673,821594,817871,12943,773595.767228551,733845,1.0541677973258,778000,105.603,105.125,1.664,"28-02-22"
"Chikkaballapura",109.726,96.72,2.349,1031692,909410,22089,940246.932007228,864985,1.08700952271684,951000,108.485,95.627,2.323,"28-02-22"
"Chikkamagaluru",80.103,95.656,2.822,655194,782411,23079,817943.307173093,818953,0.99876709307261,822000,79.707,95.184,2.808,"28-02-22"
"Chitradurga",99.754,95.638,2.228,1235689,1184697,27597,1238731.48345663,1139979,1.08662658124108,1250000,98.855,94.776,2.208,"28-02-22"
"Dakshina Kannada",107.282,96.081,2.797,1800217,1612271,46938,1678030.35175716,1501593,1.1175001160482,1715000,104.969,94.01,2.737,"28-02-22"
"Davanagere",88.584,80.989,2.203,1274525,1165256,31693,1438781.35968598,1331395,1.08065702491446,1223000,104.213,95.278,2.591,"28-02-22"
"Dharwad",110.579,99.603,2.538,1578723,1422015,36235,1427683.65961604,1256015,1.13667723682921,1444000,109.33,98.477,2.509,"28-02-22"
"Gadag",110.016,108.525,3.249,848560,837059,25062,771308.727151808,709622,1.08692899480541,775000,109.492,108.008,3.234,"28-02-22"
"Hassan",121.775,101.002,2.923,1626831,1349314,39045,1335930.78650782,1289613,1.03591603566947,1351000,120.417,99.875,2.89,"28-02-22"
"Haveri",107.24,95.112,1.376,1258138,1115847,16149,1173193.707207,1065538,1.10103413224775,1179000,106.712,94.644,1.37,"28-02-22"
"Kalaburagi",118.199,97.236,1.358,2164411,1780551,24859,1831163.95030795,1578857,1.15980354795143,1851000,116.932,96.194,1.343,"28-02-22"
"Kolar",104.658,104.246,2.205,1208291,1203526,25453,1154508.65657403,1045891,1.10385179390016,1159000,104.253,103.842,2.196,"28-02-22"
"Koppal",107.642,75.643,2.505,1055733,741894,24564,980780.269658685,855132,1.14693435593415,984000,107.29,75.396,2.496,"28-02-22"
"Mandya",105.111,100.161,1.971,1408476,1342141,26410,1339983.47807776,1306869,1.02533878918068,1342000,104.954,100.011,1.968,"28-02-22"
"Mysuru",108.036,105.433,2.868,2591460,2529022,68795,2398704.03276069,2133007,1.12456453858834,2438000,106.295,103.733,2.822,"28-02-22"
"Raichur",68.071,90.741,3.146,912512,1216415,42174,1340536.79247952,1182016,1.13411053021238,1349000,67.644,90.172,3.126,"28-02-22"
"Ramanagara",104.642,100.969,2.294,854380,824385,18728,816476.757791169,775002,1.05351567839976,823000,103.813,100.168,2.276,"28-02-22"
"Shivamogga",107.024,94.451,2.166,1395753,1231776,28248,1304144.1280032,1226067,1.06368096360411,1309000,106.627,94.101,2.158,"28-02-22"
"Tumakuru",106.69,108.895,2.099,2115680,2159409,41620,1983020.75366445,1908148,1.03923844149639,1999000,105.837,108.024,2.082,"28-02-22"
"Udupi",106.742,96.79,4.462,1040981,943932,43514,975232.916780834,878338,1.1103162071786,999000,104.202,94.488,4.356,"28-02-22"
"Uttara Kannada",105.495,97.574,3.136,1127665,1043001,33524,1068931.83143388,1013181,1.05502553979386,1078000,104.607,96.753,3.11,"28-02-22"
"Vijayapura",112.658,105.165,1.338,1808184,1687912,21469,1605020.18519922,1358815,1.18119110048036,1634000,110.66,103.299,1.314,"28-02-22"
"Yadgiri",107.483,96.594,1.293,888490,798478,10686,826635.718313745,687244,1.2028271157169,839000,105.899,95.17,1.274,"28-02-22"
