"Infected","District","Date"
36.545,"Bagalakote","2020-04-18"
38.6613,"Bagalakote","2020-04-19"
40.839,"Bagalakote","2020-04-20"
43.0824,"Bagalakote","2020-04-21"
45.3954,"Bagalakote","2020-04-22"
47.7813,"Bagalakote","2020-04-23"
50.2433,"Bagalakote","2020-04-24"
52.7841,"Bagalakote","2020-04-25"
55.4067,"Bagalakote","2020-04-26"
58.1139,"Bagalakote","2020-04-27"
60.9086,"Bagalakote","2020-04-28"
63.7938,"Bagalakote","2020-04-29"
66.7724,"Bagalakote","2020-04-30"
69.8474,"Bagalakote","2020-05-01"
73.0221,"Bagalakote","2020-05-02"
76.2997,"Bagalakote","2020-05-03"
79.6835,"Bagalakote","2020-05-04"
83.177,"Bagalakote","2020-05-05"
86.7837,"Bagalakote","2020-05-06"
89.9048,"Bagalakote","2020-05-07"
92.1982,"Bagalakote","2020-05-08"
93.9365,"Bagalakote","2020-05-09"
95.2995,"Bagalakote","2020-05-10"
96.406,"Bagalakote","2020-05-11"
97.3347,"Bagalakote","2020-05-12"
98.1377,"Bagalakote","2020-05-13"
98.8497,"Bagalakote","2020-05-14"
99.4939,"Bagalakote","2020-05-15"
100.086,"Bagalakote","2020-05-16"
100.636,"Bagalakote","2020-05-17"
101.153,"Bagalakote","2020-05-18"
101.64,"Bagalakote","2020-05-19"
102.101,"Bagalakote","2020-05-20"
102.54,"Bagalakote","2020-05-21"
102.958,"Bagalakote","2020-05-22"
103.356,"Bagalakote","2020-05-23"
103.737,"Bagalakote","2020-05-24"
104.1,"Bagalakote","2020-05-25"
104.448,"Bagalakote","2020-05-26"
104.78,"Bagalakote","2020-05-27"
105.098,"Bagalakote","2020-05-28"
105.403,"Bagalakote","2020-05-29"
105.694,"Bagalakote","2020-05-30"
105.972,"Bagalakote","2020-05-31"
106.239,"Bagalakote","2020-06-01"
106.494,"Bagalakote","2020-06-02"
106.738,"Bagalakote","2020-06-03"
107.287,"Bagalakote","2020-06-04"
108.345,"Bagalakote","2020-06-05"
109.804,"Bagalakote","2020-06-06"
111.597,"Bagalakote","2020-06-07"
113.687,"Bagalakote","2020-06-08"
116.057,"Bagalakote","2020-06-09"
118.704,"Bagalakote","2020-06-10"
121.634,"Bagalakote","2020-06-11"
124.86,"Bagalakote","2020-06-12"
128.401,"Bagalakote","2020-06-13"
132.282,"Bagalakote","2020-06-14"
136.531,"Bagalakote","2020-06-15"
141.178,"Bagalakote","2020-06-16"
146.26,"Bagalakote","2020-06-17"
151.816,"Bagalakote","2020-06-18"
157.889,"Bagalakote","2020-06-19"
164.527,"Bagalakote","2020-06-20"
171.782,"Bagalakote","2020-06-21"
179.711,"Bagalakote","2020-06-22"
188.376,"Bagalakote","2020-06-23"
197.846,"Bagalakote","2020-06-24"
208.196,"Bagalakote","2020-06-25"
219.506,"Bagalakote","2020-06-26"
231.867,"Bagalakote","2020-06-27"
245.375,"Bagalakote","2020-06-28"
260.137,"Bagalakote","2020-06-29"
276.27,"Bagalakote","2020-06-30"
192,"Bagalakote","2020-07-01"
208,"Bagalakote","2020-07-02"
210,"Bagalakote","2020-07-03"
219,"Bagalakote","2020-07-04"
225,"Bagalakote","2020-07-05"
249,"Bagalakote","2020-07-06"
255,"Bagalakote","2020-07-07"
310,"Bagalakote","2020-07-08"
318,"Bagalakote","2020-07-09"
296,"Bagalakote","2020-07-10"
338,"Bagalakote","2020-07-11"
367,"Bagalakote","2020-07-12"
376,"Bagalakote","2020-07-13"
431,"Bagalakote","2020-07-14"
600,"Bagalakote","2020-07-15"
631,"Bagalakote","2020-07-16"
651,"Bagalakote","2020-07-17"
811,"Bagalakote","2020-07-18"
730,"Bagalakote","2020-07-19"
887,"Bagalakote","2020-07-20"
861,"Bagalakote","2020-07-21"
883,"Bagalakote","2020-07-22"
942,"Bagalakote","2020-07-23"
937,"Bagalakote","2020-07-24"
1032,"Bagalakote","2020-07-25"
1065,"Bagalakote","2020-07-26"
1107,"Bagalakote","2020-07-27"
1185,"Bagalakote","2020-07-28"
1415,"Bagalakote","2020-07-29"
1541,"Bagalakote","2020-07-30"
1642,"Bagalakote","2020-07-31"
1831,"Bagalakote","2020-08-01"
2102,"Bagalakote","2020-08-02"
2088,"Bagalakote","2020-08-03"
2213,"Bagalakote","2020-08-04"
2452,"Bagalakote","2020-08-05"
2713,"Bagalakote","2020-08-06"
2787,"Bagalakote","2020-08-07"
2876,"Bagalakote","2020-08-08"
3061,"Bagalakote","2020-08-09"
3126,"Bagalakote","2020-08-10"
3393,"Bagalakote","2020-08-11"
3478,"Bagalakote","2020-08-12"
3694,"Bagalakote","2020-08-13"
3880,"Bagalakote","2020-08-14"
4146,"Bagalakote","2020-08-15"
4263,"Bagalakote","2020-08-16"
4577,"Bagalakote","2020-08-17"
4660,"Bagalakote","2020-08-18"
4710,"Bagalakote","2020-08-19"
4894,"Bagalakote","2020-08-20"
5103,"Bagalakote","2020-08-21"
5274,"Bagalakote","2020-08-22"
5564,"Bagalakote","2020-08-23"
5710,"Bagalakote","2020-08-24"
5963,"Bagalakote","2020-08-25"
5580,"Bagalakote","2020-08-26"
5603,"Bagalakote","2020-08-27"
5586,"Bagalakote","2020-08-28"
5617,"Bagalakote","2020-08-29"
5885,"Bagalakote","2020-08-30"
5986,"Bagalakote","2020-08-31"
6367,"Bagalakote","2020-09-01"
6550,"Bagalakote","2020-09-02"
6684,"Bagalakote","2020-09-03"
6960,"Bagalakote","2020-09-04"
7139,"Bagalakote","2020-09-05"
7449,"Bagalakote","2020-09-06"
7553,"Bagalakote","2020-09-07"
8228,"Bagalakote","2020-09-08"
7597,"Bagalakote","2020-09-09"
7707,"Bagalakote","2020-09-10"
7862,"Bagalakote","2020-09-11"
8058,"Bagalakote","2020-09-12"
8203,"Bagalakote","2020-09-13"
8331,"Bagalakote","2020-09-14"
8717,"Bagalakote","2020-09-15"
8573,"Bagalakote","2020-09-16"
8745,"Bagalakote","2020-09-17"
8873,"Bagalakote","2020-09-18"
9068,"Bagalakote","2020-09-19"
9298,"Bagalakote","2020-09-20"
9477,"Bagalakote","2020-09-21"
9591,"Bagalakote","2020-09-22"
9448,"Bagalakote","2020-09-23"
9632,"Bagalakote","2020-09-24"
9686,"Bagalakote","2020-09-25"
9884,"Bagalakote","2020-09-26"
10062,"Bagalakote","2020-09-27"
10215,"Bagalakote","2020-09-28"
10377,"Bagalakote","2020-09-29"
10270,"Bagalakote","2020-09-30"
10572,"Bagalakote","2020-10-01"
10701,"Bagalakote","2020-10-02"
10831,"Bagalakote","2020-10-03"
11235,"Bagalakote","2020-10-04"
11609,"Bagalakote","2020-10-05"
