DISTRICTCODE,Date,TINF,TREC,TDEC
1,22-03-2020,0,0,0
2,22-03-2020,0,0,0
3,22-03-2020,0,0,0
4,22-03-2020,0,0,0
5,22-03-2020,17,1,0
6,22-03-2020,0,0,0
7,22-03-2020,0,0,0
8,22-03-2020,2,0,0
9,22-03-2020,0,0,0
10,22-03-2020,0,0,0
11,22-03-2020,0,0,0
12,22-03-2020,0,0,0
13,22-03-2020,1,0,0
14,22-03-2020,0,0,0
15,22-03-2020,0,0,0
16,22-03-2020,0,0,0
17,22-03-2020,3,0,1
18,22-03-2020,1,0,0
19,22-03-2020,0,0,0
20,22-03-2020,0,0,0
21,22-03-2020,0,0,0
22,22-03-2020,1,0,0
23,22-03-2020,0,0,0
24,22-03-2020,0,0,0
25,22-03-2020,0,0,0
26,22-03-2020,0,0,0
27,22-03-2020,0,0,0
28,22-03-2020,1,0,0
29,22-03-2020,0,0,0
30,22-03-2020,0,0,0
31,22-03-2020,0,0,0
1,23-03-2020,0,0,0
2,23-03-2020,0,0,0
3,23-03-2020,0,0,0
4,23-03-2020,0,0,0
5,23-03-2020,23,1,0
6,23-03-2020,0,0,0
7,23-03-2020,0,0,0
8,23-03-2020,2,0,0
9,23-03-2020,0,0,0
10,23-03-2020,0,0,0
11,23-03-2020,1,0,0
12,23-03-2020,0,0,0
13,23-03-2020,1,0,0
14,23-03-2020,0,0,0
15,23-03-2020,0,0,0
16,23-03-2020,0,0,0
17,23-03-2020,3,0,1
18,23-03-2020,1,0,0
19,23-03-2020,0,0,0
20,23-03-2020,0,0,0
21,23-03-2020,0,0,0
22,23-03-2020,2,0,0
23,23-03-2020,0,0,0
24,23-03-2020,0,0,0
25,23-03-2020,0,0,0
26,23-03-2020,0,0,0
27,23-03-2020,0,0,0
28,23-03-2020,1,0,0
29,23-03-2020,0,0,0
30,23-03-2020,0,0,0
31,23-03-2020,0,0,0
1,24-03-2020,0,0,0
2,24-03-2020,0,0,0
3,24-03-2020,0,0,0
4,24-03-2020,0,0,0
5,24-03-2020,24,3,0
6,24-03-2020,0,0,0
7,24-03-2020,0,0,0
8,24-03-2020,3,0,0
9,24-03-2020,0,0,0
10,24-03-2020,0,0,0
11,24-03-2020,5,0,0
12,24-03-2020,0,0,0
13,24-03-2020,1,0,0
14,24-03-2020,0,0,0
15,24-03-2020,0,0,0
16,24-03-2020,0,0,0
17,24-03-2020,3,0,1
18,24-03-2020,1,0,0
19,24-03-2020,0,0,0
20,24-03-2020,0,0,0
21,24-03-2020,0,0,0
22,24-03-2020,2,0,0
23,24-03-2020,0,0,0
24,24-03-2020,0,0,0
25,24-03-2020,0,0,0
26,24-03-2020,0,0,0
27,24-03-2020,0,0,0
28,24-03-2020,2,0,0
29,24-03-2020,0,0,0
30,24-03-2020,0,0,0
31,24-03-2020,0,0,0
1,25-03-2020,0,0,0
2,25-03-2020,0,0,0
3,25-03-2020,0,0,0
4,25-03-2020,0,0,0
5,25-03-2020,32,3,0
6,25-03-2020,0,0,0
7,25-03-2020,0,0,0
8,25-03-2020,3,0,0
9,25-03-2020,0,0,0
10,25-03-2020,0,0,0
11,25-03-2020,5,0,0
12,25-03-2020,1,0,0
13,25-03-2020,1,0,0
14,25-03-2020,0,0,0
15,25-03-2020,0,0,0
16,25-03-2020,0,0,0
17,25-03-2020,3,0,1
18,25-03-2020,1,0,0
19,25-03-2020,0,0,0
20,25-03-2020,0,0,0
21,25-03-2020,0,0,0
22,25-03-2020,2,0,0
23,25-03-2020,0,0,0
24,25-03-2020,0,0,0
25,25-03-2020,0,0,0
26,25-03-2020,0,0,0
27,25-03-2020,1,0,0
28,25-03-2020,2,0,0
29,25-03-2020,0,0,0
30,25-03-2020,0,0,0
31,25-03-2020,0,0,0
1,26-03-2020,0,0,0
2,26-03-2020,0,0,0
3,26-03-2020,0,0,0
4,26-03-2020,0,0,0
5,26-03-2020,35,3,1
6,26-03-2020,0,0,0
7,26-03-2020,0,0,0
8,26-03-2020,3,0,0
9,26-03-2020,0,0,0
10,26-03-2020,0,0,0
11,26-03-2020,5,0,0
12,26-03-2020,1,0,0
13,26-03-2020,1,0,0
14,26-03-2020,0,0,0
15,26-03-2020,0,0,0
16,26-03-2020,0,0,0
17,26-03-2020,3,0,1
18,26-03-2020,1,0,0
19,26-03-2020,0,0,0
20,26-03-2020,0,0,0
21,26-03-2020,0,0,0
22,26-03-2020,3,0,0
23,26-03-2020,0,0,0
24,26-03-2020,0,0,0
25,26-03-2020,0,0,0
26,26-03-2020,0,0,0
27,26-03-2020,1,0,0
28,26-03-2020,2,0,0
29,26-03-2020,0,0,0
30,26-03-2020,0,0,0
31,26-03-2020,0,0,0
1,27-03-2020,0,0,0
2,27-03-2020,0,0,0
3,27-03-2020,0,0,0
4,27-03-2020,0,0,0
5,27-03-2020,39,5,1
6,27-03-2020,0,0,0
7,27-03-2020,0,0,0
8,27-03-2020,3,0,0
9,27-03-2020,0,0,0
10,27-03-2020,0,0,0
11,27-03-2020,7,0,0
12,27-03-2020,2,0,0
13,27-03-2020,1,0,0
