"Month","Count","Percentage","categ"
"2020-04",1,0.02,"0 - 45"
"2020-05",4,0.07,"0 - 45"
"2020-06",60,1.09,"0 - 45"
"2020-07",287,5.22,"0 - 45"
"2020-08",411,7.47,"0 - 45"
"2020-09",297,5.4,"0 - 45"
"2020-10",159,2.89,"0 - 45"
"2020-11",53,0.96,"0 - 45"
"2020-12",19,0.35,"0 - 45"
"2021-01",7,0.13,"0 - 45"
"2021-02",7,0.13,"0 - 45"
"2021-03",19,0.35,"0 - 45"
"2021-04",733,13.32,"0 - 45"
"2021-05",2234,40.61,"0 - 45"
"2021-06",640,11.63,"0 - 45"
"2021-07",185,3.36,"0 - 45"
"2021-08",77,1.4,"0 - 45"
"2021-09",51,0.93,"0 - 45"
"2021-10",27,0.49,"0 - 45"
"2021-11",10,0.18,"0 - 45"
"2021-12",5,0.09,"0 - 45"
"2022-01",107,1.95,"0 - 45"
"2022-02",70,1.27,"0 - 45"
"2022-03",9,0.16,"0 - 45"
"2022-04",1,0.02,"0 - 45"
"2022-05",3,0.05,"0 - 45"
"2022-06",4,0.07,"0 - 45"
"2022-07",4,0.07,"0 - 45"
"2022-08",11,0.2,"0 - 45"
"2022-09",2,0.04,"0 - 45"
"2022-10",2,0.04,"0 - 45"
"2022-12",1,0.02,"0 - 45"
"22-10",1,0.02,"0 - 45"
"2020-04",2,0.02,"45 - 60"
"2020-05",7,0.06,"45 - 60"
"2020-06",133,1.16,"45 - 60"
"2020-07",839,7.32,"45 - 60"
"2020-08",1012,8.84,"45 - 60"
"2020-09",847,7.39,"45 - 60"
"2020-10",477,4.16,"45 - 60"
"2020-11",119,1.04,"45 - 60"
"2020-12",71,0.62,"45 - 60"
"2021-01",27,0.24,"45 - 60"
"2021-02",20,0.17,"45 - 60"
"2021-03",64,0.56,"45 - 60"
"2021-04",1467,12.81,"45 - 60"
"2021-05",4204,36.7,"45 - 60"
"2021-06",1132,9.88,"45 - 60"
"2021-07",340,2.97,"45 - 60"
"2021-08",154,1.34,"45 - 60"
"2021-09",98,0.86,"45 - 60"
"2021-10",44,0.38,"45 - 60"
"2021-11",19,0.17,"45 - 60"
"2021-12",19,0.17,"45 - 60"
"2022-01",201,1.75,"45 - 60"
"2022-02",116,1.01,"45 - 60"
"2022-03",9,0.08,"45 - 60"
"2022-05",1,0.01,"45 - 60"
"2022-07",4,0.03,"45 - 60"
"2022-08",20,0.17,"45 - 60"
"2022-09",3,0.03,"45 - 60"
"2022-10",4,0.03,"45 - 60"
"2022-11",1,0.01,"45 - 60"
"2020-04",5,0.02,"above 60"
"2020-05",12,0.05,"above 60"
"2020-06",176,0.77,"above 60"
"2020-07",1267,5.52,"above 60"
"2020-08",2066,9,"above 60"
"2020-09",1914,8.34,"above 60"
"2020-10",1303,5.68,"above 60"
"2020-11",360,1.57,"above 60"
"2020-12",187,0.81,"above 60"
"2021-01",99,0.43,"above 60"
"2021-02",67,0.29,"above 60"
"2021-03",267,1.16,"above 60"
"2021-04",2946,12.84,"above 60"
"2021-05",7311,31.86,"above 60"
"2021-06",2031,8.85,"above 60"
"2021-07",759,3.31,"above 60"
"2021-08",423,1.84,"above 60"
"2021-09",262,1.14,"above 60"
"2021-10",173,0.75,"above 60"
"2021-11",72,0.31,"above 60"
"2021-12",69,0.3,"above 60"
"2022-01",614,2.68,"above 60"
"2022-02",437,1.9,"above 60"
"2022-03",12,0.05,"above 60"
"2022-04",1,0,"above 60"
"2022-06",6,0.03,"above 60"
"2022-07",18,0.08,"above 60"
"2022-08",54,0.24,"above 60"
"2022-09",28,0.12,"above 60"
"2022-10",3,0.01,"above 60"
"2022-11",3,0.01,"above 60"
"22-03",1,0,"above 60"
