"District","wave1","midwave","wave2"
"Bagalakote",131,5,190
"Ballari",537,60,1079
"Belagavi",330,9,516
"Bengaluru Rural",138,29,667
"Bengaluru Urban",3861,523,11500
"Bidar",165,8,222
"Chamarajanagara",124,7,369
"Chikkaballapura",108,7,296
"Chikkamagaluru",137,3,226
"Chitradurga",59,10,118
"Dakshina Kannada",677,59,671
"Davanagere",255,7,320
"Dharwad",563,47,662
"Gadag",141,0,171
"Hassan",369,23,777
"Haveri",184,5,420
"Kalaburagi",310,16,490
"Kodagu",62,9,217
"Kolar",152,23,387
"Koppal",273,6,238
"Mandya",140,10,462
"Mysuru",955,68,1264
"Raichur",146,9,169
"Ramanagara",71,6,230
"Shivamogga",345,4,705
"Tumakuru",340,46,683
"Udupi",181,7,231
"Uttara Kannada",155,23,534
"Vijayapura",195,11,280
"Yadgiri",61,0,145
