"","ILI","SARI","Contact
of Patient
or Containment Zone","Inter
District Travel in
Karnataka","Domestic
Travel
outside
of Karnataka","International Travel","Unknown"
"Bagalkote",4.217,90.361,0.301,0,0.602,0,4.518
"Ballari",10.67,84.766,0.059,0.059,0.059,0,4.386
"Belagavi",12.367,81.237,0,0,0,0,6.397
"Bengaluru Rural",1.031,97.938,0,0,0,0,1.031
"Bengaluru Urban",31.735,66.738,0.006,0.012,0.024,0.006,1.479
"Bidar",1.01,91.667,0.505,0.253,1.768,0,4.798
"Chamarajanagara",18.533,71.236,0.579,0,0.193,0,9.459
"Chikkaballapura",7.311,88.443,0,0,0.236,0.236,3.774
"Chikkamagaluru",18.653,76.943,0,0,0,0,4.404
"Chitradurga",31.132,67.453,0,0.472,0,0,0.943
"Dakshina Kannada",15.649,57.558,0,0,0.059,0,26.734
"Davanagere",12.336,84.704,0.822,0,0.164,0,1.974
"Dharawada",16.73,78.501,0.151,0,0.151,0,4.466
"Gadag",7.862,86.164,0,0.314,0,0,5.66
"Hassan",79.605,14.783,0.553,0.079,0.158,0,4.822
"Haveri",13.449,79.43,0.475,0,0,0,6.646
"Kalaburagi",9.069,87.5,0,0.245,0.123,0.123,2.941
"Kodagu",30.33,66.066,0,0,0,0,3.604
"Kolar",6.522,92.081,0,0.155,0.466,0,0.776
"Koppal",14.829,75.856,0,0,0,0,9.316
"Mandya",11.81,85.276,0,0,0,0,2.914
"Mysuru",2.722,91.794,0,0.041,0,0,5.443
"Raichur",38.485,56.061,0,0.303,0,0,5.152
"Ramanagara",30.435,65.528,0.311,0,0,0,3.727
"Shivamogga",30.876,60.645,0,0.092,0,0,8.387
"Tumakuru",18.19,76.011,0.176,0,0.176,0,5.448
"Udupi",34.898,62.449,0.408,0,0,0,2.245
"Uttara Kannada",22.28,69.819,0.13,0.259,0.13,0,7.383
"Vijayapura",23.975,69.467,0.41,0,0,0,6.148
"Yadgiri",9.804,71.569,0,0,0.49,0,18.137
"All Karnataka",23.961,71.369,0.086,0.039,0.078,0.008,4.459
