"","ILI","SARI","Contact
of Patient
or Containment Zone","Inter
District Travel in
Karnataka","Domestic
Travel
outside
of Karnataka","International Travel","Unknown"
"Bagalkote",6.183,88.978,0.269,0,0.538,0,4.032
"Ballari",13.232,82.432,0.056,0.056,0.056,0,4.167
"Belagavi",16.232,77.756,0,0,0,0,6.012
"Bengaluru Rural",1.339,97.656,0,0,0,0,1.004
"Bengaluru Urban",32.23,66.29,0.006,0.012,0.024,0.006,1.433
"Bidar",2.696,90.196,0.49,0.245,1.716,0,4.657
"Chamarajanagara",20.185,70,0.556,0,0.185,0,9.074
"Chikkaballapura",11.062,84.956,0,0,0.221,0.221,3.54
"Chikkamagaluru",20.051,75.635,0,0,0,0,4.315
"Chitradurga",34.836,63.934,0,0.41,0,0,0.82
"Dakshina Kannada",18.472,56.679,0,0,0.055,0,24.794
"Davanagere",13.92,83.2,0.8,0,0.16,0,1.92
"Dharawada",17.89,77.619,0.143,0,0.143,0,4.205
"Gadag",11.446,82.831,0,0.301,0,0,5.422
"Hassan",79.189,15.379,0.536,0.077,0.153,0,4.667
"Haveri",15.885,77.307,0.454,0,0,0,6.354
"Kalaburagi",9.751,87.075,0,0.227,0.113,0.113,2.721
"Kodagu",32.764,63.818,0,0,0,0,3.419
"Kolar",6.667,91.97,0,0.152,0.455,0,0.758
"Koppal",15.399,75.51,0,0,0,0,9.091
"Mandya",16.429,80.857,0,0,0,0,2.714
"Mysuru",3.118,91.699,0,0.039,0,0,5.144
"Raichur",36.813,58.242,0,0.275,0,0,4.67
"Ramanagara",32.081,64.162,0.289,0,0,0,3.468
"Shivamogga",30.654,61.219,0,0.088,0,0,8.039
"Tumakuru",18.647,75.908,0.165,0,0.165,0,5.116
"Udupi",37.363,60.256,0.366,0,0,0,2.015
"Uttara Kannada",23.573,68.859,0.124,0.248,0.124,0,7.072
"Vijayapura",24.805,68.945,0.391,0,0,0,5.859
"Yadgiri",11.058,70.673,0,0,0.481,0,17.788
"All Karnataka",24.981,70.56,0.082,0.037,0.075,0.007,4.256
