"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
3,2,2020-05-10,5,1,0,-1,0,0
3,9,2020-07-01,1208,817,18,-1127,-772,-17
3,12,2020-07-04,4364,3519,89,-4277,-3474,-88
3,30,2020-07-24,132,88,1,-44,-88,33
3,31,2020-07-25,88,0,34,49,92,-33
3,140,2020-11-11,1118,1089,9,18,-206,0
3,210,2021-01-20,8789,8576,132,-7273,-7101,-106
3,233,2021-02-12,1518,1487,26,0,0,-21
3,264,2021-03-15,1532,1494,26,4,1,-20
3,270,2021-03-21,1539,1497,26,0,0,-20
3,278,2021-03-29,1551,1505,26,1,0,-20
3,282,2021-04-02,1555,1509,26,3,1,-20
3,291,2021-04-11,1615,1522,26,7,0,-20
3,299,2021-04-19,1797,1547,26,50,2,-20
3,302,2021-04-22,1931,1567,26,40,7,-20
3,307,2021-04-27,2177,1612,126,47,18,-100
3,333,2021-05-23,4619,4167,94,30,54,-80
3,335,2021-05-25,4687,4310,99,54,52,-85
3,338,2021-05-28,4830,4547,105,38,20,-91
3,340,2021-05-30,21830,20105,481,-16915,-15435,-466
3,380,2021-07-09,5066,4926,125,0,0,-103
3,388,2021-07-17,5066,4927,125,0,0,-103
3,394,2021-07-23,22388,21726,601,-17322,-16799,-475
