"case","categ","Date"
3,"Total active cases",2020-03-09
5,"Total active cases",2020-03-10
5,"Total active cases",2020-03-11
5,"Total active cases",2020-03-12
6,"Total active cases",2020-03-13
6,"Total active cases",2020-03-14
6,"Total active cases",2020-03-15
6,"Total active cases",2020-03-16
10,"Total active cases",2020-03-17
13,"Total active cases",2020-03-18
14,"Total active cases",2020-03-19
13,"Total active cases",2020-03-20
18,"Total active cases",2020-03-21
23,"Total active cases",2020-03-22
31,"Total active cases",2020-03-23
37,"Total active cases",2020-03-24
47,"Total active cases",2020-03-25
50,"Total active cases",2020-03-26
56,"Total active cases",2020-03-27
68,"Total active cases",2020-03-28
75,"Total active cases",2020-03-29
79,"Total active cases",2020-03-30
89,"Total active cases",2020-03-31
96,"Total active cases",2020-04-01
110,"Total active cases",2020-04-02
114,"Total active cases",2020-04-03
129,"Total active cases",2020-04-04
135,"Total active cases",2020-04-05
139,"Total active cases",2020-04-06
144,"Total active cases",2020-04-07
145,"Total active cases",2020-04-08
159,"Total active cases",2020-04-09
167,"Total active cases",2020-04-10
171,"Total active cases",2020-04-11
173,"Total active cases",2020-04-12
182,"Total active cases",2020-04-13
180,"Total active cases",2020-04-14
188,"Total active cases",2020-04-15
220,"Total active cases",2020-04-16
258,"Total active cases",2020-04-17
266,"Total active cases",2020-04-18
263,"Total active cases",2020-04-19
280,"Total active cases",2020-04-20
272,"Total active cases",2020-04-21
279,"Total active cases",2020-04-22
283,"Total active cases",2020-04-23
304,"Total active cases",2020-04-24
324,"Total active cases",2020-04-25
302,"Total active cases",2020-04-26
299,"Total active cases",2020-04-27
295,"Total active cases",2020-04-28
297,"Total active cases",2020-04-29
314,"Total active cases",2020-04-30
315,"Total active cases",2020-05-01
304,"Total active cases",2020-05-02
295,"Total active cases",2020-05-03
302,"Total active cases",2020-05-04
312,"Total active cases",2020-05-05
309,"Total active cases",2020-05-06
308,"Total active cases",2020-05-07
346,"Total active cases",2020-05-08
377,"Total active cases",2020-05-09
394,"Total active cases",2020-05-10
404,"Total active cases",2020-05-11
460,"Total active cases",2020-05-12
474,"Total active cases",2020-05-13
491,"Total active cases",2020-05-14
539,"Total active cases",2020-05-15
559,"Total active cases",2020-05-16
600,"Total active cases",2020-05-17
678,"Total active cases",2020-05-18
811,"Total active cases",2020-05-19
864,"Total active cases",2020-05-20
992,"Total active cases",2020-05-21
1104,"Total active cases",2020-05-22
1307,"Total active cases",2020-05-23
1391,"Total active cases",2020-05-24
1431,"Total active cases",2020-05-25
1489,"Total active cases",2020-05-26
1588,"Total active cases",2020-05-27
1650,"Total active cases",2020-05-28
1837,"Total active cases",2020-05-29
1874,"Total active cases",2020-05-30
1950,"Total active cases",2020-05-31
2026,"Total active cases",2020-06-01
2339,"Total active cases",2020-06-02
2494,"Total active cases",2020-06-03
2651,"Total active cases",2020-06-04
3088,"Total active cases",2020-06-05
3184,"Total active cases",2020-06-06
3257,"Total active cases",2020-06-07
3175,"Total active cases",2020-06-08
3248,"Total active cases",2020-06-09
3108,"Total active cases",2020-06-10
3195,"Total active cases",2020-06-11
2995,"Total active cases",2020-06-12
3092,"Total active cases",2020-06-13
2956,"Total active cases",2020-06-14
2987,"Total active cases",2020-06-15
2976,"Total active cases",2020-06-16
2824,"Total active cases",2020-06-17
2843,"Total active cases",2020-06-18
2943,"Total active cases",2020-06-19
3170,"Total active cases",2020-06-20
3391,"Total active cases",2020-06-21
3523,"Total active cases",2020-06-22
3563,"Total active cases",2020-06-23
3799,"Total active cases",2020-06-24
3716,"Total active cases",2020-06-25
3905,"Total active cases",2020-06-26
4441,"Total active cases",2020-06-27
5472,"Total active cases",2020-06-28
6382,"Total active cases",2020-06-29
7073,"Total active cases",2020-06-30
8194,"Total active cases",2020-07-01
9406,"Total active cases",2020-07-02
10608,"Total active cases",2020-07-03
11966,"Total active cases",2020-07-04
13251,"Total active cases",2020-07-05
14385,"Total active cases",2020-07-06
15297,"Total active cases",2020-07-07
16527,"Total active cases",2020-07-08
17782,"Total active cases",2020-07-09
19035,"Total active cases",2020-07-10
20883,"Total active cases",2020-07-11
22746,"Total active cases",2020-07-12
24572,"Total active cases",2020-07-13
25839,"Total active cases",2020-07-14
27853,"Total active cases",2020-07-15
30655,"Total active cases",2020-07-16
33205,"Total active cases",2020-07-17
36631,"Total active cases",2020-07-18
39370,"Total active cases",2020-07-19
42216,"Total active cases",2020-07-20
44140,"Total active cases",2020-07-21
47069,"Total active cases",2020-07-22
49931,"Total active cases",2020-07-23
52791,"Total active cases",2020-07-24
55388,"Total active cases",2020-07-25
58417,"Total active cases",2020-07-26
61819,"Total active cases",2020-07-27
64434,"Total active cases",2020-07-28
67448,"Total active cases",2020-07-29
69700,"Total active cases",2020-07-30
72005,"Total active cases",2020-07-31
73219,"Total active cases",2020-08-01
74590,"Total active cases",2020-08-02
74469,"Total active cases",2020-08-03
73846,"Total active cases",2020-08-04
