"District","No.","Date","Total infected","Total Recovered","Total deceased","diff_TINF","diff_TREC","diff_TDEC"
17,73,2020-08-14,128535,101860,7038,-819,889,48
17,145,2020-11-02,259111,230232,10348,746,1177,-25
17,172,2020-12-01,284191,257410,10893,-1373,-1231,20
17,175,2020-12-04,284509,258992,10945,1544,1293,-49
17,185,2020-12-15,291634,265715,10991,-7230,-109,12
17,187,2020-12-17,284990,266112,11013,1860,898,-17
17,233,2021-02-09,312655,295044,11398,-352,802,7
17,295,2021-06-24,722736,686428,15348,-2387,3595,48
17,303,2021-07-07,726278,696134,15573,-241,530,13
17,316,2021-07-28,735162,710005,15860,-55,1350,39
