"Asympto-
matic","Abdominal
Pain
and
related
symptoms","Chest
Pain
and
Pneumonia","Body Pain
and
Fatigue","Breathlessness
and
Respiratory
Failure","Fever
Cold or
Cough
without
Breathlessness","Fever,
Cold or
Cough
with
Breathlessness","Anorexia
and
Decreased
Appetite","Acute
Myocardial
Infarction","Altered
Sensorium"
"Asymptomatic","Fever & Vomitting","Pneumonia","Cough & Breathlessness & Weakness","Breathlessness","Fever & Cough","Fever & Cough","Loss of Appetite","Acute MI","Altered sensorium"
"","Fever & Vomittin and Headache","Pneumonia & Respiratory distress with hypotension","Weakness","Pneumonia & Respiratory distress with hypotension","Fever & Cough & UTI","Fever & Cough & Breathlessness","Breathlessness & Vomiting & Decreased Appetite & Loose Stool","","Mild Distension Of Abd & Altered Sensorium"
"","Breathlessness & Vomiting & Decreased Appetite & Loose Stool","Fever & Cough & Breathlessness & Chest pain","Fever & Fatigue & Dry Cough","Giddiness & Breathlessness","Fever & Vomitting","Fever & Cough & Breathlessness & Chest pain","Breathlessness & General Weakness & Fatigue & Anorexia","","Sudden loss of conscious"
"","Breathlessness & Abdominal Pain & Fever","Chest pain","Fever & Chills & tiredness","Breathlessness & Wheezing","Fever & Vomittin and Headache","Fever & Cough & UTI","Diarrhe & Anorexia","",""
"","Abdominal Pain & Breathlessness","Chest Pain","Breathlessness & Fever & Chills & Fatigue","Breathlessness & Vomiting & Decreased Appetite & Loose Stool","Fever","Fever & Vomitting","","",""
"","Fever & Vomiting","Chest Pain & Fatigue & Dysnea","Chest Pain & Fatigue & Dysnea","Abdominal Pain & Breathlessness","Cough","Cough & Breathlessness & Weakness","","",""
"","Stomach Pain","Breathlessness & Chest Pain","Abd- Distension &  Fatigue restlessness","Oligouri, Breathlessness","Fever & Cold & Cough","Fever & Breathlessness","","",""
"","Abdomen Pain","Breathlessness & Weakness & Chest Pain","Fatigue & Breathlessness","Abd- Distension &  Fatigue restlessness","Fever, Cough","Fever & Headache & Breathlessness","","",""
"","Mild Distension Of Abd & Altered Sensorium","Breathlessness & Fever & Cough & Chest Pain","Breathlessness & General Weakness & Fatigue & Anorexia","Breathlessness & Chest Pain","Fever & Cold","Cough & Breathlessness","","",""
"","Abd- Distension &  Fatigue restlessness","Bronchopneumonia","Fever & Fatigue & Breathlessness","Fatigue & Breathlessness","Cold","Fever & Vomittin and Headache","","",""
"","Breathlessness & Fever & Loose Stools","Fever, Cough, Chest Pain, Vomiting","Breathlessness & Fever & Weakness","Breathlessness & General Weakness & Fatigue & Anorexia","Common Cold & Mild Fever","Fever","","",""
"","Fever & Loose Stool & Fatigue","Pneumonia with Severe ARDS","Fever & Loose Stool & Fatigue","Acute Respiratory Failure","Fever & Fatigue & Dry Cough","Cough","","",""
"","ABD-Pain","","Breathlessness & Weakness & Chest Pain","Breathlessness & Weakness & Chest Pain","Fever & Chills & tiredness","Fever & Cold & Cough","","",""
"","Vomiting","","Breathlessness & Fever & Cough & Fatigue","Restlessness","Fever & Vomiting","Breathlessness & Fever & Bodyache","","",""
"","Diarrhe & Anorexia","","Body Pain & Cough & Fever  &Breathlessness","Acute onset of breathlessness","Fever &  Cough","Fever, Cough","","",""
"","Fever & Breathlessness &  Diarrhea","","Fever, Cough, Breathlessness, Tiredness","Breathlessness & Giddiness","Cold & Cough","Fever & Breathlessness & Cough","","",""
"","Cough & Breathlessness & Diarrhea","","Cough, Fever, Tiredness","Breathlessness, DM,  HTN, ISM","Fever & Cough & Cold","Cough & Breathlessness & Ischemic Heart Disease","","",""
"","Fever, Cough, Chest Pain, Vomiting","","Body Pain, Fever","BREATHLESSNESS","Fever, Chills","Breathlessness & Abdominal Pain & Fever","","",""
"","","","","breathlessness","Fever & Loose Stool & Fatigue","Fever & Cold","","",""
"","","","","Breathlessness ","Fever &  Cold","Common Cold & Mild Fever","","",""
"","","","","Fevr, Breathlessness","Cold & Fever & Cough","Fever & Fatigue & Dry Cough","","",""
"","","","","Breathlessness ","Cough & Fever","Fever & Cough & difficulty in breathing","","",""
"","","","","Breathing Issues","Cough & Cold & Fever","Breathlessness & Cough","","",""
"","","","","Breathlessn
ess","Fever & CELLUTITIS OF RIGHT LEG","Fever & Chills & tiredness","","",""
"","","","","","Cold, Cough","Fever & Vomiting","","",""
"","","","","","Fever, Cough, Chest Pain, Vomiting","Fever &  Cough","","",""
"","","","","","Cough, Cold","Breathlessness & Fever & Weight Loss","","",""
"","","","","","Cough, Fever","Breathlessness & Fever & Chills & Fatigue","","",""
"","","","","","Fever, Cold","Cold & Cough","","",""
"","","","","","Fever, cough","Fever &  Breathlessness","","",""
"","","","","","Cough, Fever, Tiredness","Fever & Cough & Cold","","",""
"","","","","","Body Pain, Fever","Cough & Cold &  Fever & Breathlessness","","",""
"","","","","","Fever, Cold, Cough","Fever, Chills","","",""
"","","","","","Cough, Congenital hemolytic Anaemia","Breathlessness & Fever & Loose Stools","","",""
"","","","","","cough","Cough & Cold & Fever & Breathlessness","","",""
"","","","","","FEVER","Fever & Fatigue & Breathlessness","","",""
"","","","","","Fever, Cough ","Cough & Fever & Breathlessness","","",""
"","","","","","Fever ","Breathlessness & Fever & Weakness","","",""
"","","","","","Cough ","Fever & Loose Stool & Fatigue","","",""
"","","","","","Fever, Cough ","Fever &  Cold","","",""
"","","","","","Fever, cough ","Cough & Feve & Breathlessness","","",""
"","","","","","Fever ","Breathlessness & Cold & Fever & Cough","","",""
"","","","","","Cough ","Cold & Cough & Breathlessness","","",""
"","","","","","Feve, cough","Cold & Fever & Cough","","",""
"","","","","","Cough,Fever","Cough & Fever","","",""
"","","","","","Fever ,Cough","Breathlessness & Fever & Cough & Fatigue","","",""
"","","","","","Fever, Cough,","Breathlessness & Fever & Cough & Chest Pain","","",""
"","","","","","fever, Cough","Breathlessness & Fever","","",""
"","","","","","Fever,Cough","Fever & Breathlessness &  Diarrhea","","",""
"","","","","","Fever , Cough","Body Pain & Cough & Fever  &Breathlessness","","",""
"","","","","","Fever and Cough","Cough & Cold & Fever","","",""
"","","","","","Fever,
Cough","Breathlessness & Cough  & giddiness","","",""
"","","","","","","Fever & CELLUTITIS OF RIGHT LEG","","",""
"","","","","","","Cough & Breathlessness & Diarrhea","","",""
"","","","","","","Dry Cough & Breathlessness","","",""
"","","","","","","Fever, Cough, Breathlessness","","",""
"","","","","","","Breathlessness, Cough","","",""
"","","","","","","Cough, Breathlessness","","",""
"","","","","","","Fever, Breathlessness","","",""
"","","","","","","Fever, breathlessness","","",""
"","","","","","","Cold, Cough","","",""
"","","","","","","Fever, Cough, Chest Pain, Vomiting","","",""
"","","","","","","Fever, Cough, Breathlessness, Tiredness","","",""
"","","","","","","Fever, Breathlessness, Cough","","",""
"","","","","","","Fever, Cough, breathlessness","","",""
"","","","","","","Cough, Fever, Breathlessness","","",""
"","","","","","","Cough, Cold","","",""
"","","","","","","Cough, Fever","","",""
"","","","","","","Fever, Cold","","",""
"","","","","","","Fever, cough","","",""
"","","","","","","Fever, cough, breathlessness","","",""
"","","","","","","Cough, breathlessness","","",""
"","","","","","","Cough, Fever, Tiredness","","",""
"","","","","","","Body Pain, Fever","","",""
"","","","","","","Fever, Cold, Cough","","",""
"","","","","","","Fever, cough, Breathlessness","","",""
"","","","","","","Fever, Cold, Breathlessness","","",""
"","","","","","","fever, cough, breathlessness","","",""
"","","","","","","Cough, Congenital hemolytic Anaemia","","",""
"","","","","","","fever, breathlessness","","",""
"","","","","","","cough","","",""
"","","","","","","Breathlessness, Fever","","",""
"","","","","","","Cough, Breathlessness, Fever","","",""
"","","","","","","FEVER","","",""
"","","","","","","Fever, Breathlesness","","",""
"","","","","","","Fever, Cough,Breathlessness","","",""
"","","","","","","Fever, Cough, Breathlesness","","",""
"","","","","","","Cough, Breathlessnes","","",""
"","","","","","","Fever, Cough,  Breathlessness","","",""
"","","","","","","Fever, Cough ","","",""
"","","","","","","Cough, Breathlessness ","","",""
"","","","","","","Fever ","","",""
"","","","","","","Fever, Breathlessness ","","",""
"","","","","","","Fever, Cough, Breathlessness ","","",""
"","","","","","","Cough ","","",""
"","","","","","","Fever , Cough , Breathlessness","","",""
"","","","","","","Fever, Breathlesssness","","",""
"","","","","","","Fever, Cough,   Breathlessness","","",""
"","","","","","","Fever, Cough, Breathlessnesss","","",""
"","","","","","","Fever, Cough, Breathlessnes","","",""
"","","","","","","Fever, Cough ","","",""
"","","","","","","Fever, Cough, breathlessness ","","",""
"","","","","","","Fever, cough, breathlessness ","","",""
"","","","","","","Fever, Cough, Breathlessness ","","",""
"","","","","","","Fever, cough ","","",""
"","","","","","","Fever ","","",""
"","","","","","","Cough ","","",""
"","","","","","","Feve, cough","","",""
"","","","","","","Cough,Breathlessness","","",""
"","","","","","","Fever,Breathlessness","","",""
"","","","","","","Cough,Fever","","",""
"","","","","","","Fever,Breathless ness","","",""
"","","","","","","Cough,Breathles sness","","",""
"","","","","","","Fever ,Cough","","",""
"","","","","","","Fever, Cough,","","",""
"","","","","","","Fever, cough,Breathlessness","","",""
"","","","","","","Cough,
Breathlessness","","",""
"","","","","","","Fever,
Breathlessness","","",""
"","","","","","","Fever, Cough,
Breathlessness","","",""
"","","","","","","fever, Cough","","",""
"","","","","","","Fever,Cough","","",""
"","","","","","","Fever, Cough,Breathlessnesss","","",""
"","","","","","","Fever, Breathlessness ","","",""
"","","","","","","Fever, Cough ,Breathlessness","","",""
"","","","","","","Fever , Cough","","",""
"","","","","","","Cough,  Breathlessness","","",""
"","","","","","","Fever,
breathlessness","","",""
"","","","","","","Fever, cough,breathlessness","","",""
"","","","","","","Fever, cough,
Breathlessness","","",""
"","","","","","","FEVER
BREATHLESSNESS","","",""
"","","","","","","Fever and Breathlessness","","",""
"","","","","","","Fever and Cough","","",""
"","","","","","","Fever cough Breathlessness","","",""
"","","","","","","Fever, Cough,
Brethlessness","","",""
"","","","","","","Fever, Cough,
Breathlessnes","","",""
"","","","","","","Fever,
Breathlessnes","","",""
"","","","","","","Fever,Cough,Breathlessness","","",""
"","","","","","","Fever,
Cough","","",""
"","","","","","","Fever,Cough,
Breathlessness","","",""
"","","","","","","Fever, Cough
Breathlessness","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
"","","","","","","","","",""
