"Age-Gender Category","Total Counts","t_days","Mean_days","variance_days","sd_days","Gender"
"0 - 10(M)",27,2.056,4.593,22.943,4.79,"Male"
"0 - 10(F)",13,2.179,4.308,30.564,5.528,"Female"
"10 - 20(M)",34,2.035,6.353,128.781,11.348,"Male"
"10 - 20(F)",29,2.048,4.069,16.781,4.096,"Female"
"20 - 30(M)",316,1.968,5.797,33.895,5.822,"Male"
"20 - 30(F)",227,1.971,5.581,26.014,5.1,"Female"
"30 - 40(M)",1227,1.962,6.036,27.871,5.279,"Male"
"30 - 40(F)",524,1.965,5.347,28.017,5.293,"Female"
"40 - 50(M)",2567,1.961,5.919,29.014,5.386,"Male"
"40 - 50(F)",1281,1.962,5.407,31.402,5.604,"Female"
"50 - 60(M)",3779,1.961,6.23,33.655,5.801,"Male"
"50 - 60(F)",2349,1.961,6.032,36.512,6.043,"Female"
"60 - 70(M)",4932,1.96,6.157,33.778,5.812,"Male"
"60 - 70(F)",2975,1.961,6.037,32.115,5.667,"Female"
"70 - 80(M)",3892,1.961,6.229,30.695,5.54,"Male"
"70 - 80(F)",2076,1.961,5.901,30.075,5.484,"Female"
"80 - 90(M)",1731,1.961,6.325,71.773,8.472,"Male"
"80 - 90(F)",851,1.963,5.894,28.975,5.383,"Female"
