"Age-Gender Category","Total Counts","t_days","Mean_days","variance_days","sd_days","Gender"
"0 - 10(M)",19,2.101,5.421,38.924,6.239,"Male"
"0 - 10(F)",10,2.262,10.5,149.167,12.213,"Female"
"10 - 20(M)",25,2.064,4.76,31.273,5.592,"Male"
"10 - 20(F)",22,2.08,6.591,45.11,6.716,"Female"
"20 - 30(M)",303,1.968,6.785,117.891,10.858,"Male"
"20 - 30(F)",219,1.971,7.301,99.9,9.995,"Female"
"30 - 40(M)",1199,1.962,6.684,131.018,11.446,"Male"
"30 - 40(F)",505,1.965,6.644,104.551,10.225,"Female"
"40 - 50(M)",2500,1.961,6.828,136.192,11.67,"Male"
"40 - 50(F)",1250,1.962,6.923,106.02,10.297,"Female"
"50 - 60(M)",3695,1.961,7.106,133.384,11.549,"Male"
"50 - 60(F)",2283,1.961,6.83,97.248,9.861,"Female"
"60 - 70(M)",4763,1.96,6.625,98.563,9.928,"Male"
"60 - 70(F)",2890,1.961,6.708,98.279,9.914,"Female"
"70 - 80(M)",3727,1.961,6.471,92.49,9.617,"Male"
"70 - 80(F)",1994,1.961,6.954,101.993,10.099,"Female"
"80 - 90(M)",1585,1.961,6.719,71.106,8.432,"Male"
"80 - 90(F)",796,1.963,6.81,84.894,9.214,"Female"
