"District","w1_cnt","mw_cnt","w2_cnt","t_w1","t_mw","t_w2","mean_w1","var_w1","sd_w1","mean_mw","var_mw","sd_mw","mean_w2","var_w2","sd_w2"
"Bagalakote",131,5,235,1.98,2.78,1.97,61.11,145.42,12.06,57.8,404.2,20.1,55.26,237.45,15.41
"Ballari",537,60,1174,1.96,2,1.96,60.55,186.68,13.66,59.38,245.94,15.68,55.87,214.34,14.64
"Belagavi",330,9,658,1.97,2.31,1.96,60.2,166.76,12.91,54.33,198.5,14.09,59.13,224.38,14.98
"Bengaluru Rural",137,28,728,1.98,2.05,1.96,60.93,188.7,13.74,66.54,221.59,14.89,57.43,234.48,15.31
"Bengaluru Urban",3861,523,12528,1.96,1.96,1.96,61.4,211.56,14.55,65.74,189.95,13.78,62.13,228.97,15.13
"Bidar",165,8,241,1.97,2.36,1.97,60.53,213.17,14.6,67.12,227.84,15.09,55.75,213.63,14.62
"Chamarajanagara",124,7,408,1.98,2.45,1.97,62.61,156.99,12.53,65.43,426.29,20.65,56.36,225.74,15.02
"Chikkaballapura",108,7,338,1.98,2.45,1.97,56.74,196.47,14.02,66.71,193.9,13.92,55.38,268.86,16.4
"Chikkamagaluru",137,3,253,1.98,4.3,1.97,61.36,178.16,13.35,67,3,1.73,61.13,182.16,13.5
"Chitradurga",59,10,175,2,2.26,1.97,63.12,147.35,12.14,55.73,667.94,25.84,56.57,289.33,17.01
"Dakshina Kannada",677,59,1064,1.96,2,1.96,63.11,207.65,14.41,59.53,210.6,14.51,63.13,199.71,14.13
"Davanagere",255,7,357,1.97,2.45,1.97,60.88,154.08,12.41,52.86,626.81,25.04,56.81,197.51,14.05
"Dharwad",563,47,783,1.96,2.01,1.96,63.15,159.71,12.64,69.7,133.34,11.55,62.55,203.98,14.28
"Gadag",141,0,190,1.98,NA,1.97,61.81,186.24,13.65,NA,NA,NA,61.82,178.17,13.35
"Hassan",369,23,914,1.97,2.07,1.96,59.96,230.37,15.18,67.52,166.62,12.91,57.69,230.45,15.18
"Haveri",184,5,465,1.97,2.78,1.97,59.99,162.05,12.73,57.8,246.2,15.69,58.41,196.67,14.02
"Kalaburagi",310,16,559,1.97,2.13,1.96,61.25,170.51,13.06,60.06,150.6,12.27,58.91,214.2,14.64
"Kodagu",62,9,279,2,2.31,1.97,62.55,185.3,13.61,62.11,329.36,18.15,63.14,234.87,15.33
"Kolar",152,23,482,1.98,2.07,1.96,59.12,199.39,14.12,62.87,346.03,18.6,57.16,248.28,15.76
"Koppal",273,6,262,1.97,2.57,1.97,60.26,172.47,13.13,64.17,202.57,14.23,56.98,239.39,15.47
"Mandya",140,10,546,1.98,2.26,1.96,62.69,226.76,15.06,70,228,15.1,59.84,209.07,14.46
"Mysuru",955,68,1533,1.96,2,1.96,61.73,196.65,14.02,62.18,207.01,14.39,60.9,237.95,15.43
"Raichur",146,9,208,1.98,2.31,1.97,59.79,202.91,14.24,55,160.25,12.66,54.3,238.38,15.44
"Ramanagara",71,6,267,1.99,2.57,1.97,60.35,192.86,13.89,54.5,193.1,13.9,55.72,243.06,15.59
"Shivamogga",345,4,781,1.97,3.18,1.96,62.52,154.91,12.45,68.75,120.92,11,58.61,206.8,14.38
"Tumakuru",340,46,821,1.97,2.01,1.96,60.3,173.51,13.17,67.2,190.56,13.8,57.64,221.34,14.88
"Udupi",181,7,357,1.97,2.45,1.97,62.92,195.84,13.99,65.14,178.48,13.36,65.95,197.6,14.06
"Uttara Kannada",155,23,625,1.98,2.07,1.96,63.08,235.96,15.36,65.52,118.9,10.9,62.29,208.08,14.42
"Vijayapura",195,11,311,1.97,2.23,1.97,62.35,178.71,13.37,56.45,106.47,10.32,55.93,249.17,15.79
"Yadgiri",61,0,150,2,NA,1.98,61.2,185.83,13.63,NA,NA,NA,56.97,184.46,13.58
