"State","Date","Total Active"
"Andhra Pradesh","2020-03-10","2020-03-11"
"Andhra Pradesh","0","0"
"Andaman and Nicobar Islands","2020-03-10","2020-03-12"
"Andaman and Nicobar Islands","0","1"
"Arunachal Pradesh","2020-03-10","2020-03-13"
"Arunachal Pradesh","0","1"
"Assam","2020-03-10","2020-03-14"
"Assam","0","1"
"Bihar","2020-03-10","2020-03-15"
"Bihar","0","1"
"Chandigarh","2020-03-10","2020-03-16"
"Chandigarh","0","1"
"Chhattisgarh","2020-03-10","2020-03-17"
"Chhattisgarh","0","1"
"Dadra and Nagar Haveli","2020-03-10","2020-03-18"
"Dadra and Nagar Haveli","0","1"
"Delhi","2020-03-10","2020-03-19"
"Delhi","0","2"
"Goa","2020-03-10","2020-03-20"
"Goa","0","3"
"Gujarat","2020-03-10","2020-03-21"
"Gujarat","0","3"
"Haryana","2020-03-10","2020-03-22"
"Haryana","0","5"
"Himachal Pradesh","2020-03-10","2020-03-23"
"Himachal Pradesh","0","7"
"Jammu and Kashmir","2020-03-10","2020-03-24"
"Jammu and Kashmir","0","8"
"Jharkhand","2020-03-10","2020-03-25"
"Jharkhand","0","8"
"Karnataka","2020-03-10","2020-03-26"
"Karnataka"," 0","10"
"Kerala","2020-03-10","2020-03-27"
"Kerala"," 0","13"
"Lakshadweep","2020-03-10","2020-03-28"
"Lakshadweep"," 0","13"
"Ladakh","2020-03-10","2020-03-29"
"Ladakh"," 0","18"
"Madhya Pradesh","2020-03-10","2020-03-30"
"Madhya Pradesh"," 0","22"
"Maharashtra","2020-03-10","2020-03-31"
"Maharashtra"," 0","39"
"Manipur","2020-03-10","2020-04-01"
"Manipur"," 0","83"
"Meghalaya","2020-03-10","2020-04-02"
"Meghalaya"," 0","84"
"Mizoram","2020-03-10","2020-04-03"
"Mizoram","  0","130"
"Nagaland","2020-03-10","2020-04-04"
"Nagaland","  0","159"
"Odisha","2020-03-10","2020-04-05"
"Odisha","  0","188"
"Puducherry","2020-03-10","2020-04-06"
"Puducherry","  0","222"
"Punjab","2020-03-10","2020-04-07"
"Punjab","  0","262"
"Rajasthan","2020-03-10","2020-04-08"
"Rajasthan","  0","296"
"Sikkim","2020-03-10","2020-04-09"
"Sikkim","  0","338"
"Tamil Nadu","2020-03-10","2020-04-10"
"Tamil Nadu","  0","350"
"Telengana","2020-03-10","2020-04-11"
"Telengana","  0","364"
"Tripura","2020-03-10","2020-04-12"
"Tripura","  0","364"
"Uttarakhand","2020-03-10","2020-04-13"
"Uttarakhand","  0","414"
"Uttar Pradesh","2020-03-10","2020-04-14"
"Uttar Pradesh","  0","450"
"West Bengal","2020-03-10","2020-04-15"
"West Bengal","  0","478"
