"State","Population-2011","Population-2020","Target-1","Target-2","Target-3","Target-4"
"Andhra Pradesh",NA,NA,NA,NA,NA,NA
"Andaman and Nicobar Islands",380581,437668.15,21.8834075,437.66815,656.502225,875.3363
"Arunachal Pradesh",1383727,1591286.05,79.5643025,1591.28605,2386.929075,3182.5721
"Assam",31205576,35886412.4,1794.32062,35886.4124,53829.6186,71772.8248
"Bihar",104099452,119714369.8,5985.71849,119714.3698,179571.5547,239428.7396
"Chandigarh",NA,NA,NA,NA,NA,NA
"Chhattisgarh",25545198,29376977.7,1468.848885,29376.9777,44065.46655,58753.9554
"Dadra and Nagar Haveli",343709,395265.35,19.7632675,395.26535,592.898025,790.5307
"Delhi",16787941,19306132.15,965.3066075,19306.13215,28959.198225,38612.2643
"Goa",1458545,1677326.75,83.8663375,1677.32675,2515.990125,3354.6535
"Gujarat",60439692,69505645.8,3475.28229,69505.6458,104258.4687,139011.2916
"Haryana",25351462,29154181.3,1457.709065,29154.1813,43731.27195,58308.3626
"Himachal Pradesh",6864602,7894292.3,394.714615,7894.2923,11841.43845,15788.5846
"Jammu and Kashmir",NA,NA,NA,NA,NA,NA
"Jharkhand",32988134,37936354.1,1896.817705,37936.3541,56904.53115,75872.7082
"Karnataka",61095297,70259591.55,3512.9795775,70259.59155,105389.387325,140519.1831
"Kerala",33406061,38416970.15,1920.8485075,38416.97015,57625.455225,76833.9403
"Ladakh",NA,NA,NA,NA,NA,NA
"Madhya Pradesh",72626809,83520830.35,4176.0415175,83520.83035,125281.245525,167041.6607
"Maharashtra",112374333,129230482.95,6461.5241475,129230.48295,193845.724425,258460.9659
"Meghalaya",2966889,3411922.35,170.5961175,3411.92235,5117.883525,6823.8447
"Manipur",2855794,3284163.1,164.208155,3284.1631,4926.24465,6568.3262
"Mizoram",1097206,1261786.9,63.089345,1261.7869,1892.68035,2523.5738
"Nagaland",1978502,2275277.3,113.763865,2275.2773,3412.91595,4550.5546
"Odisha",41974218,48270350.7,2413.517535,48270.3507,72405.52605,96540.7014
"Puducherry",1247953,1435145.95,71.7572975,1435.14595,2152.718925,2870.2919
"Punjab",27743338,31904838.7,1595.241935,31904.8387,47857.25805,63809.6774
"Rajasthan",68548437,78830702.55,3941.5351275,78830.70255,118246.053825,157661.4051
"Sikkim",610577,702163.55,35.1081775,702.16355,1053.245325,1404.3271
"Tamil Nadu",72147030,82969084.5,4148.454225,82969.0845,124453.62675,165938.169
"Telengana",NA,NA,NA,NA,NA,NA
"Tripura",3673917,4225004.55,211.2502275,4225.00455,6337.506825,8450.0091
"Uttarakhand",10086292,11599235.8,579.96179,11599.2358,17398.8537,23198.4716
"Uttar Pradesh",199812341,229784192.15,11489.2096075,229784.19215,344676.288225,459568.3843
"West Bengal",91276115,104967532.25,5248.3766125,104967.53225,157451.298375,209935.0645
"Lakshadweep",64473,74143.95,3.7071975,74.14395,111.215925,148.2879
