DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,
32,15/04/2020,20,0,2,,,,,32,Ananthapur
33,15/04/2020,23,1,0,,,,,33,Chittoor
34,15/04/2020,17,3,0,,,,,34,East Godavari
35,15/04/2020,118,0,4,,,,,35,Guntur
36,15/04/2020,33,0,0,,,,,36,Kadapa
37,15/04/2020,45,4,3,,,,,37,Krishna
38,15/04/2020,97,0,1,,,,,38,Kurnool
39,15/04/2020,56,1,1,,,,,39,Nellore
40,15/04/2020,42,1,0,,,,,40,Prakasam
41,15/04/2020,0,0,0,,,,,41,Srikakulam
42,15/04/2020,20,6,0,,,,,42,Vishakapatnam
43,15/04/2020,0,0,0,,,,,43,Vizianagaram
44,15/04/2020,31,0,0,,,,,44,West Godavari
32,16/04/2020,21,0,2,,,,,,
33,16/04/2020,23,1,0,,,,,,
34,16/04/2020,17,3,0,,,,,,"Apr 3-13, Postive and Reco&discharges"
35,16/04/2020,122,0,4,,,,,,April 14 - Total & discharged
36,16/04/2020,36,0,0,,,,,,"April 15 onwards - total, rec and discharged"
37,16/04/2020,48,4,4,,,,,,May 20 - June 19 - districtwise data not available
38,16/04/2020,113,0,2,,,,,,
39,16/04/2020,58,1,2,,,,,,
40,16/04/2020,42,1,0,,,,,,
41,16/04/2020,0,0,0,,,,,,
42,16/04/2020,20,10,0,,,,,,
43,16/04/2020,0,0,0,,,,,,
44,16/04/2020,34,0,0,,,,,,
32,17/04/2020,26,2,2,,,,,,
33,17/04/2020,28,1,0,,,,,,
34,17/04/2020,17,3,0,,,,,,
35,17/04/2020,126,0,4,,,,,,
36,17/04/2020,37,13,0,,,,,,
37,17/04/2020,52,4,4,,,,,,
38,17/04/2020,126,0,2,,,,,,
39,17/04/2020,64,1,2,,,,,,
40,17/04/2020,42,1,0,,,,,,
41,17/04/2020,0,0,0,,,,,,
42,17/04/2020,20,10,0,,,,,,
43,17/04/2020,0,0,0,,,,,,
44,17/04/2020,34,0,0,,,,,,
32,18/04/2020,26,2,2,,,,,,
33,18/04/2020,28,1,0,,,,,,
34,18/04/2020,19,6,0,,,,,,
35,18/04/2020,125,0,4,,,,,,
36,18/04/2020,37,13,0,,,,,,
37,18/04/2020,70,4,5,,,,,,
38,18/04/2020,132,1,3,,,,,,
39,18/04/2020,67,1,2,,,,,,
40,18/04/2020,44,1,0,,,,,,
41,18/04/2020,0,0,0,,,,,,
42,18/04/2020,20,13,0,,,,,,
43,18/04/2020,0,0,0,,,,,,
44,18/04/2020,35,0,0,,,,,,
32,19/04/2020,29,2,2,,,,,,
33,19/04/2020,28,4,0,,,,,,
34,19/04/2020,24,8,0,,,,,,
35,19/04/2020,129,0,4,,,,,,
36,19/04/2020,37,19,0,,,,,,
37,19/04/2020,75,4,5,,,,,,
38,19/04/2020,158,1,4,,,,,,
39,19/04/2020,67,1,2,,,,,,
40,19/04/2020,44,1,0,,,,,,
41,19/04/2020,0,0,0,,,,,,
42,19/04/2020,21,16,0,,,,,,
43,19/04/2020,0,0,0,,,,,,
44,19/04/2020,35,9,0,,,,,,
32,20/04/2020,33,2,3,,,,,,
33,20/04/2020,53,4,0,,,,,,
34,20/04/2020,26,8,0,,,,,,
35,20/04/2020,149,15,4,,,,,,
36,20/04/2020,40,19,0,,,,,,
37,20/04/2020,80,14,6,,,,,,
38,20/04/2020,174,1,5,,,,,,
39,20/04/2020,67,1,2,,,,,,
40,20/04/2020,44,1,0,,,,,,
41,20/04/2020,0,0,0,,,,,,
42,20/04/2020,21,18,0,,,,,,
43,20/04/2020,0,0,0,,,,,,
44,20/04/2020,35,9,0,,,,,,
32,21/04/2020,36,2,3,,,,,,
33,21/04/2020,53,4,0,,,,,,
34,21/04/2020,26,8,0,,,,,,
35,21/04/2020,158,15,6,,,,,,
36,21/04/2020,46,19,0,,,,,,
37,21/04/2020,83,14,6,,,,,,
38,21/04/2020,184,4,5,,,,,,
39,21/04/2020,67,2,2,,,,,,
40,21/04/2020,44,1,0,,,,,,
41,21/04/2020,0,0,0,,,,,,
42,21/04/2020,21,18,0,,,,,,
43,21/04/2020,0,0,0,,,,,,
44,21/04/2020,39,9,0,,,,,,
32,22/04/2020,36,7,3,,,,,,
33,22/04/2020,59,4,0,,,,,,
34,22/04/2020,26,8,0,,,,,,
35,22/04/2020,177,23,8,,,,,,
