DISTRICTCODE,Date,TINF,TREC,TDEC,,,,
298,18/06/2020,42,41,0,,,298,Balod
299,18/06/2020,194,112,0,,,299,Baloda Bazar
300,18/06/2020,93,30,0,,,300,Balrampur
301,18/06/2020,5,3,0,,,301,Bastar
302,18/06/2020,41,25,0,,,302,Bemetara
303,18/06/2020,0,0,0,,,303,Bijapur
304,18/06/2020,168,134,0,,,304,Bilaspur
305,18/06/2020,2,0,0,,,305,Dantewada
306,18/06/2020,8,6,0,,,306,Dhamtari
307,18/06/2020,86,36,1,,,307,Durg
308,18/06/2020,21,9,0,,,308,Gariaband
309,18/06/2020,3,3,0,,,309,Gaurela-Pendra-Marwahi
310,18/06/2020,162,79,0,,,310,Janjgir-Champa
311,18/06/2020,96,54,0,,,311,Jashpur
312,18/06/2020,91,74,0,,,312,Kabirdham
313,18/06/2020,26,24,0,,,313,Kanker
314,18/06/2020,3,1,0,,,314,Kondagaon
315,18/06/2020,257,120,0,,,315,Korba
316,18/06/2020,55,41,0,,,316,Koriya
317,18/06/2020,77,56,0,,,317,Mahasamund
318,18/06/2020,115,103,0,,,318,Mungeli
319,18/06/2020,2,0,0,,,319,Narayanpur
320,18/06/2020,76,55,0,,,320,Raigarh
321,18/06/2020,183,89,1,,,321,Raipur
322,18/06/2020,97,64,0,,,322,Rajnandgaon
323,18/06/2020,0,0,0,,,323,Sukma
324,18/06/2020,17,17,0,,,324,Surajpur
325,18/06/2020,25,25,0,,,325,Surguja
326,18/06/2020,1,1,0,,,,
298,20/06/2020,44,41,0,,,,
299,20/06/2020,202,117,0,,,,
300,20/06/2020,100,65,0,,,,
301,20/06/2020,5,3,0,,,,
302,20/06/2020,41,27,0,,,,
303,20/06/2020,0,0,0,,,,
304,20/06/2020,171,141,0,,,,
305,20/06/2020,2,0,0,,,,
306,20/06/2020,8,6,0,,,,
307,20/06/2020,88,42,1,,,,
308,20/06/2020,2,9,0,,,,
309,20/06/2020,3,3,0,,,,
310,20/06/2020,205,87,0,,,,
311,20/06/2020,104,79,0,,,,
312,20/06/2020,91,78,0,,,,
313,20/06/2020,26,24,0,,,,
314,20/06/2020,3,1,0,,,,
315,20/06/2020,259,162,0,,,,
316,20/06/2020,54,42,0,,,,
317,20/06/2020,77,61,0,,,,
318,20/06/2020,119,103,0,,,,
319,20/06/2020,6,0,0,,,,
320,20/06/2020,83,64,0,,,,
321,20/06/2020,196,100,1,,,,
322,20/06/2020,104,70,1,,,,
323,20/06/2020,3,0,0,,,,
324,20/06/2020,42,25,0,,,,
325,20/06/2020,17,17,0,,,,
326,20/06/2020,1,1,0,,,,
298,21/06/2020,44,41,0,,,,
299,21/06/2020,219,120,0,,,,
300,21/06/2020,101,71,0,,,,
301,21/06/2020,5,3,0,,,,
302,21/06/2020,43,28,0,,,,
303,21/06/2020,0,0,0,,,,
304,21/06/2020,171,154,0,,,,
305,21/06/2020,2,0,0,,,,
306,21/06/2020,8,6,0,,,,
307,21/06/2020,96,42,1,,,,
308,21/06/2020,26,9,0,,,,
309,21/06/2020,3,3,0,,,,
310,21/06/2020,208,87,0,,,,
311,21/06/2020,120,79,0,,,,
312,21/06/2020,91,78,0,,,,
313,21/06/2020,28,24,0,,,,
314,21/06/2020,3,1,0,,,,
315,21/06/2020,298,165,0,,,,
316,21/06/2020,54,42,0,,,,
317,21/06/2020,77,64,0,,,,
318,21/06/2020,119,103,0,,,,
319,21/06/2020,6,0,0,,,,
320,21/06/2020,85,70,0,,,,
321,21/06/2020,213,104,1,,,,
322,21/06/2020,171,84,1,,,,
323,21/06/2020,3,0,0,,,,
324,21/06/2020,17,17,0,,,,
325,21/06/2020,43,25,0,,,,
326,21/06/2020,1,1,0,,,,
298,23/06/2020,44,41,0,,,,
299,23/06/2020,220,129,0,,,,
300,23/06/2020,111,72,0,,,,
301,23/06/2020,5,4,0,,,,
302,23/06/2020,45,38,0,,,,
303,23/06/2020,0,0,0,,,,
304,23/06/2020,172,165,0,,,,
305,23/06/2020,2,2,0,,,,
306,23/06/2020,8,6,0,,,,
307,23/06/2020,102,58,1,,,,
308,23/06/2020,26,15,0,,,,
309,23/06/2020,3,3,0,,,,
310,23/06/2020,215,95,0,,,,
311,23/06/2020,122,82,0,,,,
312,23/06/2020,92,80,0,,,,
313,23/06/2020,31,25,0,,,,
314,23/06/2020,3,2,0,,,,
315,23/06/2020,304,173,0,,,,
316,23/06/2020,54,42,0,,,,
317,23/06/2020,82,69,0,,,,
318,23/06/2020,121,103,0,,,,
319,23/06/2020,9,2,0,,,,
320,23/06/2020,90,71,0,,,,
321,23/06/2020,226,122,1,,,,
322,23/06/2020,195,85,2,,,,
323,23/06/2020,3,0,0,,,,
324,23/06/2020,21,17,0,,,,
325,23/06/2020,49,25,0,,,,
326,23/06/2020,1,1,0,,,,
298,24/06/2020,44,41,0,,,,
299,24/06/2020,225,133,0,,,,
300,24/06/2020,111,72,0,,,,
301,24/06/2020,0,0,0,,,,
302,24/06/2020,45,38,0,,,,
303,24/06/2020,0,0,0,,,,
304,24/06/2020,172,170,0,,,,
305,24/06/2020,2,2,0,,,,
306,24/06/2020,8,6,0,,,,
307,24/06/2020,109,60,1,,,,
308,24/06/2020,26,16,0,,,,
309,24/06/2020,3,3,0,,,,
310,24/06/2020,220,107,0,,,,
311,24/06/2020,122,82,0,,,,
312,24/06/2020,0,0,0,,,,
313,24/06/2020,45,29,0,,,,
314,24/06/2020,3,2,0,,,,
315,24/06/2020,306,201,0,,,,
316,24/06/2020,56,49,0,,,,
317,24/06/2020,82,73,0,,,,
318,24/06/2020,121,104,0,,,,
319,24/06/2020,9,2,0,,,,
320,24/06/2020,94,72,0,,,,
321,24/06/2020,236,127,1,,,,
322,24/06/2020,209,88,2,,,,
323,24/06/2020,3,0,0,,,,
324,24/06/2020,21,18,,,,,
325,24/06/2020,49,25,0,,,,
326,24/06/2020,1,1,0,,,,
298,25/06/2020,44,41,0,,,,
299,25/06/2020,225,172,0,,,,
300,25/06/2020,114,72,0,,,,
301,25/06/2020,7,4,0,,,,
302,25/06/2020,46,41,0,,,,
303,25/06/2020,1,0,0,,,,
304,25/06/2020,172,170,0,,,,
305,25/06/2020,3,2,0,,,,
306,25/06/2020,8,7,1,,,,
307,25/06/2020,109,63,1,,,,
308,25/06/2020,29,20,0,,,,
309,25/06/2020,3,3,0,,,,
310,25/06/2020,221,121,0,,,,
311,25/06/2020,125,82,0,,,,
312,25/06/2020,92,86,0,,,,
313,25/06/2020,45,25,0,,,,
314,25/06/2020,3,2,0,,,,
315,25/06/2020,306,234,0,,,,
316,25/06/2020,56,49,0,,,,
317,25/06/2020,82,74,0,,,,
318,25/06/2020,121,104,0,,,,
319,25/06/2020,9,2,0,,,,
320,25/06/2020,98,73,0,,,,
321,25/06/2020,245,150,1,,,,
322,25/06/2020,213,123,2,,,,
323,25/06/2020,5,0,0,,,,
324,25/06/2020,24,18,0,,,,
325,25/06/2020,49,25,0,,,,
326,25/06/2020,1,1,0,,,,
298,26/06/2020,44,42,0,,,,
299,26/06/2020,229,200,0,,,,
300,26/06/2020,118,94,0,,,,
301,26/06/2020,7,4,0,,,,
302,26/06/2020,46,41,0,,,,
303,26/06/2020,1,1,0,,,,
304,26/06/2020,172,170,0,,,,
305,26/06/2020,3,2,0,,,,
306,26/06/2020,8,7,0,,,,
307,26/06/2020,123,78,1,,,,
308,26/06/2020,29,20,0,,,,
309,26/06/2020,3,3,0,,,,
310,26/06/2020,221,148,0,,,,
311,26/06/2020,164,87,0,,,,
312,26/06/2020,95,86,0,,,,
313,26/06/2020,45,26,0,,,,
314,26/06/2020,3,2,0,,,,
315,26/06/2020,306,247,0,,,,
316,26/06/2020,56,51,0,,,,
317,26/06/2020,82,74,0,,,,
318,26/06/2020,121,104,0,,,,
319,26/06/2020,9,2,0,,,,
320,26/06/2020,103,73,0,,,,
321,26/06/2020,259,164,1,,,,
322,26/06/2020,218,99,2,,,,
323,26/06/2020,5,0,0,,,,
324,26/06/2020,24,18,0,,,,
325,26/06/2020,50,42,0,,,,
326,26/06/2020,1,1,0,,,,
298,27/06/2020,44,42,0,,,,
299,27/06/2020,232,200,0,,,,
300,27/06/2020,128,97,0,,,,
301,27/06/2020,7,4,0,,,,
