DISTRICTCODE,Date,TINF,TREC,TDEC,
361,04/05/2020,14,17,2,
362,04/05/2020,3,2,0,
363,04/05/2020,1,1,0,
364,04/05/2020,73,41,1,
365,04/05/2020,5,1,0,
366,04/05/2020,73,44,0,
367,04/05/2020,4,3,0,
368,04/05/2020,53,0,0,
369,04/05/2020,8,2,0,
370,04/05/2020,2,2,0,
371,04/05/2020,6,5,1,
372,04/05/2020,2,2,0,
373,04/05/2020,0,0,0,
374,04/05/2020,59,53,0,
375,04/05/2020,36,32,0,
376,04/05/2020,18,17,0,
377,04/05/2020,27,5,0,
378,04/05/2020,0,0,0,
379,04/05/2020,4,2,1,
380,04/05/2020,6,4,0,
381,04/05/2020,49,6,0,
382,04/05/2020,6,3,0,
361,10/05/2020,41,11,2,
362,10/05/2020,3,3,0,
363,10/05/2020,5,1,0,
364,10/05/2020,95,55,3,
365,10/05/2020,7,1,0,
366,10/05/2020,142,51,0,
367,10/05/2020,4,3,0,
368,10/05/2020,74,10,0,
369,10/05/2020,17,2,0,
370,10/05/2020,2,2,0,
371,10/05/2020,14,5,1,
372,10/05/2020,2,2,0,
373,10/05/2020,4,0,0,
374,10/05/2020,59,57,0,
375,10/05/2020,37,32,0,
376,10/05/2020,20,18,0,
377,10/05/2020,36,6,3,
378,10/05/2020,3,0,0,
379,10/05/2020,4,2,1,
380,10/05/2020,7,4,0,
381,10/05/2020,100,9,0,
382,10/05/2020,8,3,0,
361,11/05/2020,41,38,0,
362,11/05/2020,6,3,3,
363,11/05/2020,4,1,0,
364,11/05/2020,102,55,4,
365,11/05/2020,7,1,0,
366,11/05/2020,145,51,0,
367,11/05/2020,4,3,0,
368,11/05/2020,83,10,0,
369,11/05/2020,17,2,0,
370,11/05/2020,3,2,0,
371,11/05/2020,14,5,1,
372,11/05/2020,2,2,0,
373,11/05/2020,5,0,0,
374,11/05/2020,60,57,0,
375,11/05/2020,37,33,0,
376,11/05/2020,22,18,0,
377,11/05/2020,36,8,3,
378,11/05/2020,3,0,0,
