DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,
395,23-04-2020,10,0,1,,,,,,
396,23-04-2020,0,0,0,,,,,,
397,23-04-2020,1,0,0,,,,,,
398,23-04-2020,2,0,0,,,,,,
399,23-04-2020,0,0,0,,,,,,
400,23-04-2020,0,0,0,,,,,,
401,23-04-2020,1,0,0,,,,,,
402,23-04-2020,1,0,0,,,,,,
403,23-04-2020,0,0,0,,,,,,
404,23-04-2020,0,0,0,,,,,,
405,23-04-2020,3,2,0,,,,,,
406,23-04-2020,0,0,0,,,,,,
407,23-04-2020,0,0,0,,,,,,
408,23-04-2020,1,0,0,,,,,,
409,23-04-2020,0,0,0,,,,,,
410,23-04-2020,0,0,0,,,,,,
411,23-04-2020,0,0,0,,,,,,
412,23-04-2020,0,0,0,,,,,,
413,23-04-2020,0,0,0,,,,,,
414,23-04-2020,32,5,2,,,,,,
415,23-04-2020,0,0,0,,,,,,
416,23-04-2020,0,0,0,,,,,,
417,23-04-2020,2,1,0,,,,,,
418,23-04-2020,0,0,0,,,,,,
395,24-04-2020,10,0,1,,,,,,
396,24-04-2020,0,0,0,,,,,,
397,24-04-2020,2,0,0,,,,,,
398,24-04-2020,2,0,0,,,,,,
399,24-04-2020,0,0,0,,,,,,
400,24-04-2020,0,0,0,,,,,,
401,24-04-2020,1,0,0,,,,,,
402,24-04-2020,1,0,0,,,,,,
403,24-04-2020,0,0,0,,,,,,
404,24-04-2020,0,0,0,,,,,,
405,24-04-2020,3,2,0,,,,,,
406,24-04-2020,0,0,0,,,,,,
407,24-04-2020,0,0,0,,,,,,
408,24-04-2020,1,0,0,,,,,,
409,24-04-2020,0,0,0,,,,,,
410,24-04-2020,0,0,0,,,,,,
411,24-04-2020,0,0,0,,,,,,
412,24-04-2020,0,0,0,,,,,,
413,24-04-2020,0,0,0,,,,,,
414,24-04-2020,35,5,2,,,,,,
415,24-04-2020,0,0,0,,,,,,
416,24-04-2020,0,0,0,,,,,,
417,24-04-2020,2,1,0,,,,,,
418,24-04-2020,0,0,0,,,,,,
395,25-04-2020,10,4,1,,,,,,
396,25-04-2020,0,0,0,,,,,,
397,25-04-2020,2,0,0,,,,,,
398,25-04-2020,2,0,0,,,,,,
399,25-04-2020,0,0,0,,,,,,
400,25-04-2020,0,0,0,,,,,,
401,25-04-2020,1,0,0,,,,,,
402,25-04-2020,1,0,0,,,,,,
403,25-04-2020,0,0,0,,,,,,
404,25-04-2020,0,0,0,,,,,,
405,25-04-2020,3,2,0,,,,,,
406,25-04-2020,0,0,0,,,,,,
407,25-04-2020,0,0,0,,,,,,
408,25-04-2020,1,0,0,,,,,,
409,25-04-2020,0,0,0,,,,,,
410,25-04-2020,0,0,0,,,,,,
411,25-04-2020,0,0,0,,,,,,
412,25-04-2020,0,0,0,,,,,,
413,25-04-2020,0,0,0,,,,,,
414,25-04-2020,42,6,2,,,,,,
415,25-04-2020,0,0,0,,,,,,
416,25-04-2020,0,0,0,,,,,,
417,25-04-2020,2,1,0,,,,,,
418,25-04-2020,0,0,0,,,,,,
395,26-04-2020,10,4,1,,,,,,
396,26-04-2020,0,0,0,,,,,,
397,26-04-2020,2,0,0,,,,,,
398,26-04-2020,2,0,0,,,,,,
399,26-04-2020,0,0,0,,,,,,
400,26-04-2020,0,0,0,,,,,,
401,26-04-2020,1,0,0,,,,,,
402,26-04-2020,1,0,0,,,,,,
403,26-04-2020,0,0,0,,,,,,
404,26-04-2020,0,0,0,,,,,,
405,26-04-2020,3,2,0,,,,,,
406,26-04-2020,0,0,0,,,,,,
407,26-04-2020,0,0,0,,,,,,
408,26-04-2020,1,0,0,,,,,,
409,26-04-2020,0,0,0,,,,,,
410,26-04-2020,0,0,0,,,,,,
411,26-04-2020,0,0,0,,,,,,
412,26-04-2020,3,0,0,,,,,,
413,26-04-2020,0,0,0,,,,,,
414,26-04-2020,42,6,2,,,,,,
415,26-04-2020,0,0,0,,,,,,
416,26-04-2020,0,0,0,,,,,,
417,26-04-2020,2,1,0,,,,,,
418,26-04-2020,0,0,0,,,,,,
395,27-04-2020,10,4,1,,,,,,
396,27-04-2020,0,0,0,,,,,,
397,27-04-2020,2,0,0,,,,,,
398,27-04-2020,2,0,0,,,,,,
399,27-04-2020,0,0,0,,,,,,
400,27-04-2020,0,0,0,,,,,,
401,27-04-2020,3,0,0,,,,,,
402,27-04-2020,1,0,0,,,,,,
403,27-04-2020,0,0,0,,,,,,
404,27-04-2020,0,0,0,,,,,,
405,27-04-2020,3,2,0,,,,,,
406,27-04-2020,1,0,0,,,,,,
407,27-04-2020,0,0,0,,,,,,
408,27-04-2020,1,0,0,,,,,,
409,27-04-2020,0,0,0,,,,,,
410,27-04-2020,0,0,0,,,,,,
411,27-04-2020,0,0,0,,,,,,
412,27-04-2020,3,0,0,,,,,,
413,27-04-2020,0,0,0,,,,,,
414,27-04-2020,75,10,2,,,,,,
415,27-04-2020,0,0,0,,,,,,
416,27-04-2020,0,0,0,,,,,,
417,27-04-2020,2,1,0,,,,,,
418,27-04-2020,0,0,0,,,,,,
395,28-04-2020,10,4,1,,,,,,
396,28-04-2020,0,0,0,,,,,,
397,28-04-2020,2,0,0,,,,,,
398,28-04-2020,2,2,0,,,,,,
399,28-04-2020,0,0,0,,,,,,
400,28-04-2020,0,0,0,,,,,,
401,28-04-2020,3,0,0,,,,,,
402,28-04-2020,1,0,0,,,,,,
403,28-04-2020,0,0,0,,,,,,
404,28-04-2020,0,0,0,,,,,,
405,28-04-2020,3,2,0,,,,,,
406,28-04-2020,1,0,0,,,,,,
407,28-04-2020,0,0,0,,,,,,
408,28-04-2020,1,0,0,,,,,,
409,28-04-2020,0,0,0,,,,,,
410,28-04-2020,0,0,0,,,,,,
411,28-04-2020,0,0,0,,,,,,
412,28-04-2020,3,0,0,,,,,,
413,28-04-2020,0,0,0,,,,,,
414,28-04-2020,77,10,2,,,,,,
415,28-04-2020,0,0,0,,,,,,
416,28-04-2020,0,0,0,,,,,,
417,28-04-2020,2,1,0,,,,,,
418,28-04-2020,0,0,0,,,,,,
395,29-04-2020,10,4,1,,,,,,
396,29-04-2020,0,0,0,,,,,,
397,29-04-2020,2,0,0,,,,,,
398,29-04-2020,2,2,0,,,,,,
399,29-04-2020,0,0,0,,,,,,
400,29-04-2020,0,0,0,,,,,,
401,29-04-2020,3,0,0,,,,,,
402,29-04-2020,1,0,0,,,,,,
403,29-04-2020,0,0,0,,,,,,
404,29-04-2020,0,0,0,,,,,,
405,29-04-2020,3,2,0,,,,,,
406,29-04-2020,2,0,0,,,,,,
407,29-04-2020,0,0,0,,,,,,
408,29-04-2020,1,0,0,,,,,,
409,29-04-2020,0,0,0,,,,,,
410,29-04-2020,0,0,0,,,,,,
411,29-04-2020,0,0,0,,,,,,
412,29-04-2020,3,0,0,,,,,,
413,29-04-2020,0,0,0,,,,,,
414,29-04-2020,78,10,2,,,,,,
415,29-04-2020,0,0,0,,,,,,
416,29-04-2020,0,0,0,,,,,,
417,29-04-2020,2,1,0,,,,,,
418,29-04-2020,0,0,0,,,,,,
395,30-04-2020,10,5,1,,,,,,
396,30-04-2020,0,0,0,,,,,,
397,30-04-2020,2,0,0,,,,,,
398,30-04-2020,2,2,0,,,,,,
399,30-04-2020,0,0,0,,,,,,
400,30-04-2020,0,0,0,,,,,,
401,30-04-2020,3,0,0,,,,,,
402,30-04-2020,1,0,0,,,,,,
403,30-04-2020,0,0,0,,,,,,
404,30-04-2020,0,0,0,,,,,,
405,30-04-2020,3,2,0,,,,,,
406,30-04-2020,2,0,0,,,,,,
407,30-04-2020,0,0,0,,,,,,
408,30-04-2020,1,0,0,,,,,,
409,30-04-2020,0,0,0,,,,,,
410,30-04-2020,0,0,0,,,,,,
411,30-04-2020,0,0,0,,,,,,
412,30-04-2020,3,0,0,,,,,,
413,30-04-2020,0,0,0,,,,,,
414,30-04-2020,81,10,2,,,,,,
415,30-04-2020,0,0,0,,,,,,
416,30-04-2020,0,0,0,,,,,,
417,30-04-2020,2,1,0,,,,,,
418,30-04-2020,0,0,0,,,,,,
395,01-05-2020,10,6,1,,,,,,
396,01-05-2020,0,0,0,,,,,,
397,01-05-2020,2,0,0,,,,,,
398,01-05-2020,2,2,0,,,,,,
399,01-05-2020,0,0,0,,,,,,
400,01-05-2020,0,0,0,,,,,,
401,01-05-2020,3,0,0,,,,,,
402,01-05-2020,1,0,0,,,,,,
403,01-05-2020,1,0,0,,,,,,
404,01-05-2020,0,0,0,,,,,,
405,01-05-2020,3,2,0,,,,,,
406,01-05-2020,2,0,0,,,,,,
407,01-05-2020,0,0,0,,,,,,
408,01-05-2020,1,0,0,,,,,,
409,01-05-2020,0,0,0,,,,,,
410,01-05-2020,0,0,0,,,,,,
411,01-05-2020,0,0,0,,,,,,
412,01-05-2020,3,0,0,,,,,,
413,01-05-2020,0,0,0,,,,,,
