DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,,,
99,02/02/2020,1,0,0,,,,,,,,
99,16/02/2020,1,1,0,,,,,,,,
99,24/03/2020,2,1,0,,,,,,,,
99,04/04/2020,3,1,0,,,,,,,,
99,07/04/2020,3,2,0,,,,,,,,
99,08/04/2020,5,2,0,,,,,,,,
99,17/04/2020,5,3,0,,,,,,,,
99,20/04/2020,5,5,0,,,,,,,,
99,15/05/2020,7,5,0,,,,,,,,
99,18/05/2020,9,5,0,,,,,,,,
99,19/05/2020,10,5,0,,,,,,,,
99,20/05/2020,11,5,0,,,,,,,,
99,21/05/2020,13,5,0,,,,,,,,
99,23/05/2020,18,5,0,,,,,,,,
99,24/05/2020,22,5,0,,,,,,,,
99,25/05/2020,25,5,0,,,,,,,,
99,26/05/2020,28,6,0,,,,,,,,
99,27/05/2020,35,7,0,,,,,,,,
99,28/05/2020,36,7,0,,,,,,,,
99,29/05/2020,39,7,0,,,,,,,,
99,30/05/2020,41,7,1,,,,,,,,
99,31/05/2020,47,7,1,,,,,,,,
99,01/06/2020,49,7,1,,,,,,,,
99,02/06/2020,59,7,1,,,,,,,,
99,03/06/2020,66,8,1,,,,,,,,
99,04/06/2020,74,8,1,,,,,,,,
99,05/06/2020,79,12,1,,,,,,,,
99,06/06/2020,83,12,1,,,,,,,,
99,07/06/2020,90,15,1,,,,,,,,
99,08/06/2020,95,15,1,,,,,,,,
99,09/06/2020,106,17,1,,,,,,,,
99,10/06/2020,107,24,1,,,,,,,,
99,12/06/2020,120,24,1,,,,,,,,
99,13/06/2020,129,24,1,,,,,,,,
99,14/06/2020,129,26,1,,,,,,,,
99,15/06/2020,134,26,1,,,,,,,,
99,16/06/2020,141,31,1,,,,,,,,
99,17/06/2020,142,47,1,,,,,,,,
99,18/06/2020,151,57,1,,,,,,,,
99,19/06/2020,164,61,1,,,,,,,,
99,20/06/2020,168,73,1,,,,,,,,
99,21/06/2020,178,83,1,,,,,,,,
99,22/06/2020,190,84,1,,,,,,,,
99,23/06/2020,209,84,1,,,,,,,,
99,24/06/2020,224,97,1,,,,,,,,
99,25/06/2020,242,100,1,,,,,,,,
99,26/06/2020,263,100,1,,,,,,,,
99,27/06/2020,276,106,1,,,,,,,,
99,28/06/2020,286,111,1,,,,,,,,
99,29/06/2020,291,120,1,,,,,,,,
99,30/06/2020,300,120,1,,,,,,,,
99,01/07/2020,308,129,1,,,,,,,,
99,02/07/2020,324,137,1,,,,,,,,
99,03/07/2020,345,139,1,,,,,,,,
99,04/07/2020,365,175,1,,,,,,,,
99,05/07/2020,378,177,1,,,,,,,,
99,06/07/2020,393,184,1,,,,,,,,
99,07/07/2020,411,188,1,,,,,,,,
99,08/07/2020,429,204,1,,,,,,,,
99,09/07/2020,451,212,1,,,,,,,,
99,10/07/2020,501,236,1,,,,,,,,
