DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,
114,27/05/2020,87,47,6,,,,,,
115,27/05/2020,487,200,23,,,,,,
116,27/05/2020,194,90,14,,,,,,
117,27/05/2020,1335,793,57,,,,,,
118,27/05/2020,40,3,0,,,,,,
119,27/05/2020,19,1,0,,,,,,
120,27/05/2020,53,28,3,,,,,,
121,27/05/2020,25,5,0,,,,,,
122,27/05/2020,129,63,9,,,,,,
123,27/05/2020,26,0,0,,,,,,
124,27/05/2020,48,1,0,,,,,,
125,27/05/2020,133,92,0,,,,,,
126,27/05/2020,505,218,51,,,,,,
127,27/05/2020,79,23,0,,,,,,
128,27/05/2020,346,18,1,,,,,,
129,27/05/2020,94,42,3,,,,,,
130,27/05/2020,34018,8408,1097,,,,,,
131,27/05/2020,484,334,9,,,,,,
132,27/05/2020,105,69,5,,,,,,
133,27/05/2020,32,20,3,,,,,,
134,27/05/2020,1012,750,52,,,,,,
135,27/05/2020,45,9,0,,,,,,
136,27/05/2020,771,271,19,,,,,,
137,27/05/2020,25,1,1,,,,,,
138,27/05/2020,6614,3086,291,,,,,,
139,27/05/2020,896,488,25,,,,,,
140,27/05/2020,192,69,5,,,,,,
141,27/05/2020,94,46,1,,,,,,
142,27/05/2020,395,128,7,,,,,,
143,27/05/2020,19,7,0,,,,,,
144,27/05/2020,679,287,52,,,,,,
145,27/05/2020,7781,2224,149,,,,,,
146,27/05/2020,10,0,1,,,,,,
147,27/05/2020,8,5,0,,,,,,
148,27/05/2020,115,92,0,,,,,,
149,27/05/2020,53,0,13,,,,,,
114,29-05-2020,96,52,6,,,,,,
115,29-05-2020,537,275,28,,,,,,
116,29-05-2020,202,117,16,,,,,,
117,29-05-2020,1410,959,65,,,,,,
118,29-05-2020,46,5,0,,,,,,
119,29-05-2020,25,1,0,,,,,,
120,29-05-2020,56,29,3,,,,,,
121,29-05-2020,25,9,0,,,,,,
122,29-05-2020,135,70,16,,,,,,
123,29-05-2020,31,5,0,,,,,,
124,29-05-2020,58,3,0,,,,,,
125,29-05-2020,143,97,0,,,,,,
126,29-05-2020,555,263,69,,,,,,
127,29-05-2020,117,32,0,,,,,,
128,29-05-2020,379,87,4,,,,,,
129,29-05-2020,108,52,3,,,,,,
130,29-05-2020,36932,16008,1173,,,,,,
131,29-05-2020,511,342,9,,,,,,
132,29-05-2020,108,82,6,,,,,,
133,29-05-2020,33,20,3,,,,,,
134,29-05-2020,1070,818,60,,,,,,
135,29-05-2020,64,13,0,,,,,,
136,29-05-2020,913,280,23,,,,,,
137,29-05-2020,42,1,1,,,,,,
138,29-05-2020,7223,3425,314,,,,,,
139,29-05-2020,999,518,29,,,,,,
140,29-05-2020,216,88,5,,,,,,
141,29-05-2020,104,53,1,,,,,,
142,29-05-2020,459,145,16,,,,,,
143,29-05-2020,21,7,0,,,,,,
144,29-05-2020,769,314,62,,,,,,
145,29-05-2020,8638,2729,172,,,,,,
146,29-05-2020,11,0,1,,,,,,
147,29-05-2020,8,6,0,,,,,,
148,29-05-2020,128,92,0,,,,,,
149,29-05-2020,56,0,13,,,,,,
114,30-05-2020,108,57,6,,,,,,
115,30-05-2020,571,289,28,,,,,,
116,30-05-2020,213,121,16,,,,,,
117,30-05-2020,1462,986,65,,,,,,
118,30-05-2020,46,5,0,,,,,,
119,30-05-2020,29,1,0,,,,,,
120,30-05-2020,58,29,3,,,,,,
121,30-05-2020,25,15,0,,,,,,
122,30-05-2020,140,71,16,,,,,,
123,30-05-2020,32,8,0,,,,,,
124,30-05-2020,61,28,0,,,,,,
125,30-05-2020,149,97,0,,,,,,
126,30-05-2020,607,272,72,,,,,,
127,30-05-2020,119,45,0,,,,,,
128,30-05-2020,429,104,4,,,,,,
129,30-05-2020,118,55,3,,,,,,
130,30-05-2020,38442,16364,1227,,,,,,
131,30-05-2020,556,353,10,,,,,,
132,30-05-2020,108,86,6,,,,,,
133,30-05-2020,34,20,3,,,,,,
134,30-05-2020,1111,893,60,,,,,,
135,30-05-2020,66,18,0,,,,,,
136,30-05-2020,968,329,30,,,,,,
137,30-05-2020,57,3,1,,,,,,
138,30-05-2020,7537,3559,320,,,,,,
139,30-05-2020,1042,549,39,,,,,,
140,30-05-2020,242,90,5,,,,,,
141,30-05-2020,112,55,1,,,,,,
142,30-05-2020,490,148,16,,,,,,
143,30-05-2020,33,7,0,,,,,,
144,30-05-2020,872,353,68,,,,,,
145,30-05-2020,9123,2973,182,,,,,,
146,30-05-2020,11,0,1,,,,,,
147,30-05-2020,8,6,0,,,,,,
148,30-05-2020,130,92,0,,,,,,
149,30-05-2020,59,0,15,,,,,,
114,31-05-2020,120,57,6,,,,,,
115,31-05-2020,584,319,28,,,,,,
116,31-05-2020,226,124,16,,,,,,
117,31-05-2020,1501,986,65,,,,,,
118,31-05-2020,47,13,0,,,,,,
119,31-05-2020,32,9,0,,,,,,
120,31-05-2020,62,33,3,,,,,,
121,31-05-2020,25,15,0,,,,,,
122,31-05-2020,140,86,16,,,,,,
123,31-05-2020,35,8,0,,,,,,
124,31-05-2020,66,32,0,,,,,,
125,31-05-2020,149,98,0,,,,,,
126,31-05-2020,616,277,72,,,,,,
127,31-05-2020,125,54,0,,,,,,
128,31-05-2020,457,150,4,,,,,,
129,31-05-2020,125,60,3,,,,,,
130,31-05-2020,39686,16791,1279,,,,,,
131,31-05-2020,574,358,10,,,,,,
132,31-05-2020,111,86,6,,,,,,
133,31-05-2020,35,20,3,,,,,,
134,31-05-2020,1135,893,66,,,,,,
135,31-05-2020,73,19,1,,,,,,
136,31-05-2020,1018,378,30,,,,,,
137,31-05-2020,63,3,1,,,,,,
138,31-05-2020,7919,3699,329,,,,,,
139,31-05-2020,1108,573,39,,,,,,
140,31-05-2020,264,98,5,,,,,,
141,31-05-2020,112,58,1,,,,,,
142,31-05-2020,523,148,16,,,,,,
143,31-05-2020,33,8,0,,,,,,
144,31-05-2020,897,371,70,,,,,,
145,31-05-2020,9585,3400,200,,,,,,
146,31-05-2020,12,0,1,,,,,,
147,31-05-2020,8,6,0,,,,,,
148,31-05-2020,130,99,1,,,,,,
149,31-05-2020,59,0,15,,,,,,
114,01/06/2020,120,57,6,,,,,,
115,01/06/2020,603,326,28,,,,,,
116,01/06/2020,232,124,16,,,,,,
117,01/06/2020,1543,1012,68,,,,,,
118,01/06/2020,47,26,1,,,,,,
119,01/06/2020,32,9,0,,,,,,
120,01/06/2020,63,33,3,,,,,,
121,01/06/2020,26,17,0,,,,,,
122,01/06/2020,145,88,16,,,,,,
123,01/06/2020,36,10,0,,,,,,
124,01/06/2020,66,38,0,,,,,,
125,01/06/2020,190,106,0,,,,,,
126,01/06/2020,696,298,72,,,,,,
127,01/06/2020,129,57,1,,,,,,
128,01/06/2020,509,150,4,,,,,,
