DISTRICTCODE,DATE,TINF,TREC,TDEC,,
474,14/05/2020,,,,,
475,14/05/2020,,,,,
476,14/05/2020,,,,,
477,14/05/2020,1,,,,
478,14/05/2020,,,,,
479,14/05/2020,,,,,
480,14/05/2020,,,,,
481,14/05/2020,,,,,
482,14/05/2020,,,,,
483,14/05/2020,,,,,
484,14/05/2020,,,,,
485,14/05/2020,,,,,
486,14/05/2020,,,,,
487,14/05/2020,,,,,
488,14/05/2020,,,,,
489,14/05/2020,,,,,
474,16/05/2020,,,,,
475,16/05/2020,,,,,
476,16/05/2020,1,,,,
477,16/05/2020,,,,,
478,16/05/2020,,,,,
479,16/05/2020,,,,,
480,16/05/2020,,,,,
481,16/05/2020,,,,,
482,16/05/2020,,,,,
483,16/05/2020,,,,,
484,16/05/2020,,,,,
485,16/05/2020,,,,,
486,16/05/2020,,,,,
487,16/05/2020,,,,,
488,16/05/2020,,,,,
489,16/05/2020,,,,,
474,17/05/2020,,,,,
475,17/05/2020,,,,,
476,17/05/2020,,,,,
477,17/05/2020,,,,,
478,17/05/2020,,,,,
479,17/05/2020,,,,,
480,17/05/2020,,,,,
481,17/05/2020,,,,,
482,17/05/2020,,,,,
483,17/05/2020,,,,,
484,17/05/2020,,,,,
485,17/05/2020,,,,,
486,17/05/2020,,,,,
487,17/05/2020,,,,,
488,17/05/2020,,,,,
489,17/05/2020,,,,,
474,28/05/2020,,,,,
475,28/05/2020,,,,,
476,28/05/2020,,,,,
477,28/05/2020,,,,,
478,28/05/2020,,,,,
479,28/05/2020,,,,,
480,28/05/2020,,,,,
481,28/05/2020,,,,,
482,28/05/2020,,,,,
483,28/05/2020,,,,,
484,28/05/2020,,,,,
485,28/05/2020,,,,,
486,28/05/2020,,,,,
487,28/05/2020,,,,,
488,28/05/2020,,,,,
489,28/05/2020,,,,,
474,29/05/2020,,,,,
475,29/05/2020,,,,,
476,29/05/2020,,,,,
477,29/05/2020,,,,,
478,29/05/2020,3,,,,
479,29/05/2020,,,,,
480,29/05/2020,,,,,
481,29/05/2020,,,,,
482,29/05/2020,,,,,
483,29/05/2020,,,,,
484,29/05/2020,,,,,
485,29/05/2020,,,,,
486,29/05/2020,,,,,
487,29/05/2020,,,,,
488,29/05/2020,,,,,
489,29/05/2020,,,,,
474,30/05/2020,,,,,
475,30/05/2020,1,,,,
476,30/05/2020,3,,,,
477,30/05/2020,,,,,
478,30/05/2020,,,,,
479,30/05/2020,,,,,
480,30/05/2020,,,,,
481,30/05/2020,,,,,
482,30/05/2020,,,,,
483,30/05/2020,,,,,
484,30/05/2020,,,,,
485,30/05/2020,,,,,
486,30/05/2020,,,,,
487,30/05/2020,,,,,
488,30/05/2020,,,,,
489,30/05/2020,,,,,
474,31/05/2020,,,,,
475,31/05/2020,,,,,
476,31/05/2020,,,,,
477,31/05/2020,1,,,,
478,31/05/2020,,,,,
479,31/05/2020,,,,,
480,31/05/2020,,,,,
481,31/05/2020,,,,,
482,31/05/2020,1,,,,
483,31/05/2020,,,,,
