DISTRICTCODE,Date,TINF,TREC,TDEC,,,,
546,09/09/2020,4885,4400,,,,546,Ajmer
547,09/09/2020,8579,7899,,,,547,Alwar
548,09/09/2020,4981,4640,,,,548,Bikaner
549,09/09/2020,890,590,,,,549,Barmer
550,09/09/2020,767,550,,,,550,Banswara
551,09/09/2020,3838,3630,,,,551,Bharatpur
552,09/09/2020,890,590,,,,552,Baran
553,09/09/2020,847,430,,,,553,Bundi
554,09/09/2020,2405,2020,,,,554,Bhilwara
555,09/09/2020,1141,930,,,,555,Churu
556,09/09/2020,1125,880,,,,556,Chittorgarh
557,09/09/2020,661,563,,,,557,Dausa
558,09/09/2020,2430,2160,,,,558,Dholpur
559,09/09/2020,1199,990,,,,559,Dungarpur
560,09/09/2020,779,570,,,,560,Ganganagar
561,09/09/2020,488,390,,,,561,Hanumangarh
562,09/09/2020,1159,1057,,,,562,Jhunjhunu
563,09/09/2020,1420,1326,,,,563,Jalore
564,09/09/2020,13779,11963,,,,564,Jodhpur
565,09/09/2020,13462,8400,,,,565,Jaipur
566,09/09/2020,510,350,,,,566,Jaisalmer
567,09/09/2020,1986,1599,,,,567,Jhalawar
568,09/09/2020,666,542,,,,568,Karauli
569,09/09/2020,6800,4010,,,,569,Kota
570,09/09/2020,2638,2350,,,,570,Nagaur
571,09/09/2020,4400,4231,,,,571,Pali
572,09/09/2020,556,333,,,,572,Pratapgarh
573,09/09/2020,1359,1155,,,,573,Rajsamand
574,09/09/2020,2891,2630,,,,574,Sikar
575,09/09/2020,633,465,,,,575,Sawai Madhopur
576,09/09/2020,1430,1289,,,,576,Sirohi
577,09/09/2020,783,630,,,,577,Tonk
578,09/09/2020,,,,,,578,Udaipur
730,09/09/2020,,,,,,,
546,19/09/2020,5860,5270,,,,,
547,19/09/2020,9580,9088,,,,,
548,19/09/2020,5538,5117,,,,,
549,19/09/2020,2567,2420,,,,,
550,19/09/2020,1019,821,,,,,
551,19/09/2020,4031,3799,,,,,
552,19/09/2020,1153,843,,,,,
553,19/09/2020,1099,744,,,,,
554,19/09/2020,2941,2530,,,,,
555,19/09/2020,1392,1188,,,,,
556,19/09/2020,1395,1199,,,,,
557,19/09/2020,767,643,,,,,
558,19/09/2020,2649,2411,,,,,
559,19/09/2020,1437,1189,,,,,
560,19/09/2020,1090,823,,,,,
561,19/09/2020,687,559,,,,,
562,19/09/2020,1347,1161,,,,,
563,19/09/2020,1639,1410,,,,,
564,19/09/2020,16485,13819,,,,,
565,19/09/2020,16873,10419,,,,,
566,19/09/2020,650,465,,,,,
567,19/09/2020,2220,1910,,,,,
568,19/09/2020,736,619,,,,,
569,19/09/2020,8292,5570,,,,,
570,19/09/2020,3082,2799,,,,,
571,19/09/2020,4838,4489,,,,,
572,19/09/2020,707,522,,,,,
573,19/09/2020,1566,1299,,,,,
574,19/09/2020,3459,3099,,,,,
575,19/09/2020,758,621,,,,,
576,19/09/2020,1646,1520,,,,,
577,19/09/2020,954,766,,,,,
578,19/09/2020,3309,2899,,,,,
730,19/09/2020,189,124,,,,,
546,20/09/2020,6009,5540,,,,,
547,20/09/2020,9751,9290,,,,,
548,20/09/2020,5632,5270,,,,,
549,20/09/2020,2582,2455,,,,,
550,20/09/2020,1054,869,,,,,
551,20/09/2020,4071,3850,,,,,
552,20/09/2020,1174,920,,,,,
553,20/09/2020,1130,810,,,,,
554,20/09/2020,3093,2680,,,,,
555,20/09/2020,1431,1260,,,,,
556,20/09/2020,1432,1299,,,,,
557,20/09/2020,798,679,,,,,
558,20/09/2020,2678,2500,,,,,
559,20/09/2020,1468,1220,,,,,
560,20/09/2020,1132,890,,,,,
561,20/09/2020,725,590,,,,,
562,20/09/2020,1383,1220,,,,,
563,20/09/2020,1654,1499,,,,,
564,20/09/2020,16996,14140,,,,,
565,20/09/2020,17455,10840,,,,,
566,20/09/2020,668,484,,,,,
567,20/09/2020,2241,2030,,,,,
568,20/09/2020,750,637,,,,,
569,20/09/2020,8428,5700,,,,,
570,20/09/2020,3143,2860,,,,,
571,20/09/2020,4989,4580,,,,,
572,20/09/2020,714,560,,,,,
573,20/09/2020,1586,1350,,,,,
574,20/09/2020,3543,3194,,,,,
575,20/09/2020,775,649,,,,,
576,20/09/2020,1673,1563,,,,,
577,20/09/2020,1007,780,,,,,
578,20/09/2020,3487,2989,,,,,
730,20/09/2020,189,124,,,,,
546,22/09/2020,6176,5724,,,,,
547,22/09/2020,9936,9515,,,,,
548,22/09/2020,5784,5371,,,,,
549,22/09/2020,2611,2510,,,,,
550,22/09/2020,1074,901,,,,,
551,22/09/2020,4152,3933,,,,,
552,22/09/2020,1193,996,,,,,
553,22/09/2020,1148,983,,,,,
554,22/09/2020,3274,2841,,,,,
555,22/09/2020,1505,1320,,,,,
