DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,
150,28-04-2020,6,2,0,,,,,,
151,28-04-2020,70,40,0,,,,,,
152,28-04-2020,673,195,0,,,,,,
153,28-04-2020,141,120,0,,,,,,
154,28-04-2020,26,18,0,,,,,,
155,28-04-2020,1,0,0,,,,,,
156,28-04-2020,80,62,0,,,,,,
157,28-04-2020,70,64,0,,,,,,
158,28-04-2020,9,3,0,,,,,,
159,28-04-2020,20,7,0,,,,,,
160,28-04-2020,16,6,0,,,,,,
161,28-04-2020,42,41,0,,,,,,
162,28-04-2020,0,0,0,,,,,,
163,28-04-2020,79,36,0,,,,,,
164,28-04-2020,44,28,0,,,,,,
165,28-04-2020,61,45,0,,,,,,
166,28-04-2020,9,9,0,,,,,,
167,28-04-2020,7,1,0,,,,,,
168,28-04-2020,1,0,0,,,,,,
169,28-04-2020,15,7,0,,,,,,
170,28-04-2020,39,32,0,,,,,,
171,28-04-2020,31,16,0,,,,,,
172,28-04-2020,12,10,0,,,,,,
173,28-04-2020,38,2,0,,,,,,
174,28-04-2020,55,24,0,,,,,,
175,28-04-2020,43,36,0,,,,,,
176,28-04-2020,18,17,0,,,,,,
177,28-04-2020,53,29,0,,,,,,
178,28-04-2020,15,10,0,,,,,,
179,28-04-2020,29,14,0,,,,,,
180,28-04-2020,51,25,0,,,,,,
181,28-04-2020,63,53,0,,,,,,
182,28-04-2020,112,83,0,,,,,,
183,28-04-2020,27,42,0,,,,,,
184,28-04-2020,22,13,0,,,,,,
185,28-04-2020,48,22,0,,,,,,
186,28-04-2020,32,16,0,,,,,,
187,28-04-2020,0,0,0,,,,,,
150,29-04-2020,6,4,0,,,,,,
151,29-04-2020,73,43,0,,,,,,
152,29-04-2020,768,210,0,,,,,,
153,29-04-2020,141,121,0,,,,,,
154,29-04-2020,26,18,0,,,,,,
155,29-04-2020,1,0,0,,,,,,
156,29-04-2020,80,66,0,,,,,,
157,29-04-2020,70,69,0,,,,,,
158,29-04-2020,9,3,0,,,,,,
159,29-04-2020,23,9,0,,,,,,
160,29-04-2020,16,10,0,,,,,,
161,29-04-2020,42,41,0,,,,,,
162,29-04-2020,0,40,0,,,,,,
163,29-04-2020,79,0,0,,,,,,
164,29-04-2020,44,31,0,,,,,,
165,29-04-2020,61,49,0,,,,,,
166,29-04-2020,9,9,0,,,,,,
167,29-04-2020,7,1,0,,,,,,
168,29-04-2020,1,0,0,,,,,,
169,29-04-2020,15,10,0,,,,,,
170,29-04-2020,39,33,0,,,,,,
171,29-04-2020,31,20,0,,,,,,
172,29-04-2020,12,10,0,,,,,,
173,29-04-2020,38,5,0,,,,,,
174,29-04-2020,55,33,0,,,,,,
175,29-04-2020,43,36,0,,,,,,
176,29-04-2020,18,17,0,,,,,,
177,29-04-2020,54,30,0,,,,,,
178,29-04-2020,15,10,0,,,,,,
179,29-04-2020,29,15,0,,,,,,
180,29-04-2020,51,25,0,,,,,,
181,29-04-2020,63,53,0,,,,,,
182,29-04-2020,112,91,0,,,,,,
183,29-04-2020,27,45,0,,,,,,
184,29-04-2020,22,14,0,,,,,,
185,29-04-2020,50,23,0,,,,,,
186,29-04-2020,32,16,0,,,,,,
187,29-04-2020,0,0,0,,,,,,
150,30-04-2020,7,4,0,,,,,,
151,30-04-2020,78,48,0,,,,,,
152,30-04-2020,906,214,0,,,,,,
153,30-04-2020,141,125,0,,,,,,
154,30-04-2020,27,21,0,,,,,,
155,30-04-2020,1,0,0,,,,,,
156,30-04-2020,80,71,0,,,,,,
157,30-04-2020,70,69,0,,,,,,
158,30-04-2020,9,3,0,,,,,,
159,30-04-2020,26,9,0,,,,,,
160,30-04-2020,16,10,0,,,,,,
161,30-04-2020,42,41,0,,,,,,
162,30-04-2020,0,0,0,,,,,,
163,30-04-2020,84,40,0,,,,,,
164,30-04-2020,44,35,0,,,,,,
165,30-04-2020,61,49,0,,,,,,
166,30-04-2020,9,9,0,,,,,,
167,30-04-2020,9,1,0,,,,,,
168,30-04-2020,1,0,0,,,,,,
169,30-04-2020,18,10,0,,,,,,
170,30-04-2020,40,33,0,,,,,,
