DISTRICTCODE,Date,TINF,TREC,TDEC,,,,,,
616,07/04/2020,0,0,0,,,,,,
617,07/04/2020,1,0,0,,,,,,
618,07/04/2020,0,0,0,,,,,,
619,07/04/2020,0,0,0,,,,,,
620,07/04/2020,0,0,0,,,,,,
621,07/04/2020,0,0,0,,,,,,
622,07/04/2020,0,0,0,,,,,,
623,07/04/2020,0,0,0,,,,,,
616,08/04/2020,0,0,0,,,,,,
617,08/04/2020,1,0,0,,,,,,
618,08/04/2020,0,0,0,,,,,,
619,08/04/2020,0,0,0,,,,,,
620,08/04/2020,0,0,0,,,,,,
621,08/04/2020,0,0,0,,,,,,
622,08/04/2020,0,0,0,,,,,,
623,08/04/2020,0,0,0,,,,,,
616,09/04/2020,0,0,0,,,,,,
617,09/04/2020,1,0,0,,,,,,
618,09/04/2020,0,0,0,,,,,,
619,09/04/2020,0,0,0,,,,,,
620,09/04/2020,0,0,0,,,,,,
621,09/04/2020,0,0,0,,,,,,
622,09/04/2020,0,0,0,,,,,,
623,09/04/2020,0,0,0,,,,,,
616,10/04/2020,0,0,0,,,,,,
617,10/04/2020,1,0,0,,,,,,
618,10/04/2020,0,0,0,,,,,,
619,10/04/2020,0,0,0,,,,,,
620,10/04/2020,0,0,0,,,,,,
621,10/04/2020,0,0,0,,,,,,
622,10/04/2020,0,0,0,,,,,,
623,10/04/2020,0,0,0,,,,,,
616,11/04/2020,0,0,0,,,,,,
617,11/04/2020,1,0,0,,,,,,
618,11/04/2020,0,0,0,,,,,,
619,11/04/2020,1,0,0,,,,,,
620,11/04/2020,0,0,0,,,,,,
621,11/04/2020,0,0,0,,,,,,
622,11/04/2020,0,0,0,,,,,,
623,11/04/2020,0,0,0,,,,,,
616,12/04/2020,0,0,0,,,,,,
617,12/04/2020,1,0,0,,,,,,
618,12/04/2020,0,0,0,,,,,,
619,12/04/2020,1,0,0,,,,,,
620,12/04/2020,0,0,0,,,,,,
621,12/04/2020,0,0,0,,,,,,
622,12/04/2020,0,0,0,,,,,,
623,12/04/2020,0,0,0,,,,,,
616,13/04/2020,0,0,0,,,,,,
617,13/04/2020,1,0,0,,,,,,
618,13/04/2020,0,0,0,,,,,,
619,13/04/2020,1,0,0,,,,,,
620,13/04/2020,0,0,0,,,,,,
621,13/04/2020,0,0,0,,,,,,
622,13/04/2020,0,0,0,,,,,,
623,13/04/2020,0,0,0,,,,,,
616,14/04/2020,0,0,0,,,,,,
617,14/04/2020,1,0,0,,,,,,
618,14/04/2020,0,0,0,,,,,,
619,14/04/2020,1,0,0,,,,,,
620,14/04/2020,0,0,0,,,,,,
621,14/04/2020,0,0,0,,,,,,
622,14/04/2020,0,0,0,,,,,,
623,14/04/2020,0,0,0,,,,,,
616,15/04/2020,0,0,0,,,,,,
617,15/04/2020,1,1,0,,,,,,
618,15/04/2020,0,0,0,,,,,,
619,15/04/2020,1,0,0,,,,,,
620,15/04/2020,0,0,0,,,,,,
621,15/04/2020,0,0,0,,,,,,
622,15/04/2020,0,0,0,,,,,,
623,15/04/2020,0,0,0,,,,,,
616,16/04/2020,0,0,0,,,,,,
617,16/04/2020,1,1,0,,,,,,
618,16/04/2020,0,0,0,,,,,,
619,16/04/2020,1,0,0,,,,,,
620,16/04/2020,0,0,0,,,,,,
621,16/04/2020,0,0,0,,,,,,
622,16/04/2020,0,0,0,,,,,,
623,16/04/2020,0,0,0,,,,,,
616,17/04/2020,0,0,0,,,,,,
617,17/04/2020,1,1,0,,,,,,
618,17/04/2020,0,0,0,,,,,,
619,17/04/2020,1,0,0,,,,,,
620,17/04/2020,0,0,0,,,,,,
621,17/04/2020,0,0,0,,,,,,
622,17/04/2020,0,0,0,,,,,,
623,17/04/2020,0,0,0,,,,,,
616,18/04/2020,0,0,0,,,,,,
617,18/04/2020,1,1,0,,,,,,
618,18/04/2020,0,0,0,,,,,,
619,18/04/2020,1,0,0,,,,,,
620,18/04/2020,0,0,0,,,,,,
621,18/04/2020,0,0,0,,,,,,
622,18/04/2020,0,0,0,,,,,,
623,18/04/2020,0,0,0,,,,,,
616,19/04/2020,0,0,0,,,,,,
617,19/04/2020,1,1,0,,,,,,
618,19/04/2020,0,0,0,,,,,,
619,19/04/2020,1,0,0,,,,,,
620,19/04/2020,0,0,0,,,,,,
621,19/04/2020,0,0,0,,,,,,
622,19/04/2020,0,0,0,,,,,,
623,19/04/2020,0,0,0,,,,,,
616,20/04/2020,0,0,0,,,,,,
617,20/04/2020,1,1,0,,,,,,
618,20/04/2020,0,0,0,,,,,,
619,20/04/2020,1,0,0,,,,,,
620,20/04/2020,0,0,0,,,,,,
621,20/04/2020,0,0,0,,,,,,
622,20/04/2020,0,0,0,,,,,,
623,20/04/2020,0,0,0,,,,,,
616,21/04/2020,0,0,0,,,,,,
