Bagalakote,0,41315,3,40936,10,0,369
Ballari,0,117774,4,115958,22,0,1792
Belagavi,1,101938,0,100925,5,0,1006
Bengaluru Rural,1,80733,0,79712,107,0,914
Bengaluru urban,22,1885595,304,1867942,656,0,16996
Bidar,0,30116,4,29689,3,0,420
Chamarajanagara,0,44460,3,43910,11,0,528
Chikkaballapura,0,56257,0,55792,2,0,462
Chikkamagaluru,4,58282,2,57870,5,0,407
Chitradurga,1,46714,2,46469,3,0,242
Dakshina Kannada ,1,137307,3,135431,11,0,1855
Davanagere,1,58493,1,57852,12,0,629
Dharwada,0,86528,2,85104,4,0,1413
Gadag,0,30718,0,30379,0,0,339
Hassana,0,146004,2,144668,25,0,1309
Haveri,0,27303,2,26621,6,0,676
Kalaburagi,1,77998,0,77089,14,0,895
Kodagu,0,50926,0,50570,1,0,354
Kolara,0,64381,0,63709,5,0,667
Koppala,0,41619,0,41072,2,0,545
Mandya,0,102522,0,101803,7,0,712
Mysuru,1,234443,5,231822,45,0,2576
Raichuru,1,46473,3,46095,8,0,370
Ramanagara,0,31349,0,30997,3,0,349
Shivamogga,2,85992,24,84777,64,0,1150
Tumakuru,1,160959,0,159717,17,0,1225
Udupi,2,96501,1,95945,6,0,550
Uttara Kannada,0,72259,7,71427,12,0,820
Vijayanagar,2,141,3,114,27,0,0
Vijayapura,0,41282,0,40758,1,0,523
Yadagiri,0,30028,0,29817,0,0,211
Others*,0,36,0,33,0,0,3
Total,41,4086446,375,4045003,1094,0,40307
