Bagalakote,14,41252,0,40857,26,0,369
Ballari,7,117639,0,115776,72,0,1789
Belagavi,14,101884,0,100840,36,0,1006
Bengaluru Rural,5,80475,5,79537,25,0,913
Bengaluru urban,71,1881429,30,1863359,1074,0,16995
Bidar,4,30096,0,29659,13,0,420
Chamarajanagara,2,44408,8,43860,9,0,528
Chikkaballapura,0,56219,0,55752,4,0,462
Chikkamagaluru,0,58194,19,57774,13,0,407
Chitradurga,0,46670,1,46416,12,0,242
Dakshina Kannada ,1,137256,1,135375,19,0,1852
Davanagere,13,58283,15,57611,43,0,629
Dharwada,1,86471,3,85042,10,0,1412
Gadag,0,30711,5,30370,2,0,339
Hassana,0,145930,0,144602,17,0,1309
Haveri,4,27274,0,26589,10,0,675
Kalaburagi,4,77862,9,76917,52,0,893
Kodagu,0,50922,0,50560,7,0,354
Kolara,1,64339,0,63666,6,0,667
Koppala,1,41603,0,41055,3,0,545
Mandya,2,102493,2,101775,6,0,712
Mysuru,10,234247,4,231627,45,0,2575
Raichuru,7,46390,0,45994,27,0,369
Ramanagara,0,31340,0,30989,2,0,349
Shivamogga,29,85522,0,84110,262,0,1149
Tumakuru,2,160891,2,159664,4,0,1223
Udupi,0,96479,0,95920,9,0,550
Uttara Kannada,3,72161,3,71329,13,0,819
Vijayanagar*,1,1,0,0,1,0,0
Vijayapura,1,41271,3,40741,8,0,522
Yadagiri,0,30028,0,29817,0,0,211
Others*,0,36,0,33,0,0,3
Total,197,4079776,110,4037616,1830,0,40288
