Bagalakote,0,40681,0,40313,1,0,367
Ballari,0,115515,1,113734,16,0,1763
Belagavi,0,100134,1,99123,8,0,1001
Bengaluru Rural,0,79277,0,78361,9,0,907
Bengaluru Urban,48,1781688,59,1763293,1434,0,16960
Bidar,1,29807,0,29382,1,0,420
Chamarajanagara,1,43618,1,43082,1,0,524
Chikkaballapura,0,55626,0,55164,1,0,460
Chikkamagaluru,0,57245,0,56837,2,0,406
Chitradurga,2,46344,4,46092,13,0,239
Dakshina Kannada ,1,135486,0,133629,7,0,1840
Davanagere,0,57534,0,56911,0,0,623
Dharwada,1,84070,0,82678,1,0,1384
Gadag,0,30583,0,30248,0,0,335
Hassana,0,143859,0,142550,0,0,1307
Haveri,0,26839,0,26170,0,0,669
Kalaburagi,0,76603,0,75714,9,0,880
Kodagu,0,49264,0,48911,0,0,352
Kolara,4,62999,0,62323,12,0,664
Koppala,0,41281,0,40743,0,0,538
Mandya,0,101483,0,100771,1,0,711
Mysuru,0,229457,0,226890,9,0,2558
Raichuru,0,45448,0,45084,0,0,364
Ramanagara,3,29806,2,29454,5,0,347
Shivamogga,1,83324,0,82181,14,0,1128
Tumakuru,0,159839,0,158613,8,0,1218
Udupi,0,95605,2,95056,3,0,546
Uttara Kannada,0,71164,0,70354,1,0,809
Vijayapura,0,40997,0,40476,2,0,519
Yadagiri,0,29964,0,29749,3,0,212
Others*,0,36,0,33,0,0,3
Total,62,3945576,70,3903919,1561,0,40054
