Bagalakote,0,41209,0,40840,0,0,369
Ballari,1,117435,2,115626,20,0,1787
Belagavi,0,101831,0,100823,0,0,1006
Bengaluru Rural,2,80401,0,79481,8,0,912
Bengaluru urban,52,1878661,52,1861342,327,0,16991
Bidar,0,30062,0,29638,0,0,420
Chamarajanagara,0,44381,0,43842,0,0,528
Chikkaballapura,0,56202,0,55737,2,0,462
Chikkamagaluru,0,58088,0,57679,2,0,407
Chitradurga,1,46624,5,46377,5,0,242
Dakshina,,,,,,,
"",1,137209,0,135343,4,0,1852
Kannada,,,,,,,
Davanagere,1,58189,0,57560,1,0,628
Dharwada,0,86405,0,84986,3,0,1409
Gadag,0,30699,0,30359,1,0,339
Hassana,1,145855,0,144541,3,0,1309
Haveri,0,27238,0,26563,0,0,675
Kalaburagi,2,77681,3,76775,15,0,891
Kodagu,2,50897,1,50540,2,0,354
Kolara,2,64271,0,63596,8,0,667
Koppala,0,41592,0,41046,1,0,545
Mandya,0,102471,1,101759,0,0,712
Mysuru,1,234064,0,231482,9,0,2573
Raichuru,0,46334,0,45964,1,0,369
Ramanagara,1,31332,0,30981,2,0,349
Shivamogga,9,84776,0,83584,45,0,1146
Tumakuru,0,160880,0,159656,1,0,1223
Udupi,0,96461,0,95911,0,0,550
Uttara Kannada,5,72073,3,71248,6,0,819
Vijayapura,0,41234,0,40711,1,0,522
Yadagiri,0,30026,0,29814,1,0,211
Others*,0,36,0,33,0,0,3
Total,81,4074617,67,4033837,468,0,40270
