Bagalakote,0,41318,0,40946,3,0,369
Ballari,0,117797,2,115995,7,0,1793
Belagavi,0,101943,0,100932,3,0,1006
Bengaluru Rural,1,80800,13,79876,10,0,914
Bengaluru urban,48,1886476,64,1869283,193,0,16999
Bidar,0,30117,0,29693,0,0,420
Chamarajanagara,0,44473,0,43934,0,0,528
Chikkaballapura,1,56261,0,55797,1,0,462
Chikkamagaluru,0,58291,0,57884,0,0,407
Chitradurga,0,46716,0,46473,1,0,242
DakshinaKannada ,1,137318,0,135445,8,0,1855
Davanagere,0,58507,0,57871,7,0,629
Dharwada,0,86533,0,85112,1,0,1413
Gadag,0,30725,0,30385,1,0,339
Hassana,0,146016,1,144702,3,0,1309
Haveri,0,27304,0,26628,0,0,676
Kalaburagi,1,78015,1,77112,8,0,895
Kodagu,0,50929,0,50574,0,0,354
Kolara,0,64387,0,63720,0,0,667
Koppala,0,41621,0,41076,0,0,545
Mandya,0,102527,0,101815,0,0,712
Mysuru,1,234494,4,231904,14,0,2576
Raichuru,0,46484,0,46112,2,0,370
Ramanagara,0,31352,1,31003,0,0,349
Shivamogga,0,86139,18,84947,41,0,1150
Tumakuru,1,160983,7,159753,5,0,1225
Udupi,1,96507,0,95952,5,0,550
Uttara Kannada,0,72306,7,71480,6,0,820
Vijayanagar,0,148,0,146,2,0,0
Vijayapura,0,41283,0,40760,0,0,523
Yadagiri,0,30028,0,29817,0,0,211
Others*,0,36,0,33,0,0,3
Total,55,4087834,118,4047160,321,0,40311
