Bagalakote,0,41274,7,40894,11,0,369
Ballari,5,117682,4,115851,38,0,1791
Belagavi,0,101896,2,100880,8,0,1006
Bengaluru Rural,10,80520,5,79568,39,0,913
Bengaluru urban,117,1882772,36,1864517,1259,0,16995
Bidar,2,30102,0,29672,6,0,420
Chamarajanagara,12,44427,0,43869,19,0,528
Chikkaballapura,3,56239,0,55757,19,0,462
Chikkamagaluru,0,58239,3,57805,27,0,407
Chitradurga,4,46690,0,46429,19,0,242
Dakshina Kannada ,4,137278,2,135396,20,0,1852
Davanagere,0,58386,16,57670,87,0,629
Dharwada,1,86499,6,85064,16,0,1412
Gadag,0,30714,1,30373,2,0,339
Hassana,1,145937,0,144619,7,0,1309
Haveri,3,27280,0,26599,6,0,675
Kalaburagi,8,77939,14,76982,64,0,893
Kodagu,0,50924,0,50567,2,0,354
Kolara,0,64361,4,63682,12,0,667
Koppala,1,41612,0,41061,6,0,545
Mandya,0,102501,2,101784,5,0,712
Mysuru,11,234320,1,231669,75,0,2576
Raichuru,5,46432,3,46022,40,0,370
Ramanagara,1,31345,0,30993,3,0,349
Shivamogga,27,85728,12,84381,197,0,1149
Tumakuru,2,160912,0,159667,22,0,1223
Udupi,1,96483,0,95930,3,0,550
Uttara Kannada,1,72189,6,71355,15,0,819
Vijayanagar,13,42,1,1,41,0,0
Vijayapura,3,41280,0,40749,8,0,523
Yadagiri,0,30028,0,29817,0,0,211
Others*,0,36,0,33,0,0,3
Total,235,4082067,125,4039656,2076,0,40293
