Daily Samples Tested,Daily samples reported as negative,Daily Samples Positive for COVID-19,People in Oberservation,KIA-Passengers,Mangalore-Passengers,Seaport M and K- passengers,Daily samples collected for Testing,Date
579,460,6,,72726,27172,5394,579,12-03-2020
60,80,0,1345,2728,615,,60,13-03-2020
92,50,0,1657,3004,791,5439,92,14-03-2020
131,19,0,1877,2376,358,5458,131,15-03-2020
33,86,1,2221,2025,748,5505,33,16-03-2020
48,71,4,2572,2145,408,5553,48,17-03-2020
125,103,3,2935,1876,563,5622,125,18-03-2020
75,46,1,3049,2079,566,5695,75,19-03-2020
64,55,0,4030,616,566,5759,64,20-03-2020
170,26,5,4681,1521,474,5826,170,21-03-2020
10,112,6,10219,1406,271,5918,10,22-03-2020
96,45,7,12029,1369,,6022,96,23-03-2020
160,43,8,12406,,,,160,24-03-2020
278,175,10,13246,,,46,278,25-03-2020
293,190,4,14066,,,,293,26-03-2020
237,150,9,14115,,,,237,27-03-2020
195,141,12,14115,,,,195,28-03-2020
179,229,7,14115,,,,179,29-03-2020
172,207,5,42929,,,,172,30-03-2020
206,198,13,45247,,,,206,31-03-2020
244,182,9,45034,,,,244,01-04-2020
384,235,14,42564,,,,384,02-04-2020
344,321,4,37358,,,,344,03-04-2020
400,304,16,32647,,,,400,04-04-2020
482,471,7,30509,,,,482,05-04-2020
325,324,12,29962,,,,325,06-04-2020
617,437,12,26871,,,,617,07-04-2020
516,424,6,25971,,,,516,08-04-2020
572,656,16,23671,,,,572,09-04-2020
574,497,10,23089,,,,574,10-04-2020
585,558,8,20997,,,,585,11-04-2020
691,600,17,19658,,,,691,12-04-2020
766,741,15,18598,,,,1196,13-04-2020
1090,982,13,15189,,,,1507,14-04-2020
1376,1351,19,13812,,,,2465,15-04-2020
1241,1169,36,13413,,,,2780,16-04-2020
2070,1532,44,13313,,,,3412,17-04-2020
1592,1052,25,12413,,,,2788,18-04-2020
2181,2004,6,13546,,,,2181,19-04-2020
2093,1835,18,13617,,,,,20-04-2020
2773,2725,10,14341,,,,,21-04-2020
3279,3202,9,15864,,,,,22-04-2020
2798,2750,18,18247,,,,,23-04-2020
3836,3740,29,19407,,,,,24-04-2020
3125,2974,26,21085,,,,,25-04-2020
3815,3319,3,23284,,,,,26-04-2020
2721,2639,9,23942,,,,,27-04-2020
4827,4717,11,23943,,,,,28-04-2020
4892,4733,11,24013,,,,,29-04-2020
4752,4307,30,23871,,,,,30-04-2020
4742,4406,24,24133,,,,,01-05-2020
4832,4620,12,23238,,,,,02-05-2020
5168,4523,13,23238,,,,,03-05-2020
4295,3666,37,25684,,,,,04-05-2020
4613,4196,22,26197,,,,,05-05-2020
4971,4784,20,26394,,,,,06-05-2020
4758,4700,12,26197,,,,,07-05-2020
4546,4481,48,25865,,,,,08-05-2020
4160,4016,41,25399,,,,,09-05-2020
5068,4940,54,25432,,,,,10-05-2020
4284,4201,14,23776,,,,,11-05-2020
4938,4797,63,22474,,,,,12-05-2020
4645,4574,34,20700,,,,,13-05-2020
7195,7097,28,21383,,,,,14-05-2020
5351,5308,69,20331,,,,,15-05-2020
